Start	Destination	Distance_mi	Fare_USD
King St-Old Town	Metro Center	7.82	3.95
King St-Old Town	Farragut North	8.32	4.15
King St-Old Town	Dupont Circle	8.79	4.30
King St-Old Town	Woodley Park-Zoo/Adams Morgan	9.90	4.75
King St-Old Town	Cleveland Park	10.57	5.05
King St-Old Town	Van Ness-UDC	11.17	5.25
King St-Old Town	Tenleytown-AU	11.95	5.60
King St-Old Town	Friendship Heights	12.71	5.90
King St-Old Town	Bethesda	14.42	6.00
King St-Old Town	Medical Center	15.47	6.00
King St-Old Town	Grosvenor-Strathmore	17.69	6.00
King St-Old Town	North Bethesda	19.06	6.00
King St-Old Town	Twinbrook	20.14	6.00
King St-Old Town	Rockville	22.01	6.00
King St-Old Town	Shady Grove	24.66	6.00
King St-Old Town	Gallery Pl-Chinatown	7.75	3.90
King St-Old Town	Judiciary Square	7.91	3.95
King St-Old Town	Union Station	8.38	4.15
King St-Old Town	Rhode Island Ave-Brentwood	10.12	4.85
King St-Old Town	Brookland-CUA	10.95	5.20
King St-Old Town	Fort Totten	12.11	5.65
King St-Old Town	Takoma	13.77	6.00
King St-Old Town	Silver Spring	15.03	6.00
King St-Old Town	Forest Glen	16.57	6.00
King St-Old Town	Wheaton	18.14	6.00
King St-Old Town	Glenmont	19.86	6.00
King St-Old Town	NoMa-Gallaudet U	9.05	4.40
King St-Old Town	McPherson Square	8.12	4.05
King St-Old Town	Farragut West	8.17	4.05
King St-Old Town	Foggy Bottom-GWU	7.85	3.95
King St-Old Town	Rosslyn	7.02	3.60
King St-Old Town	Arlington Cemetery	6.15	3.25
King St-Old Town	Pentagon	4.96	2.80
King St-Old Town	Pentagon City	4.40	2.55
King St-Old Town	Crystal City	3.92	2.35
King St-Old Town	Ronald Reagan Washington National Airport	3.53	2.20
King St-Old Town	Potomac Yard	2.04	2.00
King St-Old Town	Braddock Road	0.65	2.00
King St-Old Town	Eisenhower Avenue	0.70	2.00
King St-Old Town	Huntington	1.20	2.00
King St-Old Town	Federal Triangle	7.53	3.80
King St-Old Town	Smithsonian	7.16	3.65
King St-Old Town	L'Enfant Plaza	6.86	3.55
King St-Old Town	Federal Center SW	7.09	3.65
King St-Old Town	Capitol South	7.51	3.80
King St-Old Town	Eastern Market	7.88	3.95
King St-Old Town	Potomac Ave	8.26	4.10
King St-Old Town	Stadium-Armory	8.91	4.35
King St-Old Town	Minnesota Ave	10.82	5.15
King St-Old Town	Deanwood	11.70	5.50
King St-Old Town	Cheverly	12.84	5.95
King St-Old Town	Landover	14.66	6.00
King St-Old Town	New Carrollton	16.10	6.00
King St-Old Town	Mt Vernon Sq 7th St-Convention Center	8.30	4.10
King St-Old Town	Shaw-Howard U	8.77	4.30
King St-Old Town	U Street/African-Amer Civil War Memorial/Cardozo	9.09	4.45
King St-Old Town	Columbia Heights	9.87	4.75
King St-Old Town	Georgia Ave-Petworth	10.70	5.10
King St-Old Town	West Hyattsville	13.54	6.00
King St-Old Town	Hyattsville Crossing	14.64	6.00
King St-Old Town	College Park-U of Md	16.38	6.00
King St-Old Town	Greenbelt	18.82	6.00
King St-Old Town	Archives-Navy Memorial-Penn Quarter	7.40	3.75
King St-Old Town	Waterfront	7.03	3.60
King St-Old Town	Navy Yard-Ballpark	7.50	3.80
King St-Old Town	Anacostia	7.89	3.95
King St-Old Town	Congress Heights	8.28	4.10
King St-Old Town	Southern Avenue	9.03	4.40
King St-Old Town	Naylor Road	10.27	4.90
King St-Old Town	Suitland	11.48	5.40
King St-Old Town	Branch Ave	12.73	5.90
King St-Old Town	Benning Road	11.01	5.20
King St-Old Town	Capitol Heights	12.28	5.70
King St-Old Town	Addison Road-Seat Pleasant	13.12	6.00
King St-Old Town	Morgan Boulevard	14.62	6.00
King St-Old Town	Downtown Largo	15.96	6.00
King St-Old Town	Van Dorn Street	3.78	2.30
King St-Old Town	Franconia-Springfield	6.89	3.55
King St-Old Town	Court House	7.44	3.80
King St-Old Town	Clarendon	7.65	3.85
King St-Old Town	Virginia Square-GMU	7.85	3.95
King St-Old Town	Ballston-MU	8.21	4.10
King St-Old Town	East Falls Church	10.26	4.90
King St-Old Town	West Falls Church	12.27	5.70
King St-Old Town	Dunn Loring-Merrifield	13.94	6.00
King St-Old Town	Vienna/Fairfax-GMU	16.18	6.00
King St-Old Town	McLean	14.55	6.00
King St-Old Town	Tysons	15.00	6.00
King St-Old Town	Greensboro	15.64	6.00
King St-Old Town	Spring Hill	16.32	6.00
King St-Old Town	Wiehle-Reston East	21.76	6.00
King St-Old Town	Reston Town Center	22.86	6.00
King St-Old Town	Herndon	24.12	6.00
King St-Old Town	Innovation Center	25.82	6.00
King St-Old Town	Washington Dulles International Airport	27.57	6.00
King St-Old Town	Loudoun Gateway	29.90	6.00
King St-Old Town	Ashburn	31.82	6.00
