Start	Destination	Distance_mi	Fare_USD
Metro Center	Farragut North	0.75	2.00
Metro Center	Dupont Circle	1.23	2.00
Metro Center	Woodley Park-Zoo/Adams Morgan	2.40	2.00
Metro Center	Cleveland Park	3.10	2.05
Metro Center	Van Ness-UDC	3.73	2.30
Metro Center	Tenleytown-AU	4.70	2.70
Metro Center	Friendship Heights	5.46	3.00
Metro Center	Bethesda	7.14	3.65
Metro Center	Medical Center	8.15	4.05
Metro Center	Grosvenor-Strathmore	10.34	4.95
Metro Center	North Bethesda	11.72	5.50
Metro Center	Twinbrook	12.81	5.90
Metro Center	Rockville	14.77	6.00
Metro Center	Shady Grove	17.44	6.00
Metro Center	Gallery Pl-Chinatown	0.29	2.00
Metro Center	Judiciary Square	0.64	2.00
Metro Center	Union Station	1.21	2.00
Metro Center	Rhode Island Ave-Brentwood	2.69	2.00
Metro Center	Brookland-CUA	3.46	2.20
Metro Center	Fort Totten	4.55	2.60
Metro Center	Takoma	6.24	3.30
Metro Center	Silver Spring	7.54	3.80
Metro Center	Forest Glen	9.14	4.45
Metro Center	Wheaton	10.74	5.10
Metro Center	Glenmont	12.46	5.80
Metro Center	NoMa-Gallaudet U	1.72	2.00
Metro Center	McPherson Square	0.41	2.00
Metro Center	Farragut West	0.77	2.00
Metro Center	Foggy Bottom-GWU	1.28	2.00
Metro Center	Rosslyn	2.50	2.00
Metro Center	Arlington Cemetery	2.87	2.00
Metro Center	Pentagon	2.97	2.00
Metro Center	Pentagon City	3.56	2.20
Metro Center	Crystal City	3.93	2.35
Metro Center	Ronald Reagan Washington National Airport	4.29	2.50
Metro Center	Potomac Yard	5.80	3.10
Metro Center	Braddock Road	7.20	3.70
Metro Center	King St-Old Town	7.82	3.95
Metro Center	Eisenhower Avenue	8.46	4.20
Metro Center	Huntington	8.98	4.40
Metro Center	Federal Triangle	0.30	2.00
Metro Center	Smithsonian	0.67	2.00
Metro Center	L'Enfant Plaza	1.07	2.00
Metro Center	Federal Center SW	1.31	2.00
Metro Center	Capitol South	1.81	2.00
Metro Center	Eastern Market	2.28	2.00
Metro Center	Potomac Ave	2.89	2.00
Metro Center	Stadium-Armory	3.39	2.15
Metro Center	Minnesota Ave	5.21	2.90
Metro Center	Deanwood	5.98	3.20
Metro Center	Cheverly	7.11	3.65
Metro Center	Landover	8.84	4.35
Metro Center	New Carrollton	10.22	4.90
Metro Center	Mt Vernon Sq 7th St-Convention Center	0.75	2.00
Metro Center	Shaw-Howard U	1.21	2.00
Metro Center	U Street/African-Amer Civil War Memorial/Cardozo	1.55	2.00
Metro Center	Columbia Heights	2.37	2.00
Metro Center	Georgia Ave-Petworth	3.15	2.05
Metro Center	West Hyattsville	6.10	3.25
Metro Center	Hyattsville Crossing	7.22	3.70
Metro Center	College Park-U of Md	9.04	4.40
Metro Center	Greenbelt	11.43	5.35
Metro Center	Archives-Navy Memorial-Penn Quarter	0.56	2.00
Metro Center	Waterfront	1.78	2.00
Metro Center	Navy Yard-Ballpark	2.26	2.00
Metro Center	Anacostia	3.37	2.15
Metro Center	Congress Heights	4.64	2.65
Metro Center	Southern Avenue	5.49	3.00
Metro Center	Naylor Road	6.21	3.30
Metro Center	Suitland	7.57	3.85
Metro Center	Branch Ave	9.26	4.50
Metro Center	Benning Road	5.66	3.05
Metro Center	Capitol Heights	7.12	3.65
Metro Center	Addison Road-Seat Pleasant	8.10	4.05
Metro Center	Morgan Boulevard	9.56	4.60
Metro Center	Downtown Largo	10.86	5.15
Metro Center	Van Dorn Street	10.83	5.15
Metro Center	Franconia-Springfield	14.14	6.00
Metro Center	Court House	3.51	2.20
Metro Center	Clarendon	4.00	2.40
Metro Center	Virginia Square-GMU	4.46	2.60
Metro Center	Ballston-MU	5.02	2.80
Metro Center	East Falls Church	7.41	3.75
Metro Center	West Falls Church	9.29	4.50
Metro Center	Dunn Loring-Merrifield	11.53	5.40
Metro Center	Vienna/Fairfax-GMU	14.01	6.00
Metro Center	McLean	11.24	5.30
Metro Center	Tysons	11.84	5.55
Metro Center	Greensboro	12.55	5.80
Metro Center	Spring Hill	13.14	6.00
Metro Center	Wiehle-Reston East	18.79	6.00
Metro Center	Reston Town Center	19.91	6.00
Metro Center	Herndon	21.25	6.00
Metro Center	Innovation Center	22.96	6.00
Metro Center	Washington Dulles International Airport	24.84	6.00
Metro Center	Loudoun Gateway	26.88	6.00
Metro Center	Ashburn	28.78	6.00
