Start	Destination	Distance_mi	Fare_USD
Addison Road-Seat Pleasant	Anacostia	8.03	4.00
Addison Road-Seat Pleasant	Archives-Navy Memorial-Penn Quarter	7.61	3.85
Addison Road-Seat Pleasant	Arlington Cemetery	10.26	4.90
Addison Road-Seat Pleasant	Ashburn	36.83	6.00
Addison Road-Seat Pleasant	Ballston-MU	13.03	6.00
Addison Road-Seat Pleasant	Benning Road	2.44	2.00
Addison Road-Seat Pleasant	Bethesda	14.51	6.00
Addison Road-Seat Pleasant	Braddock Road	12.49	5.80
Addison Road-Seat Pleasant	Branch Ave	10.69	5.10
Addison Road-Seat Pleasant	Brookland-CUA	9.30	4.50
Addison Road-Seat Pleasant	Capitol Heights	0.98	2.00
Addison Road-Seat Pleasant	Capitol South	6.42	3.35
Addison Road-Seat Pleasant	Cheverly	5.78	3.10
Addison Road-Seat Pleasant	Clarendon	12.04	5.60
Addison Road-Seat Pleasant	Cleveland Park	10.79	5.10
Addison Road-Seat Pleasant	College Park-U of Md	12.68	5.85
Addison Road-Seat Pleasant	Columbia Heights	9.53	4.60
Addison Road-Seat Pleasant	Congress Heights	8.74	4.30
Addison Road-Seat Pleasant	Court House	11.56	5.40
Addison Road-Seat Pleasant	Crystal City	10.04	4.80
Addison Road-Seat Pleasant	Deanwood	5.33	2.95
Addison Road-Seat Pleasant	Downtown Largo	2.87	2.00
Addison Road-Seat Pleasant	Dunn Loring-Merrifield	19.59	6.00
Addison Road-Seat Pleasant	Dupont Circle	9.22	4.50
Addison Road-Seat Pleasant	East Falls Church	15.46	6.00
Addison Road-Seat Pleasant	Eastern Market	5.91	3.15
Addison Road-Seat Pleasant	Eisenhower Avenue	13.82	6.00
Addison Road-Seat Pleasant	Farragut North	8.82	4.35
Addison Road-Seat Pleasant	Farragut West	8.86	4.35
Addison Road-Seat Pleasant	Federal Center SW	7.00	3.60
Addison Road-Seat Pleasant	Federal Triangle	7.94	4.00
Addison Road-Seat Pleasant	Foggy Bottom-GWU	9.38	4.55
Addison Road-Seat Pleasant	Forest Glen	15.25	6.00
Addison Road-Seat Pleasant	Fort Totten	10.48	5.00
Addison Road-Seat Pleasant	Franconia-Springfield	20.00	6.00
Addison Road-Seat Pleasant	Friendship Heights	13.04	6.00
Addison Road-Seat Pleasant	Gallery Pl-Chinatown	7.80	3.90
Addison Road-Seat Pleasant	Georgia Ave-Petworth	9.89	4.75
Addison Road-Seat Pleasant	Glenmont	18.38	6.00
Addison Road-Seat Pleasant	Greenbelt	14.93	6.00
Addison Road-Seat Pleasant	Greensboro	20.64	6.00
Addison Road-Seat Pleasant	Grosvenor-Strathmore	17.33	6.00
Addison Road-Seat Pleasant	Herndon	29.33	6.00
Addison Road-Seat Pleasant	Huntington	14.30	6.00
Addison Road-Seat Pleasant	Hyattsville Crossing	11.59	5.45
Addison Road-Seat Pleasant	Innovation Center	31.04	6.00
Addison Road-Seat Pleasant	Judiciary Square	7.84	3.95
Addison Road-Seat Pleasant	King St-Old Town	13.12	6.00
Addison Road-Seat Pleasant	L'Enfant Plaza	7.33	3.75
Addison Road-Seat Pleasant	Landover	7.11	3.65
Addison Road-Seat Pleasant	Loudoun Gateway	34.93	6.00
Addison Road-Seat Pleasant	McLean	19.33	6.00
Addison Road-Seat Pleasant	McPherson Square	8.48	4.20
Addison Road-Seat Pleasant	Medical Center	15.38	6.00
Addison Road-Seat Pleasant	Metro Center	8.10	4.05
Addison Road-Seat Pleasant	Minnesota Ave	5.04	2.80
Addison Road-Seat Pleasant	Morgan Boulevard	1.52	2.00
Addison Road-Seat Pleasant	Mt Vernon Sq 7th St-Convention Center	8.13	4.05
Addison Road-Seat Pleasant	Navy Yard-Ballpark	7.62	3.85
Addison Road-Seat Pleasant	Naylor Road	9.06	4.40
Addison Road-Seat Pleasant	New Carrollton	8.42	4.15
Addison Road-Seat Pleasant	NoMa-Gallaudet U	8.20	4.10
Addison Road-Seat Pleasant	North Bethesda	18.64	6.00
Addison Road-Seat Pleasant	Pentagon	9.39	4.55
Addison Road-Seat Pleasant	Pentagon City	9.88	4.75
Addison Road-Seat Pleasant	Potomac Ave	5.33	2.95
Addison Road-Seat Pleasant	Potomac Yard	11.30	5.30
Addison Road-Seat Pleasant	Reston Town Center	28.00	6.00
Addison Road-Seat Pleasant	Rhode Island Ave-Brentwood	8.71	4.30
Addison Road-Seat Pleasant	Rockville	21.70	6.00
Addison Road-Seat Pleasant	Ronald Reagan Washington National Airport	10.19	4.90
Addison Road-Seat Pleasant	Rosslyn	10.58	5.05
Addison Road-Seat Pleasant	Shady Grove	24.27	6.00
Addison Road-Seat Pleasant	Shaw-Howard U	8.42	4.15
Addison Road-Seat Pleasant	Silver Spring	13.66	6.00
Addison Road-Seat Pleasant	Smithsonian	7.75	3.90
Addison Road-Seat Pleasant	Southern Avenue	9.05	4.40
Addison Road-Seat Pleasant	Spring Hill	21.23	6.00
Addison Road-Seat Pleasant	Stadium-Armory	4.74	2.70
Addison Road-Seat Pleasant	Suitland	9.49	4.60
Addison Road-Seat Pleasant	Takoma	12.28	5.70
Addison Road-Seat Pleasant	Tenleytown-AU	12.37	5.75
