Start	Destination	Distance_mi	Fare_USD
Addison Road-Seat Pleasant	Metro Center	8.10	4.05
Addison Road-Seat Pleasant	Farragut North	8.82	4.35
Addison Road-Seat Pleasant	Dupont Circle	9.22	4.50
Addison Road-Seat Pleasant	Woodley Park-Zoo/Adams Morgan	10.19	4.90
Addison Road-Seat Pleasant	Cleveland Park	10.79	5.10
Addison Road-Seat Pleasant	Van Ness-UDC	11.33	5.35
Addison Road-Seat Pleasant	Tenleytown-AU	12.37	5.75
Addison Road-Seat Pleasant	Friendship Heights	13.04	6.00
Addison Road-Seat Pleasant	Bethesda	14.51	6.00
Addison Road-Seat Pleasant	Medical Center	15.38	6.00
Addison Road-Seat Pleasant	Grosvenor-Strathmore	17.33	6.00
Addison Road-Seat Pleasant	North Bethesda	18.64	6.00
Addison Road-Seat Pleasant	Twinbrook	19.69	6.00
Addison Road-Seat Pleasant	Rockville	21.70	6.00
Addison Road-Seat Pleasant	Shady Grove	24.27	6.00
Addison Road-Seat Pleasant	Gallery Pl-Chinatown	7.80	3.90
Addison Road-Seat Pleasant	Judiciary Square	7.84	3.95
Addison Road-Seat Pleasant	Union Station	7.92	3.95
Addison Road-Seat Pleasant	Rhode Island Ave-Brentwood	8.71	4.30
Addison Road-Seat Pleasant	Brookland-CUA	9.30	4.50
Addison Road-Seat Pleasant	Fort Totten	10.48	5.00
Addison Road-Seat Pleasant	Takoma	12.28	5.70
Addison Road-Seat Pleasant	Silver Spring	13.66	6.00
Addison Road-Seat Pleasant	Forest Glen	15.25	6.00
Addison Road-Seat Pleasant	Wheaton	16.78	6.00
Addison Road-Seat Pleasant	Glenmont	18.38	6.00
Addison Road-Seat Pleasant	NoMa-Gallaudet U	8.20	4.10
Addison Road-Seat Pleasant	McPherson Square	8.48	4.20
Addison Road-Seat Pleasant	Farragut West	8.86	4.35
Addison Road-Seat Pleasant	Foggy Bottom-GWU	9.38	4.55
Addison Road-Seat Pleasant	Rosslyn	10.58	5.05
Addison Road-Seat Pleasant	Arlington Cemetery	10.26	4.90
Addison Road-Seat Pleasant	Pentagon	9.39	4.55
Addison Road-Seat Pleasant	Pentagon City	9.88	4.75
Addison Road-Seat Pleasant	Crystal City	10.04	4.80
Addison Road-Seat Pleasant	Ronald Reagan Washington National Airport	10.19	4.90
Addison Road-Seat Pleasant	Potomac Yard	11.30	5.30
Addison Road-Seat Pleasant	Braddock Road	12.49	5.80
Addison Road-Seat Pleasant	King St-Old Town	13.12	6.00
Addison Road-Seat Pleasant	Eisenhower Avenue	13.82	6.00
Addison Road-Seat Pleasant	Huntington	14.30	6.00
Addison Road-Seat Pleasant	Federal Triangle	7.94	4.00
Addison Road-Seat Pleasant	Smithsonian	7.75	3.90
Addison Road-Seat Pleasant	L'Enfant Plaza	7.33	3.75
Addison Road-Seat Pleasant	Federal Center SW	7.00	3.60
Addison Road-Seat Pleasant	Capitol South	6.42	3.35
