Start	Destination	Distance_mi	Fare_USD
Anacostia	Metro Center	3.37	2.15
Anacostia	Farragut North	4.10	2.45
Anacostia	Dupont Circle	4.60	2.65
Anacostia	Woodley Park-Zoo/Adams Morgan	5.78	3.10
Anacostia	Cleveland Park	6.48	3.40
Anacostia	Van Ness-UDC	7.10	3.65
Anacostia	Tenleytown-AU	8.08	4.05
Anacostia	Friendship Heights	8.84	4.35
Anacostia	Bethesda	10.52	5.00
Anacostia	Medical Center	11.52	5.40
Anacostia	Grosvenor-Strathmore	13.69	6.00
Anacostia	North Bethesda	15.07	6.00
Anacostia	Twinbrook	16.17	6.00
Anacostia	Rockville	18.14	6.00
Anacostia	Shady Grove	20.80	6.00
Anacostia	Gallery Pl-Chinatown	3.16	2.05
Anacostia	Judiciary Square	3.22	2.10
Anacostia	Union Station	3.49	2.20
Anacostia	Rhode Island Ave-Brentwood	5.13	2.85
Anacostia	Brookland-CUA	5.98	3.20
Anacostia	Fort Totten	7.27	3.70
Anacostia	Takoma	9.10	4.45
Anacostia	Silver Spring	10.47	5.00
Anacostia	Forest Glen	12.09	5.65
Anacostia	Wheaton	13.70	6.00
Anacostia	Glenmont	15.42	6.00
Anacostia	NoMa-Gallaudet U	4.11	2.45
Anacostia	McPherson Square	3.78	2.30
Anacostia	Farragut West	4.09	2.45
Anacostia	Foggy Bottom-GWU	4.52	2.60
Anacostia	Rosslyn	5.55	3.00
Anacostia	Arlington Cemetery	5.09	2.85
Anacostia	Pentagon	4.05	2.40
Anacostia	Pentagon City	4.49	2.60
Anacostia	Crystal City	4.63	2.65
Anacostia	Ronald Reagan Washington National Airport	4.76	2.70
Anacostia	Potomac Yard	5.94	3.20
Anacostia	Braddock Road	7.24	3.70
Anacostia	King St-Old Town	7.89	3.95
Anacostia	Eisenhower Avenue	8.59	4.25
Anacostia	Huntington	9.09	4.45
Anacostia	Federal Triangle	3.11	2.05
Anacostia	Smithsonian	2.79	2.00
Anacostia	L'Enfant Plaza	2.34	2.00
Anacostia	Federal Center SW	2.40	2.00
Anacostia	Capitol South	2.55	2.00
Anacostia	Eastern Market	2.75	2.00
Anacostia	Potomac Ave	3.00	2.00
Anacostia	Stadium-Armory	3.63	2.25
Anacostia	Minnesota Ave	5.53	3.00
Anacostia	Deanwood	6.42	3.35
Anacostia	Cheverly	7.56	3.80
Anacostia	Landover	9.38	4.55
Anacostia	New Carrollton	10.82	5.15
Anacostia	Mt Vernon Sq 7th St-Convention Center	3.69	2.30
Anacostia	Shaw-Howard U	4.15	2.45
Anacostia	U Street/African-Amer Civil War Memorial/Cardozo	4.56	2.60
Anacostia	Columbia Heights	5.40	2.95
Anacostia	Georgia Ave-Petworth	6.08	3.25
Anacostia	West Hyattsville	8.44	4.20
Anacostia	Hyattsville Crossing	9.50	4.60
Anacostia	College Park-U of Md	11.17	5.25
Anacostia	Greenbelt	13.62	6.00
Anacostia	Archives-Navy Memorial-Penn Quarter	2.83	2.00
Anacostia	Waterfront	1.65	2.00
Anacostia	Navy Yard-Ballpark	1.12	2.00
Anacostia	Congress Heights	1.29	2.00
Anacostia	Southern Avenue	2.12	2.00
Anacostia	Naylor Road	2.93	2.00
Anacostia	Suitland	4.33	2.55
Anacostia	Branch Ave	5.97	3.20
Anacostia	Benning Road	5.76	3.10
Anacostia	Capitol Heights	7.11	3.65
Anacostia	Addison Road-Seat Pleasant	8.03	4.00
Anacostia	Morgan Boulevard	9.55	4.60
Anacostia	Downtown Largo	10.90	5.15
Anacostia	Van Dorn Street	11.40	5.35
Anacostia	Franconia-Springfield	14.67	6.00
Anacostia	Court House	6.41	3.35
Anacostia	Clarendon	6.84	3.55
Anacostia	Virginia Square-GMU	7.25	3.70
Anacostia	Ballston-MU	7.79	3.90
Anacostia	East Falls Church	10.22	4.90
Anacostia	West Falls Church	12.21	5.70
Anacostia	Dunn Loring-Merrifield	14.31	6.00
Anacostia	Vienna/Fairfax-GMU	16.76	6.00
Anacostia	McLean	14.29	6.00
Anacostia	Tysons	14.86	6.00
Anacostia	Greensboro	15.56	6.00
Anacostia	Spring Hill	16.19	6.00
Anacostia	Wiehle-Reston East	21.83	6.00
Anacostia	Reston Town Center	22.95	6.00
Anacostia	Herndon	24.27	6.00
Anacostia	Innovation Center	25.99	6.00
Anacostia	Washington Dulles International Airport	27.84	6.00
Anacostia	Loudoun Gateway	29.96	6.00
Anacostia	Ashburn	31.88	6.00
