Start	Destination	Distance_mi	Fare_USD
Archives-Navy Memorial-Penn Quarter	Metro Center	0.56	2.00
Archives-Navy Memorial-Penn Quarter	Farragut North	1.30	2.00
Archives-Navy Memorial-Penn Quarter	Dupont Circle	1.79	2.00
Archives-Navy Memorial-Penn Quarter	Woodley Park-Zoo/Adams Morgan	2.96	2.00
Archives-Navy Memorial-Penn Quarter	Cleveland Park	3.66	2.25
Archives-Navy Memorial-Penn Quarter	Van Ness-UDC	4.28	2.50
Archives-Navy Memorial-Penn Quarter	Tenleytown-AU	5.26	2.90
Archives-Navy Memorial-Penn Quarter	Friendship Heights	6.02	3.20
Archives-Navy Memorial-Penn Quarter	Bethesda	7.70	3.90
Archives-Navy Memorial-Penn Quarter	Medical Center	8.71	4.30
Archives-Navy Memorial-Penn Quarter	Grosvenor-Strathmore	10.89	5.15
Archives-Navy Memorial-Penn Quarter	North Bethesda	12.27	5.70
Archives-Navy Memorial-Penn Quarter	Twinbrook	13.36	6.00
Archives-Navy Memorial-Penn Quarter	Rockville	15.33	6.00
Archives-Navy Memorial-Penn Quarter	Shady Grove	17.99	6.00
Archives-Navy Memorial-Penn Quarter	Gallery Pl-Chinatown	0.36	2.00
Archives-Navy Memorial-Penn Quarter	Judiciary Square	0.54	2.00
Archives-Navy Memorial-Penn Quarter	Union Station	1.10	2.00
Archives-Navy Memorial-Penn Quarter	Rhode Island Ave-Brentwood	2.75	2.00
Archives-Navy Memorial-Penn Quarter	Brookland-CUA	3.56	2.20
Archives-Navy Memorial-Penn Quarter	Fort Totten	4.71	2.70
Archives-Navy Memorial-Penn Quarter	Takoma	6.44	3.40
Archives-Navy Memorial-Penn Quarter	Silver Spring	7.76	3.90
Archives-Navy Memorial-Penn Quarter	Forest Glen	9.37	4.55
Archives-Navy Memorial-Penn Quarter	Wheaton	10.97	5.20
Archives-Navy Memorial-Penn Quarter	Glenmont	12.69	5.90
Archives-Navy Memorial-Penn Quarter	NoMa-Gallaudet U	1.71	2.00
Archives-Navy Memorial-Penn Quarter	McPherson Square	0.97	2.00
Archives-Navy Memorial-Penn Quarter	Farragut West	1.31	2.00
Archives-Navy Memorial-Penn Quarter	Foggy Bottom-GWU	1.80	2.00
Archives-Navy Memorial-Penn Quarter	Rosslyn	2.99	2.00
Archives-Navy Memorial-Penn Quarter	Arlington Cemetery	3.25	2.10
Archives-Navy Memorial-Penn Quarter	Pentagon	2.64	2.00
Archives-Navy Memorial-Penn Quarter	Pentagon City	3.23	2.10
Archives-Navy Memorial-Penn Quarter	Crystal City	3.55	2.20
Archives-Navy Memorial-Penn Quarter	Ronald Reagan Washington National Airport	3.88	2.35
Archives-Navy Memorial-Penn Quarter	Potomac Yard	5.37	2.95
Archives-Navy Memorial-Penn Quarter	Braddock Road	6.77	3.50
Archives-Navy Memorial-Penn Quarter	King St-Old Town	7.40	3.75
Archives-Navy Memorial-Penn Quarter	Eisenhower Avenue	8.06	4.00
Archives-Navy Memorial-Penn Quarter	Huntington	8.57	4.25
Archives-Navy Memorial-Penn Quarter	Federal Triangle	0.64	2.00
Archives-Navy Memorial-Penn Quarter	Smithsonian	0.77	2.00
Archives-Navy Memorial-Penn Quarter	L'Enfant Plaza	0.56	2.00
Archives-Navy Memorial-Penn Quarter	Federal Center SW	0.77	2.00
Archives-Navy Memorial-Penn Quarter	Capitol South	1.27	2.00
Archives-Navy Memorial-Penn Quarter	Eastern Market	1.75	2.00
Archives-Navy Memorial-Penn Quarter	Potomac Ave	2.36	2.00
Archives-Navy Memorial-Penn Quarter	Stadium-Armory	2.88	2.00
Archives-Navy Memorial-Penn Quarter	Minnesota Ave	4.74	2.70
Archives-Navy Memorial-Penn Quarter	Deanwood	5.54	3.00
Archives-Navy Memorial-Penn Quarter	Cheverly	6.68	3.45
Archives-Navy Memorial-Penn Quarter	Landover	8.43	4.15
Archives-Navy Memorial-Penn Quarter	New Carrollton	9.83	4.75
Archives-Navy Memorial-Penn Quarter	Mt Vernon Sq 7th St-Convention Center	0.92	2.00
Archives-Navy Memorial-Penn Quarter	Shaw-Howard U	1.40	2.00
Archives-Navy Memorial-Penn Quarter	U Street/African-Amer Civil War Memorial/Cardozo	1.77	2.00
Archives-Navy Memorial-Penn Quarter	Columbia Heights	2.60	2.00
Archives-Navy Memorial-Penn Quarter	Georgia Ave-Petworth	3.36	2.15
Archives-Navy Memorial-Penn Quarter	West Hyattsville	6.18	3.25
Archives-Navy Memorial-Penn Quarter	Hyattsville Crossing	7.29	3.70
Archives-Navy Memorial-Penn Quarter	College Park-U of Md	9.10	4.45
Archives-Navy Memorial-Penn Quarter	Greenbelt	11.50	5.40
Archives-Navy Memorial-Penn Quarter	Waterfront	1.27	2.00
Archives-Navy Memorial-Penn Quarter	Navy Yard-Ballpark	1.71	2.00
Archives-Navy Memorial-Penn Quarter	Anacostia	2.83	2.00
Archives-Navy Memorial-Penn Quarter	Congress Heights	4.10	2.45
Archives-Navy Memorial-Penn Quarter	Southern Avenue	4.95	2.80
Archives-Navy Memorial-Penn Quarter	Naylor Road	5.66	3.05
Archives-Navy Memorial-Penn Quarter	Suitland	7.03	3.60
Archives-Navy Memorial-Penn Quarter	Branch Ave	8.72	4.30
Archives-Navy Memorial-Penn Quarter	Benning Road	5.17	2.85
Archives-Navy Memorial-Penn Quarter	Capitol Heights	6.63	3.45
Archives-Navy Memorial-Penn Quarter	Addison Road-Seat Pleasant	7.61	3.85
Archives-Navy Memorial-Penn Quarter	Morgan Boulevard	9.08	4.45
Archives-Navy Memorial-Penn Quarter	Downtown Largo	10.40	4.95
Archives-Navy Memorial-Penn Quarter	Van Dorn Street	10.50	5.00
Archives-Navy Memorial-Penn Quarter	Franconia-Springfield	13.81	6.00
Archives-Navy Memorial-Penn Quarter	Court House	3.97	2.40
Archives-Navy Memorial-Penn Quarter	Clarendon	4.46	2.60
Archives-Navy Memorial-Penn Quarter	Virginia Square-GMU	4.91	2.75
Archives-Navy Memorial-Penn Quarter	Ballston-MU	5.47	3.00
Archives-Navy Memorial-Penn Quarter	East Falls Church	7.88	3.95
Archives-Navy Memorial-Penn Quarter	West Falls Church	9.78	4.70
Archives-Navy Memorial-Penn Quarter	Dunn Loring-Merrifield	12.01	5.60
Archives-Navy Memorial-Penn Quarter	Vienna/Fairfax-GMU	14.48	6.00
Archives-Navy Memorial-Penn Quarter	McLean	11.76	5.50
Archives-Navy Memorial-Penn Quarter	Tysons	12.35	5.75
Archives-Navy Memorial-Penn Quarter	Greensboro	13.06	6.00
Archives-Navy Memorial-Penn Quarter	Spring Hill	13.66	6.00
Archives-Navy Memorial-Penn Quarter	Wiehle-Reston East	19.31	6.00
Archives-Navy Memorial-Penn Quarter	Reston Town Center	20.43	6.00
Archives-Navy Memorial-Penn Quarter	Herndon	21.76	6.00
Archives-Navy Memorial-Penn Quarter	Innovation Center	23.48	6.00
Archives-Navy Memorial-Penn Quarter	Washington Dulles International Airport	25.35	6.00
Archives-Navy Memorial-Penn Quarter	Loudoun Gateway	27.40	6.00
Archives-Navy Memorial-Penn Quarter	Ashburn	29.31	6.00
