Start	Destination	Distance_mi	Fare_USD
Ashburn	Metro Center	28.78	6.00
Ashburn	Farragut North	28.82	6.00
Ashburn	Dupont Circle	28.92	6.00
Ashburn	Woodley Park-Zoo/Adams Morgan	29.14	6.00
Ashburn	Cleveland Park	29.28	6.00
Ashburn	Van Ness-UDC	29.41	6.00
Ashburn	Tenleytown-AU	29.49	6.00
Ashburn	Friendship Heights	29.68	6.00
Ashburn	Bethesda	30.22	6.00
Ashburn	Medical Center	30.63	6.00
Ashburn	Grosvenor-Strathmore	31.58	6.00
Ashburn	North Bethesda	32.11	6.00
Ashburn	Twinbrook	32.53	6.00
Ashburn	Rockville	33.06	6.00
Ashburn	Shady Grove	34.36	6.00
Ashburn	Gallery Pl-Chinatown	29.06	6.00
Ashburn	Judiciary Square	29.42	6.00
Ashburn	Union Station	29.97	6.00
Ashburn	Rhode Island Ave-Brentwood	30.95	6.00
Ashburn	Brookland-CUA	31.33	6.00
Ashburn	Fort Totten	31.63	6.00
Ashburn	Takoma	32.09	6.00
Ashburn	Silver Spring	32.41	6.00
Ashburn	Forest Glen	32.93	6.00
Ashburn	Wheaton	33.59	6.00
Ashburn	Glenmont	34.49	6.00
Ashburn	NoMa-Gallaudet U	30.33	6.00
Ashburn	McPherson Square	28.38	6.00
Ashburn	Farragut West	28.01	6.00
Ashburn	Foggy Bottom-GWU	27.51	6.00
Ashburn	Rosslyn	26.36	6.00
Ashburn	Arlington Cemetery	27.15	6.00
Ashburn	Pentagon	28.23	6.00
Ashburn	Pentagon City	28.50	6.00
Ashburn	Crystal City	29.14	6.00
Ashburn	Ronald Reagan Washington National Airport	29.64	6.00
Ashburn	Potomac Yard	30.69	6.00
Ashburn	Braddock Road	31.54	6.00
Ashburn	King St-Old Town	31.82	6.00
Ashburn	Eisenhower Avenue	32.05	6.00
Ashburn	Huntington	32.34	6.00
Ashburn	Federal Triangle	28.97	6.00
Ashburn	Smithsonian	29.20	6.00
Ashburn	L'Enfant Plaza	29.66	6.00
Ashburn	Federal Center SW	29.98	6.00
Ashburn	Capitol South	30.54	6.00
Ashburn	Eastern Market	31.04	6.00
Ashburn	Potomac Ave	31.66	6.00
Ashburn	Stadium-Armory	32.17	6.00
Ashburn	Minnesota Ave	33.90	6.00
Ashburn	Deanwood	34.57	6.00
Ashburn	Cheverly	35.58	6.00
Ashburn	Landover	37.07	6.00
Ashburn	New Carrollton	38.24	6.00
Ashburn	Mt Vernon Sq 7th St-Convention Center	29.28	6.00
Ashburn	Shaw-Howard U	29.46	6.00
Ashburn	U Street/African-Amer Civil War Memorial/Cardozo	29.53	6.00
Ashburn	Columbia Heights	29.76	6.00
Ashburn	Georgia Ave-Petworth	30.38	6.00
Ashburn	West Hyattsville	33.50	6.00
Ashburn	Hyattsville Crossing	34.44	6.00
Ashburn	College Park-U of Md	36.14	6.00
Ashburn	Greenbelt	37.80	6.00
Ashburn	Archives-Navy Memorial-Penn Quarter	29.31	6.00
Ashburn	Waterfront	30.26	6.00
Ashburn	Navy Yard-Ballpark	30.88	6.00
Ashburn	Anacostia	31.88	6.00
Ashburn	Congress Heights	32.93	6.00
Ashburn	Southern Avenue	33.85	6.00
Ashburn	Naylor Road	34.81	6.00
Ashburn	Suitland	36.21	6.00
Ashburn	Branch Ave	37.83	6.00
Ashburn	Benning Road	34.40	6.00
Ashburn	Capitol Heights	35.85	6.00
Ashburn	Addison Road-Seat Pleasant	36.83	6.00
Ashburn	Morgan Boulevard	38.23	6.00
Ashburn	Downtown Largo	39.47	6.00
Ashburn	Van Dorn Street	32.34	6.00
Ashburn	Franconia-Springfield	34.03	6.00
Ashburn	Court House	25.46	6.00
Ashburn	Clarendon	25.04	6.00
Ashburn	Virginia Square-GMU	24.66	6.00
Ashburn	Ballston-MU	24.14	6.00
Ashburn	East Falls Church	21.76	6.00
Ashburn	West Falls Church	21.79	6.00
Ashburn	Dunn Loring-Merrifield	22.35	6.00
Ashburn	Vienna/Fairfax-GMU	22.70	6.00
Ashburn	McLean	17.59	6.00
Ashburn	Tysons	17.03	6.00
Ashburn	Greensboro	16.34	6.00
Ashburn	Spring Hill	15.70	6.00
Ashburn	Wiehle-Reston East	10.09	4.85
Ashburn	Reston Town Center	8.97	4.40
Ashburn	Herndon	7.71	3.90
Ashburn	Innovation Center	6.02	3.20
Ashburn	Washington Dulles International Airport	4.48	2.60
Ashburn	Loudoun Gateway	1.93	2.00
