Start	Destination	Distance_mi	Fare_USD
Benning Road	Metro Center	5.66	3.05
Benning Road	Farragut North	6.38	3.35
Benning Road	Dupont Circle	6.79	3.50
Benning Road	Woodley Park-Zoo/Adams Morgan	7.78	3.90
Benning Road	Cleveland Park	8.39	4.15
Benning Road	Van Ness-UDC	8.95	4.40
Benning Road	Tenleytown-AU	10.00	4.80
Benning Road	Friendship Heights	10.69	5.10
Benning Road	Bethesda	12.20	5.70
Benning Road	Medical Center	13.12	6.00
Benning Road	Grosvenor-Strathmore	15.14	6.00
Benning Road	North Bethesda	16.47	6.00
Benning Road	Twinbrook	17.54	6.00
Benning Road	Rockville	19.55	6.00
Benning Road	Shady Grove	22.16	6.00
Benning Road	Gallery Pl-Chinatown	5.36	2.95
Benning Road	Judiciary Square	5.41	2.95
Benning Road	Union Station	5.49	3.00
Benning Road	Rhode Island Ave-Brentwood	6.35	3.35
Benning Road	Brookland-CUA	7.01	3.60
Benning Road	Fort Totten	8.28	4.10
Benning Road	Takoma	10.14	4.85
Benning Road	Silver Spring	11.55	5.40
Benning Road	Forest Glen	13.17	6.00
Benning Road	Wheaton	14.74	6.00
Benning Road	Glenmont	16.39	6.00
Benning Road	NoMa-Gallaudet U	5.78	3.10
Benning Road	McPherson Square	6.04	3.20
Benning Road	Farragut West	6.42	3.35
Benning Road	Foggy Bottom-GWU	6.94	3.60
Benning Road	Rosslyn	8.15	4.05
Benning Road	Arlington Cemetery	7.84	3.95
Benning Road	Pentagon	7.01	3.60
Benning Road	Pentagon City	7.53	3.80
Benning Road	Crystal City	7.71	3.90
Benning Road	Ronald Reagan Washington National Airport	7.88	3.95
Benning Road	Potomac Yard	9.09	4.45
Benning Road	Braddock Road	10.36	4.95
Benning Road	King St-Old Town	11.01	5.20
Benning Road	Eisenhower Avenue	11.71	5.50
Benning Road	Huntington	12.21	5.70
Benning Road	Federal Triangle	5.50	3.00
Benning Road	Smithsonian	5.32	2.95
Benning Road	L'Enfant Plaza	4.91	2.75
Benning Road	Federal Center SW	4.58	2.65
Benning Road	Capitol South	4.00	2.40
Benning Road	Eastern Market	3.50	2.20
Benning Road	Potomac Ave	2.94	2.00
Benning Road	Stadium-Armory	2.32	2.00
Benning Road	Minnesota Ave	2.68	2.00
Benning Road	Deanwood	3.37	2.15
Benning Road	Cheverly	4.41	2.55
Benning Road	Landover	6.21	3.30
Benning Road	New Carrollton	7.65	3.85
Benning Road	Mt Vernon Sq 7th St-Convention Center	5.70	3.10
Benning Road	Shaw-Howard U	6.00	3.20
Benning Road	U Street/African-Amer Civil War Memorial/Cardozo	6.42	3.35
Benning Road	Columbia Heights	7.14	3.65
Benning Road	Georgia Ave-Petworth	7.55	3.80
Benning Road	West Hyattsville	8.91	4.35
Benning Road	Hyattsville Crossing	9.78	4.70
Benning Road	College Park-U of Md	11.18	5.25
Benning Road	Greenbelt	13.59	6.00
Benning Road	Archives-Navy Memorial-Penn Quarter	5.17	2.85
Benning Road	Waterfront	5.23	2.90
Benning Road	Navy Yard-Ballpark	5.24	2.90
Benning Road	Anacostia	5.76	3.10
Benning Road	Congress Heights	6.66	3.45
Benning Road	Southern Avenue	7.11	3.65
Benning Road	Naylor Road	7.21	3.70
Benning Road	Suitland	8.08	4.05
Benning Road	Branch Ave	9.67	4.65
Benning Road	Capitol Heights	1.46	2.00
Benning Road	Addison Road-Seat Pleasant	2.44	2.00
Benning Road	Morgan Boulevard	3.91	2.35
Benning Road	Downtown Largo	5.24	2.90
Benning Road	Van Dorn Street	14.56	6.00
Benning Road	Franconia-Springfield	17.83	6.00
Benning Road	Court House	9.13	4.45
Benning Road	Clarendon	9.61	4.65
Benning Road	Virginia Square-GMU	10.05	4.80
Benning Road	Ballston-MU	10.61	5.05
Benning Road	East Falls Church	13.03	6.00
Benning Road	West Falls Church	14.94	6.00
Benning Road	Dunn Loring-Merrifield	17.16	6.00
Benning Road	Vienna/Fairfax-GMU	19.63	6.00
Benning Road	McLean	16.89	6.00
Benning Road	Tysons	17.50	6.00
Benning Road	Greensboro	18.21	6.00
Benning Road	Spring Hill	18.80	6.00
Benning Road	Wiehle-Reston East	24.44	6.00
Benning Road	Reston Town Center	25.56	6.00
Benning Road	Herndon	26.90	6.00
Benning Road	Innovation Center	28.61	6.00
Benning Road	Washington Dulles International Airport	30.49	6.00
Benning Road	Loudoun Gateway	32.51	6.00
Benning Road	Ashburn	34.40	6.00
