Start	Destination	Distance_mi	Fare_USD
Bethesda	Metro Center	7.14	3.65
Bethesda	Farragut North	6.45	3.40
Bethesda	Dupont Circle	5.94	3.20
Bethesda	Woodley Park-Zoo/Adams Morgan	4.75	2.70
Bethesda	Cleveland Park	4.04	2.40
Bethesda	Van Ness-UDC	3.41	2.15
Bethesda	Tenleytown-AU	2.50	2.00
Bethesda	Friendship Heights	1.72	2.00
Bethesda	Medical Center	1.05	2.00
Bethesda	Grosvenor-Strathmore	3.27	2.10
Bethesda	North Bethesda	4.65	2.65
Bethesda	Twinbrook	5.73	3.10
Bethesda	Rockville	7.66	3.85
Bethesda	Shady Grove	10.32	4.95
Bethesda	Gallery Pl-Chinatown	7.36	3.75
Bethesda	Judiciary Square	7.70	3.90
Bethesda	Union Station	8.13	4.05
Bethesda	Rhode Island Ave-Brentwood	8.65	4.25
Bethesda	Brookland-CUA	8.86	4.35
Bethesda	Fort Totten	8.98	4.40
Bethesda	Takoma	9.31	4.50
Bethesda	Silver Spring	9.69	4.70
Bethesda	Forest Glen	10.56	5.00
Bethesda	Wheaton	11.82	5.55
Bethesda	Glenmont	13.41	6.00
Bethesda	NoMa-Gallaudet U	8.30	4.10
Bethesda	McPherson Square	7.20	3.70
Bethesda	Farragut West	7.30	3.70
Bethesda	Foggy Bottom-GWU	7.48	3.80
Bethesda	Rosslyn	8.13	4.05
Bethesda	Arlington Cemetery	9.03	4.40
Bethesda	Pentagon	9.54	4.60
Bethesda	Pentagon City	10.06	4.80
Bethesda	Crystal City	10.61	5.05
Bethesda	Ronald Reagan Washington National Airport	11.08	5.25
Bethesda	Potomac Yard	12.56	5.80
Bethesda	Braddock Road	13.87	6.00
Bethesda	King St-Old Town	14.42	6.00
Bethesda	Eisenhower Avenue	14.96	6.00
Bethesda	Huntington	15.43	6.00
Bethesda	Federal Triangle	7.42	3.75
Bethesda	Smithsonian	7.77	3.90
Bethesda	L'Enfant Plaza	8.21	4.10
Bethesda	Federal Center SW	8.45	4.20
Bethesda	Capitol South	8.90	4.35
Bethesda	Eastern Market	9.32	4.55
Bethesda	Potomac Ave	9.90	4.75
Bethesda	Stadium-Armory	10.25	4.90
Bethesda	Minnesota Ave	11.64	5.45
Bethesda	Deanwood	12.17	5.65
Bethesda	Cheverly	13.05	6.00
Bethesda	Landover	14.39	6.00
Bethesda	New Carrollton	15.49	6.00
Bethesda	Mt Vernon Sq 7th St-Convention Center	7.42	3.75
Bethesda	Shaw-Howard U	7.47	3.80
Bethesda	U Street/African-Amer Civil War Memorial/Cardozo	7.52	3.80
Bethesda	Columbia Heights	7.60	3.85
Bethesda	Georgia Ave-Petworth	7.98	4.00
Bethesda	West Hyattsville	10.78	5.10
Bethesda	Hyattsville Crossing	11.68	5.45
Bethesda	College Park-U of Md	13.37	6.00
Bethesda	Greenbelt	15.14	6.00
Bethesda	Archives-Navy Memorial-Penn Quarter	7.70	3.90
Bethesda	Waterfront	8.92	4.35
Bethesda	Navy Yard-Ballpark	9.39	4.55
Bethesda	Anacostia	10.52	5.00
Bethesda	Congress Heights	11.78	5.50
Bethesda	Southern Avenue	12.64	5.85
Bethesda	Naylor Road	13.27	6.00
Bethesda	Suitland	14.58	6.00
Bethesda	Branch Ave	16.28	6.00
Bethesda	Benning Road	12.20	5.70
Bethesda	Capitol Heights	13.56	6.00
Bethesda	Addison Road-Seat Pleasant	14.51	6.00
Bethesda	Morgan Boulevard	15.77	6.00
Bethesda	Downtown Largo	16.93	6.00
Bethesda	Van Dorn Street	16.60	6.00
Bethesda	Franconia-Springfield	19.69	6.00
Bethesda	Court House	8.83	4.35
Bethesda	Clarendon	9.19	4.50
Bethesda	Virginia Square-GMU	9.55	4.60
Bethesda	Ballston-MU	9.90	4.75
Bethesda	East Falls Church	11.39	5.35
Bethesda	West Falls Church	12.50	5.80
Bethesda	Dunn Loring-Merrifield	14.84	6.00
Bethesda	Vienna/Fairfax-GMU	17.15	6.00
Bethesda	McLean	13.71	6.00
Bethesda	Tysons	14.35	6.00
Bethesda	Greensboro	15.00	6.00
Bethesda	Spring Hill	15.41	6.00
Bethesda	Wiehle-Reston East	20.68	6.00
Bethesda	Reston Town Center	21.74	6.00
Bethesda	Herndon	23.08	6.00
Bethesda	Innovation Center	24.72	6.00
Bethesda	Washington Dulles International Airport	26.66	6.00
Bethesda	Loudoun Gateway	28.39	6.00
Bethesda	Ashburn	30.22	6.00
