Start	Destination	Distance_mi	Fare_USD
Braddock Road	Metro Center	7.20	3.70
Braddock Road	Farragut North	7.71	3.90
Braddock Road	Dupont Circle	8.18	4.05
Braddock Road	Woodley Park-Zoo/Adams Morgan	9.31	4.50
Braddock Road	Cleveland Park	9.99	4.80
Braddock Road	Van Ness-UDC	10.59	5.05
Braddock Road	Tenleytown-AU	11.39	5.35
Braddock Road	Friendship Heights	12.16	5.65
Braddock Road	Bethesda	13.87	6.00
Braddock Road	Medical Center	14.92	6.00
Braddock Road	Grosvenor-Strathmore	17.14	6.00
Braddock Road	North Bethesda	18.52	6.00
Braddock Road	Twinbrook	19.60	6.00
Braddock Road	Rockville	21.48	6.00
Braddock Road	Shady Grove	24.14	6.00
Braddock Road	Gallery Pl-Chinatown	7.12	3.65
Braddock Road	Judiciary Square	7.28	3.70
Braddock Road	Union Station	7.73	3.90
Braddock Road	Rhode Island Ave-Brentwood	9.48	4.60
Braddock Road	Brookland-CUA	10.31	4.90
Braddock Road	Fort Totten	11.48	5.40
Braddock Road	Takoma	13.16	6.00
Braddock Road	Silver Spring	14.42	6.00
Braddock Road	Forest Glen	15.97	6.00
Braddock Road	Wheaton	17.55	6.00
Braddock Road	Glenmont	19.27	6.00
Braddock Road	NoMa-Gallaudet U	8.40	4.15
Braddock Road	McPherson Square	7.50	3.80
Braddock Road	Farragut West	7.56	3.80
Braddock Road	Foggy Bottom-GWU	7.26	3.70
Braddock Road	Rosslyn	6.47	3.40
Braddock Road	Arlington Cemetery	5.58	3.05
Braddock Road	Pentagon	4.37	2.55
Braddock Road	Pentagon City	3.82	2.35
Braddock Road	Crystal City	3.31	2.10
Braddock Road	Ronald Reagan Washington National Airport	2.91	2.00
Braddock Road	Potomac Yard	1.40	2.00
Braddock Road	King St-Old Town	0.65	2.00
Braddock Road	Eisenhower Avenue	1.35	2.00
Braddock Road	Huntington	1.85	2.00
Braddock Road	Federal Triangle	6.91	3.55
Braddock Road	Smithsonian	6.53	3.40
Braddock Road	L'Enfant Plaza	6.23	3.30
Braddock Road	Federal Center SW	6.45	3.40
Braddock Road	Capitol South	6.86	3.55
Braddock Road	Eastern Market	7.23	3.70
Braddock Road	Potomac Ave	7.61	3.85
Braddock Road	Stadium-Armory	8.26	4.10
Braddock Road	Minnesota Ave	10.17	4.85
Braddock Road	Deanwood	11.06	5.20
Braddock Road	Cheverly	12.20	5.70
Braddock Road	Landover	14.01	6.00
Braddock Road	New Carrollton	15.46	6.00
Braddock Road	Mt Vernon Sq 7th St-Convention Center	7.67	3.85
Braddock Road	Shaw-Howard U	8.15	4.05
Braddock Road	U Street/African-Amer Civil War Memorial/Cardozo	8.47	4.20
Braddock Road	Columbia Heights	9.25	4.50
Braddock Road	Georgia Ave-Petworth	10.08	4.85
Braddock Road	West Hyattsville	12.90	5.95
Braddock Road	Hyattsville Crossing	13.99	6.00
Braddock Road	College Park-U of Md	15.73	6.00
Braddock Road	Greenbelt	18.17	6.00
Braddock Road	Archives-Navy Memorial-Penn Quarter	6.77	3.50
Braddock Road	Waterfront	6.39	3.35
Braddock Road	Navy Yard-Ballpark	6.85	3.55
Braddock Road	Anacostia	7.24	3.70
Braddock Road	Congress Heights	7.65	3.85
Braddock Road	Southern Avenue	8.42	4.15
Braddock Road	Naylor Road	9.65	4.65
Braddock Road	Suitland	10.88	5.15
Braddock Road	Branch Ave	12.17	5.65
Braddock Road	Benning Road	10.36	4.95
Braddock Road	Capitol Heights	11.64	5.45
Braddock Road	Addison Road-Seat Pleasant	12.49	5.80
Braddock Road	Morgan Boulevard	14.00	6.00
Braddock Road	Downtown Largo	15.34	6.00
Braddock Road	Van Dorn Street	4.35	2.55
Braddock Road	Franconia-Springfield	7.51	3.80
Braddock Road	Court House	6.92	3.55
Braddock Road	Clarendon	7.15	3.65
Braddock Road	Virginia Square-GMU	7.37	3.75
Braddock Road	Ballston-MU	7.77	3.90
Braddock Road	East Falls Church	9.89	4.75
Braddock Road	West Falls Church	11.92	5.55
Braddock Road	Dunn Loring-Merrifield	13.66	6.00
Braddock Road	Vienna/Fairfax-GMU	15.94	6.00
Braddock Road	McLean	14.18	6.00
Braddock Road	Tysons	14.66	6.00
Braddock Road	Greensboro	15.31	6.00
Braddock Road	Spring Hill	15.98	6.00
Braddock Road	Wiehle-Reston East	21.46	6.00
Braddock Road	Reston Town Center	22.57	6.00
Braddock Road	Herndon	23.84	6.00
Braddock Road	Innovation Center	25.54	6.00
Braddock Road	Washington Dulles International Airport	27.31	6.00
Braddock Road	Loudoun Gateway	29.61	6.00
Braddock Road	Ashburn	31.54	6.00
