Start	Destination	Distance_mi	Fare_USD
Branch Ave	Metro Center	9.26	4.50
Branch Ave	Farragut North	10.01	4.80
Branch Ave	Dupont Circle	10.49	5.00
Branch Ave	Woodley Park-Zoo/Adams Morgan	11.62	5.45
Branch Ave	Cleveland Park	12.30	5.70
Branch Ave	Van Ness-UDC	12.91	5.95
Branch Ave	Tenleytown-AU	13.92	6.00
Branch Ave	Friendship Heights	14.67	6.00
Branch Ave	Bethesda	16.28	6.00
Branch Ave	Medical Center	17.25	6.00
Branch Ave	Grosvenor-Strathmore	19.35	6.00
Branch Ave	North Bethesda	20.71	6.00
Branch Ave	Twinbrook	21.79	6.00
Branch Ave	Rockville	23.79	6.00
Branch Ave	Shady Grove	26.42	6.00
Branch Ave	Gallery Pl-Chinatown	9.01	4.40
Branch Ave	Judiciary Square	9.04	4.40
Branch Ave	Union Station	9.21	4.50
Branch Ave	Rhode Island Ave-Brentwood	10.49	5.00
Branch Ave	Brookland-CUA	11.26	5.30
Branch Ave	Fort Totten	12.56	5.80
Branch Ave	Takoma	14.44	6.00
Branch Ave	Silver Spring	15.85	6.00
Branch Ave	Forest Glen	17.49	6.00
Branch Ave	Wheaton	19.07	6.00
Branch Ave	Glenmont	20.74	6.00
Branch Ave	NoMa-Gallaudet U	9.69	4.70
Branch Ave	McPherson Square	9.67	4.65
Branch Ave	Farragut West	10.01	4.80
Branch Ave	Foggy Bottom-GWU	10.47	5.00
Branch Ave	Rosslyn	11.53	5.40
Branch Ave	Arlington Cemetery	11.05	5.20
Branch Ave	Pentagon	9.96	4.80
Branch Ave	Pentagon City	10.32	4.95
Branch Ave	Crystal City	10.41	4.95
Branch Ave	Ronald Reagan Washington National Airport	10.48	5.00
Branch Ave	Potomac Yard	11.24	5.30
Branch Ave	Braddock Road	12.17	5.65
Branch Ave	King St-Old Town	12.73	5.90
Branch Ave	Eisenhower Avenue	13.39	6.00
Branch Ave	Huntington	13.82	6.00
Branch Ave	Federal Triangle	9.02	4.40
Branch Ave	Smithsonian	8.74	4.30
Branch Ave	L'Enfant Plaza	8.27	4.10
Branch Ave	Federal Center SW	8.31	4.10
Branch Ave	Capitol South	8.37	4.15
Branch Ave	Eastern Market	8.42	4.15
Branch Ave	Potomac Ave	8.45	4.20
Branch Ave	Stadium-Armory	8.78	4.30
Branch Ave	Minnesota Ave	9.78	4.70
Branch Ave	Deanwood	10.44	5.00
Branch Ave	Cheverly	11.24	5.30
Branch Ave	Landover	12.78	5.90
Branch Ave	New Carrollton	14.10	6.00
Branch Ave	Mt Vernon Sq 7th St-Convention Center	9.48	4.60
Branch Ave	Shaw-Howard U	9.88	4.75
Branch Ave	U Street/African-Amer Civil War Memorial/Cardozo	10.31	4.90
Branch Ave	Columbia Heights	11.12	5.25
Branch Ave	Georgia Ave-Petworth	11.66	5.45
Branch Ave	West Hyattsville	13.28	6.00
Branch Ave	Hyattsville Crossing	14.14	6.00
Branch Ave	College Park-U of Md	15.44	6.00
Branch Ave	Greenbelt	17.78	6.00
Branch Ave	Archives-Navy Memorial-Penn Quarter	8.72	4.30
Branch Ave	Waterfront	7.62	3.85
Branch Ave	Navy Yard-Ballpark	7.04	3.60
Branch Ave	Anacostia	5.97	3.20
Branch Ave	Congress Heights	4.91	2.75
Branch Ave	Southern Avenue	3.99	2.40
Branch Ave	Naylor Road	3.06	2.00
Branch Ave	Suitland	1.70	2.00
Branch Ave	Benning Road	9.67	4.65
Branch Ave	Capitol Heights	10.23	4.90
Branch Ave	Addison Road-Seat Pleasant	10.69	5.10
Branch Ave	Morgan Boulevard	11.94	5.60
Branch Ave	Downtown Largo	13.14	6.00
Branch Ave	Van Dorn Street	16.51	6.00
Branch Ave	Franconia-Springfield	19.55	6.00
Branch Ave	Court House	12.37	5.75
Branch Ave	Clarendon	12.79	5.90
Branch Ave	Virginia Square-GMU	13.17	6.00
Branch Ave	Ballston-MU	13.69	6.00
Branch Ave	East Falls Church	16.10	6.00
Branch Ave	West Falls Church	18.12	6.00
Branch Ave	Dunn Loring-Merrifield	20.14	6.00
Branch Ave	Vienna/Fairfax-GMU	22.54	6.00
Branch Ave	McLean	20.24	6.00
Branch Ave	Tysons	20.80	6.00
Branch Ave	Greensboro	21.49	6.00
Branch Ave	Spring Hill	22.13	6.00
Branch Ave	Wiehle-Reston East	27.76	6.00
Branch Ave	Reston Town Center	28.89	6.00
Branch Ave	Herndon	30.20	6.00
Branch Ave	Innovation Center	31.92	6.00
Branch Ave	Washington Dulles International Airport	33.75	6.00
Branch Ave	Loudoun Gateway	35.91	6.00
Branch Ave	Ashburn	37.83	6.00
