Start	Destination	Distance_mi	Fare_USD
Brookland-CUA	Metro Center	3.46	2.20
Brookland-CUA	Farragut North	3.95	2.40
Brookland-CUA	Dupont Circle	4.16	2.45
Brookland-CUA	Woodley Park-Zoo/Adams Morgan	4.79	2.70
Brookland-CUA	Cleveland Park	5.28	2.90
Brookland-CUA	Van Ness-UDC	5.75	3.10
Brookland-CUA	Tenleytown-AU	6.79	3.50
Brookland-CUA	Friendship Heights	7.42	3.75
Brookland-CUA	Bethesda	8.86	4.35
Brookland-CUA	Medical Center	9.75	4.70
Brookland-CUA	Grosvenor-Strathmore	11.77	5.50
Brookland-CUA	North Bethesda	13.12	6.00
Brookland-CUA	Twinbrook	14.19	6.00
Brookland-CUA	Rockville	16.20	6.00
Brookland-CUA	Shady Grove	18.82	6.00
Brookland-CUA	Gallery Pl-Chinatown	3.24	2.10
Brookland-CUA	Judiciary Square	3.04	2.00
Brookland-CUA	Union Station	2.58	2.00
Brookland-CUA	Rhode Island Ave-Brentwood	0.85	2.00
Brookland-CUA	Fort Totten	1.35	2.00
Brookland-CUA	Takoma	3.24	2.10
Brookland-CUA	Silver Spring	4.65	2.65
Brookland-CUA	Forest Glen	6.29	3.30
Brookland-CUA	Wheaton	7.88	3.95
Brookland-CUA	Glenmont	9.58	4.65
Brookland-CUA	NoMa-Gallaudet U	1.91	2.00
Brookland-CUA	McPherson Square	3.70	2.30
Brookland-CUA	Farragut West	4.03	2.40
Brookland-CUA	Foggy Bottom-GWU	4.51	2.60
Brookland-CUA	Rosslyn	5.73	3.10
Brookland-CUA	Arlington Cemetery	6.27	3.30
Brookland-CUA	Pentagon	6.16	3.25
Brookland-CUA	Pentagon City	6.76	3.50
Brookland-CUA	Crystal City	7.11	3.65
Brookland-CUA	Ronald Reagan Washington National Airport	7.43	3.75
Brookland-CUA	Potomac Yard	8.91	4.35
Brookland-CUA	Braddock Road	10.31	4.90
Brookland-CUA	King St-Old Town	10.95	5.20
Brookland-CUA	Eisenhower Avenue	11.61	5.45
Brookland-CUA	Huntington	12.12	5.65
Brookland-CUA	Federal Triangle	3.74	2.30
Brookland-CUA	Smithsonian	4.09	2.45
Brookland-CUA	L'Enfant Plaza	4.09	2.45
Brookland-CUA	Federal Center SW	4.20	2.50
Brookland-CUA	Capitol South	4.41	2.55
Brookland-CUA	Eastern Market	4.66	2.65
Brookland-CUA	Potomac Ave	5.10	2.85
Brookland-CUA	Stadium-Armory	5.31	2.90
Brookland-CUA	Minnesota Ave	6.44	3.40
Brookland-CUA	Deanwood	6.96	3.60
Brookland-CUA	Cheverly	7.90	3.95
Brookland-CUA	Landover	9.42	4.55
Brookland-CUA	New Carrollton	10.71	5.10
Brookland-CUA	Mt Vernon Sq 7th St-Convention Center	3.28	2.10
Brookland-CUA	Shaw-Howard U	3.34	2.15
Brookland-CUA	U Street/African-Amer Civil War Memorial/Cardozo	3.41	2.15
Brookland-CUA	Columbia Heights	2.96	2.00
Brookland-CUA	Georgia Ave-Petworth	2.26	2.00
Brookland-CUA	West Hyattsville	2.68	2.00
Brookland-CUA	Hyattsville Crossing	3.80	2.30
Brookland-CUA	College Park-U of Md	5.64	3.05
Brookland-CUA	Greenbelt	8.01	4.00
Brookland-CUA	Archives-Navy Memorial-Penn Quarter	3.56	2.20
Brookland-CUA	Waterfront	4.72	2.70
Brookland-CUA	Navy Yard-Ballpark	4.96	2.80
Brookland-CUA	Anacostia	5.98	3.20
Brookland-CUA	Congress Heights	7.24	3.70
Brookland-CUA	Southern Avenue	7.97	4.00
Brookland-CUA	Naylor Road	8.38	4.15
Brookland-CUA	Suitland	9.57	4.65
Brookland-CUA	Branch Ave	11.26	5.30
Brookland-CUA	Benning Road	7.01	3.60
Brookland-CUA	Capitol Heights	8.35	4.15
Brookland-CUA	Addison Road-Seat Pleasant	9.30	4.50
Brookland-CUA	Morgan Boulevard	10.59	5.05
Brookland-CUA	Downtown Largo	11.80	5.50
Brookland-CUA	Van Dorn Street	14.02	6.00
Brookland-CUA	Franconia-Springfield	17.33	6.00
Brookland-CUA	Court House	6.75	3.50
Brookland-CUA	Clarendon	7.26	3.70
Brookland-CUA	Virginia Square-GMU	7.73	3.90
Brookland-CUA	Ballston-MU	8.27	4.10
Brookland-CUA	East Falls Church	10.54	5.00
Brookland-CUA	West Falls Church	12.27	5.70
Brookland-CUA	Dunn Loring-Merrifield	14.60	6.00
Brookland-CUA	Vienna/Fairfax-GMU	17.08	6.00
Brookland-CUA	McLean	14.03	6.00
Brookland-CUA	Tysons	14.66	6.00
Brookland-CUA	Greensboro	15.37	6.00
Brookland-CUA	Spring Hill	15.91	6.00
Brookland-CUA	Wiehle-Reston East	21.49	6.00
Brookland-CUA	Reston Town Center	22.60	6.00
Brookland-CUA	Herndon	23.95	6.00
Brookland-CUA	Innovation Center	25.64	6.00
Brookland-CUA	Washington Dulles International Airport	27.55	6.00
Brookland-CUA	Loudoun Gateway	29.46	6.00
Brookland-CUA	Ashburn	31.33	6.00
