Start	Destination	Distance_mi	Fare_USD
Capitol Heights	Metro Center	7.12	3.65
Capitol Heights	Farragut North	7.84	3.95
Capitol Heights	Dupont Circle	8.24	4.10
Capitol Heights	Woodley Park-Zoo/Adams Morgan	9.21	4.50
Capitol Heights	Cleveland Park	9.81	4.70
Capitol Heights	Van Ness-UDC	10.36	4.95
Capitol Heights	Tenleytown-AU	11.40	5.35
Capitol Heights	Friendship Heights	12.08	5.65
Capitol Heights	Bethesda	13.56	6.00
Capitol Heights	Medical Center	14.45	6.00
Capitol Heights	Grosvenor-Strathmore	16.42	6.00
Capitol Heights	North Bethesda	17.74	6.00
Capitol Heights	Twinbrook	18.80	6.00
Capitol Heights	Rockville	20.80	6.00
Capitol Heights	Shady Grove	23.39	6.00
Capitol Heights	Gallery Pl-Chinatown	6.82	3.55
Capitol Heights	Judiciary Square	6.87	3.55
Capitol Heights	Union Station	6.94	3.60
Capitol Heights	Rhode Island Ave-Brentwood	7.74	3.90
Capitol Heights	Brookland-CUA	8.35	4.15
Capitol Heights	Fort Totten	9.56	4.60
Capitol Heights	Takoma	11.38	5.35
Capitol Heights	Silver Spring	12.78	5.90
Capitol Heights	Forest Glen	14.38	6.00
Capitol Heights	Wheaton	15.92	6.00
Capitol Heights	Glenmont	17.54	6.00
Capitol Heights	NoMa-Gallaudet U	7.22	3.70
Capitol Heights	McPherson Square	7.50	3.80
Capitol Heights	Farragut West	7.88	3.95
Capitol Heights	Foggy Bottom-GWU	8.40	4.15
Capitol Heights	Rosslyn	9.61	4.65
Capitol Heights	Arlington Cemetery	9.29	4.50
Capitol Heights	Pentagon	8.44	4.20
Capitol Heights	Pentagon City	8.94	4.40
Capitol Heights	Crystal City	9.11	4.45
Capitol Heights	Ronald Reagan Washington National Airport	9.26	4.50
Capitol Heights	Potomac Yard	10.42	4.95
Capitol Heights	Braddock Road	11.64	5.45
Capitol Heights	King St-Old Town	12.28	5.70
Capitol Heights	Eisenhower Avenue	12.98	6.00
Capitol Heights	Huntington	13.46	6.00
Capitol Heights	Federal Triangle	6.96	3.60
Capitol Heights	Smithsonian	6.78	3.50
Capitol Heights	L'Enfant Plaza	6.36	3.35
Capitol Heights	Federal Center SW	6.03	3.20
Capitol Heights	Capitol South	5.45	3.00
Capitol Heights	Eastern Market	4.95	2.80
Capitol Heights	Potomac Ave	4.37	2.55
Capitol Heights	Stadium-Armory	3.77	2.30
Capitol Heights	Minnesota Ave	4.06	2.40
Capitol Heights	Deanwood	4.41	2.55
Capitol Heights	Cheverly	5.03	2.80
Capitol Heights	Landover	6.62	3.45
Capitol Heights	New Carrollton	8.01	4.00
Capitol Heights	Mt Vernon Sq 7th St-Convention Center	7.15	3.65
Capitol Heights	Shaw-Howard U	7.44	3.80
Capitol Heights	U Street/African-Amer Civil War Memorial/Cardozo	7.86	3.95
Capitol Heights	Columbia Heights	8.56	4.20
Capitol Heights	Georgia Ave-Petworth	8.93	4.35
Capitol Heights	West Hyattsville	10.03	4.80
Capitol Heights	Hyattsville Crossing	10.79	5.10
Capitol Heights	College Park-U of Md	11.99	5.60
Capitol Heights	Greenbelt	14.32	6.00
Capitol Heights	Archives-Navy Memorial-Penn Quarter	6.63	3.45
Capitol Heights	Waterfront	6.67	3.45
Capitol Heights	Navy Yard-Ballpark	6.67	3.45
Capitol Heights	Anacostia	7.11	3.65
Capitol Heights	Congress Heights	7.89	3.95
Capitol Heights	Southern Avenue	8.25	4.10
Capitol Heights	Naylor Road	8.27	4.10
Capitol Heights	Suitland	8.85	4.35
Capitol Heights	Branch Ave	10.23	4.90
Capitol Heights	Benning Road	1.46	2.00
Capitol Heights	Addison Road-Seat Pleasant	0.98	2.00
Capitol Heights	Morgan Boulevard	2.46	2.00
Capitol Heights	Downtown Largo	3.80	2.30
Capitol Heights	Van Dorn Street	15.90	6.00
Capitol Heights	Franconia-Springfield	19.14	6.00
Capitol Heights	Court House	10.59	5.05
Capitol Heights	Clarendon	11.07	5.25
Capitol Heights	Virginia Square-GMU	11.51	5.40
Capitol Heights	Ballston-MU	12.07	5.65
Capitol Heights	East Falls Church	14.49	6.00
Capitol Heights	West Falls Church	16.40	6.00
Capitol Heights	Dunn Loring-Merrifield	18.62	6.00
Capitol Heights	Vienna/Fairfax-GMU	21.09	6.00
Capitol Heights	McLean	18.35	6.00
Capitol Heights	Tysons	18.95	6.00
Capitol Heights	Greensboro	19.67	6.00
Capitol Heights	Spring Hill	20.25	6.00
Capitol Heights	Wiehle-Reston East	25.89	6.00
Capitol Heights	Reston Town Center	27.02	6.00
Capitol Heights	Herndon	28.35	6.00
Capitol Heights	Innovation Center	30.06	6.00
Capitol Heights	Washington Dulles International Airport	31.95	6.00
Capitol Heights	Loudoun Gateway	33.96	6.00
Capitol Heights	Ashburn	35.85	6.00
