Start	Destination	Distance_mi	Fare_USD
Capitol South	Metro Center	1.81	2.00
Capitol South	Farragut North	2.55	2.00
Capitol South	Dupont Circle	3.04	2.00
Capitol South	Woodley Park-Zoo/Adams Morgan	4.18	2.45
Capitol South	Cleveland Park	4.88	2.75
Capitol South	Van Ness-UDC	5.50	3.00
Capitol South	Tenleytown-AU	6.49	3.40
Capitol South	Friendship Heights	7.25	3.70
Capitol South	Bethesda	8.90	4.35
Capitol South	Medical Center	9.90	4.75
Capitol South	Grosvenor-Strathmore	12.06	5.60
Capitol South	North Bethesda	13.44	6.00
Capitol South	Twinbrook	14.53	6.00
Capitol South	Rockville	16.51	6.00
Capitol South	Shady Grove	19.17	6.00
Capitol South	Gallery Pl-Chinatown	1.56	2.00
Capitol South	Judiciary Square	1.59	2.00
Capitol South	Union Station	1.86	2.00
Capitol South	Rhode Island Ave-Brentwood	3.56	2.20
Capitol South	Brookland-CUA	4.41	2.55
Capitol South	Fort Totten	5.66	3.05
Capitol South	Takoma	7.47	3.80
Capitol South	Silver Spring	8.83	4.35
Capitol South	Forest Glen	10.46	5.00
Capitol South	Wheaton	12.06	5.60
Capitol South	Glenmont	13.78	6.00
Capitol South	NoMa-Gallaudet U	2.50	2.00
Capitol South	McPherson Square	2.21	2.00
Capitol South	Farragut West	2.56	2.00
Capitol South	Foggy Bottom-GWU	3.05	2.00
Capitol South	Rosslyn	4.20	2.50
Capitol South	Arlington Cemetery	3.84	2.35
Capitol South	Pentagon	3.04	2.00
Capitol South	Pentagon City	3.59	2.25
Capitol South	Crystal City	3.83	2.35
Capitol South	Ronald Reagan Washington National Airport	4.07	2.45
Capitol South	Potomac Yard	5.48	3.00
Capitol South	Braddock Road	6.86	3.55
Capitol South	King St-Old Town	7.51	3.80
Capitol South	Eisenhower Avenue	8.19	4.10
Capitol South	Huntington	8.70	4.30
Capitol South	Federal Triangle	1.58	2.00
Capitol South	Smithsonian	1.34	2.00
Capitol South	L'Enfant Plaza	0.91	2.00
Capitol South	Federal Center SW	0.58	2.00
Capitol South	Eastern Market	0.50	2.00
Capitol South	Potomac Ave	1.11	2.00
Capitol South	Stadium-Armory	1.68	2.00
Capitol South	Minnesota Ave	3.62	2.25
Capitol South	Deanwood	4.46	2.60
Capitol South	Cheverly	5.62	3.05
Capitol South	Landover	7.41	3.75
Capitol South	New Carrollton	8.83	4.35
Capitol South	Mt Vernon Sq 7th St-Convention Center	2.06	2.00
Capitol South	Shaw-Howard U	2.51	2.00
Capitol South	U Street/African-Amer Civil War Memorial/Cardozo	2.93	2.00
Capitol South	Columbia Heights	3.76	2.30
Capitol South	Georgia Ave-Petworth	4.44	2.60
Capitol South	West Hyattsville	6.95	3.60
Capitol South	Hyattsville Crossing	8.04	4.00
Capitol South	College Park-U of Md	9.79	4.70
Capitol South	Greenbelt	12.22	5.70
Capitol South	Archives-Navy Memorial-Penn Quarter	1.27	2.00
Capitol South	Waterfront	1.30	2.00
Capitol South	Navy Yard-Ballpark	1.46	2.00
Capitol South	Anacostia	2.55	2.00
Capitol South	Congress Heights	3.84	2.35
Capitol South	Southern Avenue	4.65	2.65
Capitol South	Naylor Road	5.31	2.90
Capitol South	Suitland	6.68	3.45
Capitol South	Branch Ave	8.37	4.15
Capitol South	Benning Road	4.00	2.40
Capitol South	Capitol Heights	5.45	3.00
Capitol South	Addison Road-Seat Pleasant	6.42	3.35
Capitol South	Morgan Boulevard	7.91	3.95
Capitol South	Downtown Largo	9.24	4.50
Capitol South	Van Dorn Street	10.80	5.10
Capitol South	Franconia-Springfield	14.10	6.00
Capitol South	Court House	5.15	2.85
Capitol South	Clarendon	5.62	3.05
Capitol South	Virginia Square-GMU	6.06	3.20
Capitol South	Ballston-MU	6.62	3.45
Capitol South	East Falls Church	9.04	4.40
Capitol South	West Falls Church	10.97	5.20
Capitol South	Dunn Loring-Merrifield	13.17	6.00
Capitol South	Vienna/Fairfax-GMU	15.64	6.00
Capitol South	McLean	12.98	6.00
Capitol South	Tysons	13.57	6.00
Capitol South	Greensboro	14.28	6.00
Capitol South	Spring Hill	14.88	6.00
Capitol South	Wiehle-Reston East	20.53	6.00
Capitol South	Reston Town Center	21.66	6.00
Capitol South	Herndon	22.99	6.00
Capitol South	Innovation Center	24.70	6.00
Capitol South	Washington Dulles International Airport	26.57	6.00
Capitol South	Loudoun Gateway	28.64	6.00
Capitol South	Ashburn	30.54	6.00
