Start	Destination	Distance_mi	Fare_USD
Cheverly	Metro Center	7.11	3.65
Cheverly	Farragut North	7.78	3.90
Cheverly	Dupont Circle	8.12	4.05
Cheverly	Woodley Park-Zoo/Adams Morgan	8.96	4.40
Cheverly	Cleveland Park	9.50	4.60
Cheverly	Van Ness-UDC	10.00	4.80
Cheverly	Tenleytown-AU	11.04	5.20
Cheverly	Friendship Heights	11.66	5.45
Cheverly	Bethesda	13.05	6.00
Cheverly	Medical Center	13.89	6.00
Cheverly	Grosvenor-Strathmore	15.78	6.00
Cheverly	North Bethesda	17.07	6.00
Cheverly	Twinbrook	18.11	6.00
Cheverly	Rockville	20.11	6.00
Cheverly	Shady Grove	22.67	6.00
Cheverly	Gallery Pl-Chinatown	6.81	3.50
Cheverly	Judiciary Square	6.88	3.55
Cheverly	Union Station	6.95	3.60
Cheverly	Rhode Island Ave-Brentwood	7.44	3.80
Cheverly	Brookland-CUA	7.90	3.95
Cheverly	Fort Totten	8.98	4.40
Cheverly	Takoma	10.73	5.10
Cheverly	Silver Spring	12.09	5.65
Cheverly	Forest Glen	13.66	6.00
Cheverly	Wheaton	15.17	6.00
Cheverly	Glenmont	16.76	6.00
Cheverly	NoMa-Gallaudet U	7.12	3.65
Cheverly	McPherson Square	7.45	3.80
Cheverly	Farragut West	7.83	3.95
Cheverly	Foggy Bottom-GWU	8.35	4.15
Cheverly	Rosslyn	9.60	4.65
Cheverly	Arlington Cemetery	9.37	4.55
Cheverly	Pentagon	8.66	4.25
Cheverly	Pentagon City	9.21	4.50
Cheverly	Crystal City	9.42	4.55
Cheverly	Ronald Reagan Washington National Airport	9.62	4.65
Cheverly	Potomac Yard	10.90	5.15
Cheverly	Braddock Road	12.20	5.70
Cheverly	King St-Old Town	12.84	5.95
Cheverly	Eisenhower Avenue	13.54	6.00
Cheverly	Huntington	14.05	6.00
Cheverly	Federal Triangle	6.99	3.60
Cheverly	Smithsonian	6.87	3.55
Cheverly	L'Enfant Plaza	6.50	3.40
Cheverly	Federal Center SW	6.17	3.25
Cheverly	Capitol South	5.62	3.05
Cheverly	Eastern Market	5.15	2.85
Cheverly	Potomac Ave	4.65	2.65
Cheverly	Stadium-Armory	4.00	2.40
Cheverly	Minnesota Ave	2.03	2.00
Cheverly	Deanwood	1.16	2.00
Cheverly	Landover	1.81	2.00
Cheverly	New Carrollton	3.26	2.10
Cheverly	Mt Vernon Sq 7th St-Convention Center	7.05	3.60
Cheverly	Shaw-Howard U	7.27	3.70
Cheverly	U Street/African-Amer Civil War Memorial/Cardozo	7.66	3.85
Cheverly	Columbia Heights	8.26	4.10
Cheverly	Georgia Ave-Petworth	8.53	4.20
Cheverly	West Hyattsville	9.29	4.50
Cheverly	Hyattsville Crossing	9.97	4.80
Cheverly	College Park-U of Md	11.11	5.25
Cheverly	Greenbelt	13.45	6.00
Cheverly	Archives-Navy Memorial-Penn Quarter	6.68	3.45
Cheverly	Waterfront	6.90	3.55
Cheverly	Navy Yard-Ballpark	6.94	3.60
Cheverly	Anacostia	7.56	3.80
Cheverly	Congress Heights	8.52	4.20
Cheverly	Southern Avenue	8.98	4.40
Cheverly	Naylor Road	9.05	4.40
Cheverly	Suitland	9.79	4.70
Cheverly	Branch Ave	11.24	5.30
Cheverly	Benning Road	4.41	2.55
Cheverly	Capitol Heights	5.03	2.80
Cheverly	Addison Road-Seat Pleasant	5.78	3.10
Cheverly	Morgan Boulevard	6.88	3.55
Cheverly	Downtown Largo	8.05	4.00
Cheverly	Van Dorn Street	16.34	6.00
Cheverly	Franconia-Springfield	19.63	6.00
Cheverly	Court House	10.61	5.05
Cheverly	Clarendon	11.11	5.25
Cheverly	Virginia Square-GMU	11.57	5.45
Cheverly	Ballston-MU	12.13	5.65
Cheverly	East Falls Church	14.51	6.00
Cheverly	West Falls Church	16.34	6.00
Cheverly	Dunn Loring-Merrifield	18.63	6.00
Cheverly	Vienna/Fairfax-GMU	21.11	6.00
Cheverly	McLean	18.20	6.00
Cheverly	Tysons	18.82	6.00
Cheverly	Greensboro	19.53	6.00
Cheverly	Spring Hill	20.09	6.00
Cheverly	Wiehle-Reston East	25.71	6.00
Cheverly	Reston Town Center	26.82	6.00
Cheverly	Herndon	28.16	6.00
Cheverly	Innovation Center	29.86	6.00
Cheverly	Washington Dulles International Airport	31.77	6.00
Cheverly	Loudoun Gateway	33.70	6.00
Cheverly	Ashburn	35.58	6.00
