Start	Destination	Distance_mi	Fare_USD
Clarendon	Metro Center	4.00	2.40
Clarendon	Farragut North	4.15	2.45
Clarendon	Dupont Circle	4.41	2.55
Clarendon	Woodley Park-Zoo/Adams Morgan	5.16	2.85
Clarendon	Cleveland Park	5.69	3.10
Clarendon	Van Ness-UDC	6.20	3.30
Clarendon	Tenleytown-AU	6.80	3.50
Clarendon	Friendship Heights	7.53	3.80
Clarendon	Bethesda	9.19	4.50
Clarendon	Medical Center	10.23	4.90
Clarendon	Grosvenor-Strathmore	12.45	5.80
Clarendon	North Bethesda	13.80	6.00
Clarendon	Twinbrook	14.87	6.00
Clarendon	Rockville	16.71	6.00
Clarendon	Shady Grove	19.36	6.00
Clarendon	Gallery Pl-Chinatown	4.29	2.50
Clarendon	Judiciary Square	4.62	2.65
Clarendon	Union Station	5.20	2.90
Clarendon	Rhode Island Ave-Brentwood	6.60	3.45
Clarendon	Brookland-CUA	7.26	3.70
Clarendon	Fort Totten	8.09	4.05
Clarendon	Takoma	9.41	4.55
Clarendon	Silver Spring	10.47	5.00
Clarendon	Forest Glen	11.88	5.55
Clarendon	Wheaton	13.39	6.00
Clarendon	Glenmont	15.07	6.00
Clarendon	NoMa-Gallaudet U	5.71	3.10
Clarendon	McPherson Square	3.67	2.25
Clarendon	Farragut West	3.30	2.10
Clarendon	Foggy Bottom-GWU	2.78	2.00
Clarendon	Rosslyn	1.54	2.00
Clarendon	Arlington Cemetery	2.14	2.00
Clarendon	Pentagon	3.20	2.10
Clarendon	Pentagon City	3.53	2.20
Clarendon	Crystal City	4.17	2.45
Clarendon	Ronald Reagan Washington National Airport	4.68	2.65
Clarendon	Potomac Yard	5.96	3.20
Clarendon	Braddock Road	7.15	3.65
Clarendon	King St-Old Town	7.65	3.85
Clarendon	Eisenhower Avenue	8.13	4.05
Clarendon	Huntington	8.60	4.25
Clarendon	Federal Triangle	4.12	2.45
Clarendon	Smithsonian	4.29	2.50
Clarendon	L'Enfant Plaza	4.71	2.70
Clarendon	Federal Center SW	5.04	2.80
Clarendon	Capitol South	5.62	3.05
Clarendon	Eastern Market	6.12	3.25
Clarendon	Potomac Ave	6.72	3.50
Clarendon	Stadium-Armory	7.30	3.70
Clarendon	Minnesota Ave	9.19	4.50
Clarendon	Deanwood	9.98	4.80
Clarendon	Cheverly	11.11	5.25
Clarendon	Landover	12.83	5.95
Clarendon	New Carrollton	14.21	6.00
Clarendon	Mt Vernon Sq 7th St-Convention Center	4.67	2.65
Clarendon	Shaw-Howard U	5.00	2.80
Clarendon	U Street/African-Amer Civil War Memorial/Cardozo	5.16	2.85
Clarendon	Columbia Heights	5.70	3.10
Clarendon	Georgia Ave-Petworth	6.56	3.40
Clarendon	West Hyattsville	9.86	4.75
Clarendon	Hyattsville Crossing	10.98	5.20
Clarendon	College Park-U of Md	12.84	5.95
Clarendon	Greenbelt	15.13	6.00
Clarendon	Archives-Navy Memorial-Penn Quarter	4.46	2.60
Clarendon	Waterfront	5.26	2.90
Clarendon	Navy Yard-Ballpark	5.88	3.15
Clarendon	Anacostia	6.84	3.55
Clarendon	Congress Heights	7.90	3.95
Clarendon	Southern Avenue	8.81	4.30
Clarendon	Naylor Road	9.77	4.70
Clarendon	Suitland	11.17	5.25
Clarendon	Branch Ave	12.79	5.90
Clarendon	Benning Road	9.61	4.65
Clarendon	Capitol Heights	11.07	5.25
Clarendon	Addison Road-Seat Pleasant	12.04	5.60
Clarendon	Morgan Boulevard	13.52	6.00
Clarendon	Downtown Largo	14.84	6.00
Clarendon	Van Dorn Street	9.80	4.70
Clarendon	Franconia-Springfield	13.00	6.00
Clarendon	Court House	0.51	2.00
Clarendon	Virginia Square-GMU	0.47	2.00
Clarendon	Ballston-MU	1.02	2.00
Clarendon	East Falls Church	3.42	2.15
Clarendon	West Falls Church	5.37	2.95
Clarendon	Dunn Loring-Merrifield	7.55	3.80
Clarendon	Vienna/Fairfax-GMU	10.02	4.80
Clarendon	McLean	7.46	3.80
Clarendon	Tysons	8.02	4.00
Clarendon	Greensboro	8.72	4.30
Clarendon	Spring Hill	9.35	4.55
Clarendon	Wiehle-Reston East	14.98	6.00
Clarendon	Reston Town Center	16.11	6.00
Clarendon	Herndon	17.43	6.00
Clarendon	Innovation Center	19.15	6.00
Clarendon	Washington Dulles International Airport	21.00	6.00
Clarendon	Loudoun Gateway	23.12	6.00
Clarendon	Ashburn	25.04	6.00
