Start	Destination	Distance_mi	Fare_USD
Cleveland Park	Metro Center	3.10	2.05
Cleveland Park	Farragut North	2.41	2.00
Cleveland Park	Dupont Circle	1.90	2.00
Cleveland Park	Woodley Park-Zoo/Adams Morgan	0.71	2.00
Cleveland Park	Van Ness-UDC	0.63	2.00
Cleveland Park	Tenleytown-AU	1.62	2.00
Cleveland Park	Friendship Heights	2.37	2.00
Cleveland Park	Bethesda	4.04	2.40
Cleveland Park	Medical Center	5.06	2.80
Cleveland Park	Grosvenor-Strathmore	7.26	3.70
Cleveland Park	North Bethesda	8.64	4.25
Cleveland Park	Twinbrook	9.74	4.70
Cleveland Park	Rockville	11.69	5.50
Cleveland Park	Shady Grove	14.35	6.00
Cleveland Park	Gallery Pl-Chinatown	3.32	2.15
Cleveland Park	Judiciary Square	3.67	2.25
Cleveland Park	Union Station	4.13	2.45
Cleveland Park	Rhode Island Ave-Brentwood	4.87	2.75
Cleveland Park	Brookland-CUA	5.28	2.90
Cleveland Park	Fort Totten	5.78	3.10
Cleveland Park	Takoma	6.93	3.55
Cleveland Park	Silver Spring	8.01	4.00
Cleveland Park	Forest Glen	9.49	4.60
Cleveland Park	Wheaton	11.04	5.20
Cleveland Park	Glenmont	12.76	5.90
Cleveland Park	NoMa-Gallaudet U	4.36	2.55
Cleveland Park	McPherson Square	3.16	2.05
Cleveland Park	Farragut West	3.27	2.10
Cleveland Park	Foggy Bottom-GWU	3.48	2.20
Cleveland Park	Rosslyn	4.33	2.55
Cleveland Park	Arlington Cemetery	5.15	2.85
Cleveland Park	Pentagon	5.62	3.05
Cleveland Park	Pentagon City	6.17	3.25
Cleveland Park	Crystal City	6.68	3.45
Cleveland Park	Ronald Reagan Washington National Airport	7.13	3.65
Cleveland Park	Potomac Yard	8.63	4.25
Cleveland Park	Braddock Road	9.99	4.80
Cleveland Park	King St-Old Town	10.57	5.05
Cleveland Park	Eisenhower Avenue	11.15	5.25
Cleveland Park	Huntington	11.65	5.45
Cleveland Park	Federal Triangle	3.38	2.15
Cleveland Park	Smithsonian	3.73	2.30
Cleveland Park	L'Enfant Plaza	4.17	2.45
Cleveland Park	Federal Center SW	4.42	2.55
Cleveland Park	Capitol South	4.88	2.75
Cleveland Park	Eastern Market	5.31	2.90
Cleveland Park	Potomac Ave	5.90	3.15
Cleveland Park	Stadium-Armory	6.30	3.30
Cleveland Park	Minnesota Ave	7.86	3.95
Cleveland Park	Deanwood	8.49	4.20
Cleveland Park	Cheverly	9.50	4.60
Cleveland Park	Landover	11.05	5.20
Cleveland Park	New Carrollton	12.32	5.75
Cleveland Park	Mt Vernon Sq 7th St-Convention Center	3.41	2.15
Cleveland Park	Shaw-Howard U	3.49	2.20
Cleveland Park	U Street/African-Amer Civil War Memorial/Cardozo	3.53	2.20
Cleveland Park	Columbia Heights	3.69	2.30
Cleveland Park	Georgia Ave-Petworth	4.34	2.55
Cleveland Park	West Hyattsville	7.67	3.85
Cleveland Park	Hyattsville Crossing	8.74	4.30
Cleveland Park	College Park-U of Md	10.60	5.05
Cleveland Park	Greenbelt	12.77	5.90
Cleveland Park	Archives-Navy Memorial-Penn Quarter	3.66	2.25
Cleveland Park	Waterfront	4.88	2.75
Cleveland Park	Navy Yard-Ballpark	5.36	2.95
Cleveland Park	Anacostia	6.48	3.40
Cleveland Park	Congress Heights	7.74	3.90
Cleveland Park	Southern Avenue	8.60	4.25
Cleveland Park	Naylor Road	9.27	4.50
Cleveland Park	Suitland	10.60	5.05
Cleveland Park	Branch Ave	12.30	5.70
Cleveland Park	Benning Road	8.39	4.15
Cleveland Park	Capitol Heights	9.81	4.70
Cleveland Park	Addison Road-Seat Pleasant	10.79	5.10
Cleveland Park	Morgan Boulevard	12.15	5.65
Cleveland Park	Downtown Largo	13.39	6.00
Cleveland Park	Van Dorn Street	13.12	6.00
Cleveland Park	Franconia-Springfield	16.35	6.00
Cleveland Park	Court House	5.22	2.90
Cleveland Park	Clarendon	5.69	3.10
Cleveland Park	Virginia Square-GMU	6.13	3.25
Cleveland Park	Ballston-MU	6.61	3.45
Cleveland Park	East Falls Church	8.66	4.25
Cleveland Park	West Falls Church	10.27	4.90
Cleveland Park	Dunn Loring-Merrifield	12.63	5.85
Cleveland Park	Vienna/Fairfax-GMU	15.09	6.00
Cleveland Park	McLean	11.96	5.60
Cleveland Park	Tysons	12.60	5.85
Cleveland Park	Greensboro	13.31	6.00
Cleveland Park	Spring Hill	13.84	6.00
Cleveland Park	Wiehle-Reston East	19.42	6.00
Cleveland Park	Reston Town Center	20.53	6.00
Cleveland Park	Herndon	21.87	6.00
Cleveland Park	Innovation Center	23.57	6.00
Cleveland Park	Washington Dulles International Airport	25.48	6.00
Cleveland Park	Loudoun Gateway	27.40	6.00
Cleveland Park	Ashburn	29.28	6.00
