Start	Destination	Distance_mi	Fare_USD
College Park-U of Md	Metro Center	9.04	4.40
College Park-U of Md	Farragut North	9.55	4.60
College Park-U of Md	Dupont Circle	9.74	4.70
College Park-U of Md	Woodley Park-Zoo/Adams Morgan	10.25	4.90
College Park-U of Md	Cleveland Park	10.60	5.05
College Park-U of Md	Van Ness-UDC	10.93	5.15
College Park-U of Md	Tenleytown-AU	11.86	5.55
College Park-U of Md	Friendship Heights	12.32	5.75
College Park-U of Md	Bethesda	13.37	6.00
College Park-U of Md	Medical Center	14.02	6.00
College Park-U of Md	Grosvenor-Strathmore	15.61	6.00
College Park-U of Md	North Bethesda	16.78	6.00
College Park-U of Md	Twinbrook	17.76	6.00
College Park-U of Md	Rockville	19.72	6.00
College Park-U of Md	Shady Grove	22.16	6.00
College Park-U of Md	Gallery Pl-Chinatown	8.78	4.30
College Park-U of Md	Judiciary Square	8.61	4.25
College Park-U of Md	Union Station	8.09	4.05
College Park-U of Md	Rhode Island Ave-Brentwood	6.40	3.35
College Park-U of Md	Brookland-CUA	5.64	3.05
College Park-U of Md	Fort Totten	4.81	2.70
College Park-U of Md	Takoma	5.97	3.20
College Park-U of Md	Silver Spring	7.08	3.65
College Park-U of Md	Forest Glen	8.43	4.15
College Park-U of Md	Wheaton	9.76	4.70
College Park-U of Md	Glenmont	11.22	5.30
College Park-U of Md	NoMa-Gallaudet U	7.44	3.80
College Park-U of Md	McPherson Square	9.30	4.50
College Park-U of Md	Farragut West	9.63	4.65
College Park-U of Md	Foggy Bottom-GWU	10.11	4.85
College Park-U of Md	Rosslyn	11.31	5.30
College Park-U of Md	Arlington Cemetery	11.87	5.55
College Park-U of Md	Pentagon	11.73	5.50
College Park-U of Md	Pentagon City	12.32	5.75
College Park-U of Md	Crystal City	12.64	5.85
College Park-U of Md	Ronald Reagan Washington National Airport	12.93	5.95
College Park-U of Md	Potomac Yard	14.36	6.00
College Park-U of Md	Braddock Road	15.73	6.00
College Park-U of Md	King St-Old Town	16.38	6.00
College Park-U of Md	Eisenhower Avenue	17.06	6.00
College Park-U of Md	Huntington	17.58	6.00
College Park-U of Md	Federal Triangle	9.30	4.50
College Park-U of Md	Smithsonian	9.64	4.65
College Park-U of Md	L'Enfant Plaza	9.59	4.65
College Park-U of Md	Federal Center SW	9.66	4.65
College Park-U of Md	Capitol South	9.79	4.70
College Park-U of Md	Eastern Market	9.93	4.75
College Park-U of Md	Potomac Ave	10.22	4.90
College Park-U of Md	Stadium-Armory	10.30	4.90
College Park-U of Md	Minnesota Ave	10.71	5.10
College Park-U of Md	Deanwood	10.80	5.10
College Park-U of Md	Cheverly	11.11	5.25
College Park-U of Md	Landover	11.71	5.50
College Park-U of Md	New Carrollton	12.44	5.80
College Park-U of Md	Mt Vernon Sq 7th St-Convention Center	8.30	4.10
College Park-U of Md	Shaw-Howard U	7.90	3.95
College Park-U of Md	U Street/African-Amer Civil War Memorial/Cardozo	7.70	3.90
College Park-U of Md	Columbia Heights	7.15	3.65
College Park-U of Md	Georgia Ave-Petworth	6.32	3.35
College Park-U of Md	West Hyattsville	2.98	2.00
College Park-U of Md	Hyattsville Crossing	1.86	2.00
College Park-U of Md	Greenbelt	2.45	2.00
College Park-U of Md	Archives-Navy Memorial-Penn Quarter	9.10	4.45
College Park-U of Md	Waterfront	10.16	4.85
College Park-U of Md	Navy Yard-Ballpark	10.30	4.90
College Park-U of Md	Anacostia	11.17	5.25
College Park-U of Md	Congress Heights	12.31	5.70
College Park-U of Md	Southern Avenue	12.88	5.95
College Park-U of Md	Naylor Road	13.06	6.00
College Park-U of Md	Suitland	13.94	6.00
College Park-U of Md	Branch Ave	15.44	6.00
College Park-U of Md	Benning Road	11.18	5.25
College Park-U of Md	Capitol Heights	11.99	5.60
College Park-U of Md	Addison Road-Seat Pleasant	12.68	5.85
College Park-U of Md	Morgan Boulevard	13.49	6.00
College Park-U of Md	Downtown Largo	14.34	6.00
College Park-U of Md	Van Dorn Street	19.60	6.00
College Park-U of Md	Franconia-Springfield	22.91	6.00
College Park-U of Md	Court House	12.33	5.75
College Park-U of Md	Clarendon	12.84	5.95
College Park-U of Md	Virginia Square-GMU	13.30	6.00
College Park-U of Md	Ballston-MU	13.84	6.00
College Park-U of Md	East Falls Church	16.03	6.00
College Park-U of Md	West Falls Church	17.65	6.00
College Park-U of Md	Dunn Loring-Merrifield	20.02	6.00
College Park-U of Md	Vienna/Fairfax-GMU	22.48	6.00
College Park-U of Md	McLean	19.26	6.00
College Park-U of Md	Tysons	19.90	6.00
College Park-U of Md	Greensboro	20.60	6.00
College Park-U of Md	Spring Hill	21.09	6.00
College Park-U of Md	Wiehle-Reston East	26.54	6.00
College Park-U of Md	Reston Town Center	27.62	6.00
College Park-U of Md	Herndon	28.97	6.00
College Park-U of Md	Innovation Center	30.62	6.00
College Park-U of Md	Washington Dulles International Airport	32.56	6.00
College Park-U of Md	Loudoun Gateway	34.31	6.00
College Park-U of Md	Ashburn	36.14	6.00
