Start	Destination	Distance_mi	Fare_USD
Columbia Heights	Metro Center	2.37	2.00
Columbia Heights	Farragut North	2.61	2.00
Columbia Heights	Dupont Circle	2.68	2.00
Columbia Heights	Woodley Park-Zoo/Adams Morgan	3.15	2.05
Columbia Heights	Cleveland Park	3.69	2.30
Columbia Heights	Van Ness-UDC	4.25	2.50
Columbia Heights	Tenleytown-AU	5.29	2.90
Columbia Heights	Friendship Heights	6.00	3.20
Columbia Heights	Bethesda	7.60	3.85
Columbia Heights	Medical Center	8.59	4.25
Columbia Heights	Grosvenor-Strathmore	10.73	5.10
Columbia Heights	North Bethesda	12.11	5.65
Columbia Heights	Twinbrook	13.21	6.00
Columbia Heights	Rockville	15.18	6.00
Columbia Heights	Shady Grove	17.84	6.00
Columbia Heights	Gallery Pl-Chinatown	2.25	2.00
Columbia Heights	Judiciary Square	2.56	2.00
Columbia Heights	Union Station	2.96	2.00
Columbia Heights	Rhode Island Ave-Brentwood	3.36	2.15
Columbia Heights	Brookland-CUA	2.96	2.00
Columbia Heights	Fort Totten	2.39	2.00
Columbia Heights	Takoma	3.91	2.35
Columbia Heights	Silver Spring	5.18	2.85
Columbia Heights	Forest Glen	6.77	3.50
Columbia Heights	Wheaton	8.37	4.15
Columbia Heights	Glenmont	10.09	4.85
Columbia Heights	NoMa-Gallaudet U	3.12	2.05
Columbia Heights	McPherson Square	2.48	2.00
Columbia Heights	Farragut West	2.70	2.00
Columbia Heights	Foggy Bottom-GWU	3.07	2.05
Columbia Heights	Rosslyn	4.20	2.50
Columbia Heights	Arlington Cemetery	4.86	2.75
Columbia Heights	Pentagon	4.92	2.75
Columbia Heights	Pentagon City	5.51	3.00
Columbia Heights	Crystal City	5.95	3.20
Columbia Heights	Ronald Reagan Washington National Airport	6.35	3.35
Columbia Heights	Potomac Yard	7.86	3.95
Columbia Heights	Braddock Road	9.25	4.50
Columbia Heights	King St-Old Town	9.87	4.75
Columbia Heights	Eisenhower Avenue	10.49	5.00
Columbia Heights	Huntington	10.99	5.20
Columbia Heights	Federal Triangle	2.67	2.00
Columbia Heights	Smithsonian	3.04	2.00
Columbia Heights	L'Enfant Plaza	3.16	2.05
Columbia Heights	Federal Center SW	3.36	2.15
Columbia Heights	Capitol South	3.76	2.30
Columbia Heights	Eastern Market	4.15	2.45
Columbia Heights	Potomac Ave	4.73	2.70
Columbia Heights	Stadium-Armory	5.09	2.85
Columbia Heights	Minnesota Ave	6.60	3.45
Columbia Heights	Deanwood	7.24	3.70
Columbia Heights	Cheverly	8.26	4.10
Columbia Heights	Landover	9.84	4.75
Columbia Heights	New Carrollton	11.14	5.25
Columbia Heights	Mt Vernon Sq 7th St-Convention Center	1.70	2.00
Columbia Heights	Shaw-Howard U	1.25	2.00
Columbia Heights	U Street/African-Amer Civil War Memorial/Cardozo	0.84	2.00
Columbia Heights	Georgia Ave-Petworth	0.87	2.00
Columbia Heights	West Hyattsville	4.17	2.45
Columbia Heights	Hyattsville Crossing	5.29	2.90
Columbia Heights	College Park-U of Md	7.15	3.65
Columbia Heights	Greenbelt	9.43	4.55
Columbia Heights	Archives-Navy Memorial-Penn Quarter	2.60	2.00
Columbia Heights	Waterfront	3.87	2.35
Columbia Heights	Navy Yard-Ballpark	4.28	2.50
Columbia Heights	Anacostia	5.40	2.95
Columbia Heights	Congress Heights	6.68	3.45
Columbia Heights	Southern Avenue	7.50	3.80
Columbia Heights	Naylor Road	8.10	4.05
Columbia Heights	Suitland	9.41	4.55
Columbia Heights	Branch Ave	11.12	5.25
Columbia Heights	Benning Road	7.14	3.65
Columbia Heights	Capitol Heights	8.56	4.20
Columbia Heights	Addison Road-Seat Pleasant	9.53	4.60
Columbia Heights	Morgan Boulevard	10.90	5.15
Columbia Heights	Downtown Largo	12.15	5.65
Columbia Heights	Van Dorn Street	12.68	5.85
Columbia Heights	Franconia-Springfield	15.96	6.00
Columbia Heights	Court House	5.20	2.90
Columbia Heights	Clarendon	5.70	3.10
Columbia Heights	Virginia Square-GMU	6.17	3.25
Columbia Heights	Ballston-MU	6.69	3.50
Columbia Heights	East Falls Church	8.91	4.35
Columbia Heights	West Falls Church	10.62	5.05
Columbia Heights	Dunn Loring-Merrifield	12.95	6.00
Columbia Heights	Vienna/Fairfax-GMU	15.43	6.00
Columbia Heights	McLean	12.39	5.75
Columbia Heights	Tysons	13.02	6.00
Columbia Heights	Greensboro	13.73	6.00
Columbia Heights	Spring Hill	14.28	6.00
Columbia Heights	Wiehle-Reston East	19.88	6.00
Columbia Heights	Reston Town Center	20.99	6.00
Columbia Heights	Herndon	22.34	6.00
Columbia Heights	Innovation Center	24.03	6.00
Columbia Heights	Washington Dulles International Airport	25.94	6.00
Columbia Heights	Loudoun Gateway	27.88	6.00
Columbia Heights	Ashburn	29.76	6.00
