Start	Destination	Distance_mi	Fare_USD
Congress Heights	Metro Center	4.64	2.65
Congress Heights	Farragut North	5.35	2.95
Congress Heights	Dupont Circle	5.85	3.15
Congress Heights	Woodley Park-Zoo/Adams Morgan	7.04	3.60
Congress Heights	Cleveland Park	7.74	3.90
Congress Heights	Van Ness-UDC	8.37	4.15
Congress Heights	Tenleytown-AU	9.33	4.55
Congress Heights	Friendship Heights	10.10	4.85
Congress Heights	Bethesda	11.78	5.50
Congress Heights	Medical Center	12.80	5.90
Congress Heights	Grosvenor-Strathmore	14.97	6.00
Congress Heights	North Bethesda	16.35	6.00
Congress Heights	Twinbrook	17.45	6.00
Congress Heights	Rockville	19.41	6.00
Congress Heights	Shady Grove	22.07	6.00
Congress Heights	Gallery Pl-Chinatown	4.44	2.60
Congress Heights	Judiciary Square	4.50	2.60
Congress Heights	Union Station	4.78	2.70
Congress Heights	Rhode Island Ave-Brentwood	6.40	3.35
Congress Heights	Brookland-CUA	7.24	3.70
Congress Heights	Fort Totten	8.54	4.20
Congress Heights	Takoma	10.37	4.95
Congress Heights	Silver Spring	11.75	5.50
Congress Heights	Forest Glen	13.38	6.00
Congress Heights	Wheaton	14.98	6.00
Congress Heights	Glenmont	16.70	6.00
Congress Heights	NoMa-Gallaudet U	5.39	2.95
Congress Heights	McPherson Square	5.03	2.80
Congress Heights	Farragut West	5.33	2.95
Congress Heights	Foggy Bottom-GWU	5.74	3.10
Congress Heights	Rosslyn	6.70	3.50
Congress Heights	Arlington Cemetery	6.19	3.30
Congress Heights	Pentagon	5.06	2.80
Congress Heights	Pentagon City	5.41	2.95
Congress Heights	Crystal City	5.51	3.00
Congress Heights	Ronald Reagan Washington National Airport	5.58	3.05
Congress Heights	Potomac Yard	6.49	3.40
Congress Heights	Braddock Road	7.65	3.85
Congress Heights	King St-Old Town	8.28	4.10
Congress Heights	Eisenhower Avenue	8.99	4.40
Congress Heights	Huntington	9.47	4.60
Congress Heights	Federal Triangle	4.36	2.55
Congress Heights	Smithsonian	4.03	2.40
Congress Heights	L'Enfant Plaza	3.58	2.25
Congress Heights	Federal Center SW	3.66	2.25
Congress Heights	Capitol South	3.84	2.35
Congress Heights	Eastern Market	4.02	2.40
Congress Heights	Potomac Ave	4.20	2.50
Congress Heights	Stadium-Armory	4.78	2.70
Congress Heights	Minnesota Ave	6.54	3.40
Congress Heights	Deanwood	7.41	3.75
Congress Heights	Cheverly	8.52	4.20
Congress Heights	Landover	10.32	4.95
Congress Heights	New Carrollton	11.77	5.50
Congress Heights	Mt Vernon Sq 7th St-Convention Center	4.98	2.80
Congress Heights	Shaw-Howard U	5.44	3.00
Congress Heights	U Street/African-Amer Civil War Memorial/Cardozo	5.84	3.15
Congress Heights	Columbia Heights	6.68	3.45
Congress Heights	Georgia Ave-Petworth	7.37	3.75
Congress Heights	West Hyattsville	9.66	4.65
Congress Heights	Hyattsville Crossing	10.69	5.10
Congress Heights	College Park-U of Md	12.31	5.70
Congress Heights	Greenbelt	14.76	6.00
Congress Heights	Archives-Navy Memorial-Penn Quarter	4.10	2.45
Congress Heights	Waterfront	2.87	2.00
Congress Heights	Navy Yard-Ballpark	2.40	2.00
Congress Heights	Anacostia	1.29	2.00
Congress Heights	Southern Avenue	0.92	2.00
Congress Heights	Naylor Road	2.03	2.00
Congress Heights	Suitland	3.37	2.15
Congress Heights	Branch Ave	4.91	2.75
Congress Heights	Benning Road	6.66	3.45
Congress Heights	Capitol Heights	7.89	3.95
Congress Heights	Addison Road-Seat Pleasant	8.74	4.30
Congress Heights	Morgan Boulevard	10.25	4.90
Congress Heights	Downtown Largo	11.59	5.45
Congress Heights	Van Dorn Street	11.95	5.60
Congress Heights	Franconia-Springfield	15.16	6.00
Congress Heights	Court House	7.50	3.80
Congress Heights	Clarendon	7.90	3.95
Congress Heights	Virginia Square-GMU	8.27	4.10
Congress Heights	Ballston-MU	8.79	4.30
Congress Heights	East Falls Church	11.20	5.30
Congress Heights	West Falls Church	13.22	6.00
Congress Heights	Dunn Loring-Merrifield	15.25	6.00
Congress Heights	Vienna/Fairfax-GMU	17.66	6.00
Congress Heights	McLean	15.35	6.00
Congress Heights	Tysons	15.90	6.00
Congress Heights	Greensboro	16.59	6.00
Congress Heights	Spring Hill	17.23	6.00
Congress Heights	Wiehle-Reston East	22.86	6.00
Congress Heights	Reston Town Center	23.98	6.00
Congress Heights	Herndon	25.29	6.00
Congress Heights	Innovation Center	27.01	6.00
Congress Heights	Washington Dulles International Airport	28.84	6.00
Congress Heights	Loudoun Gateway	31.01	6.00
Congress Heights	Ashburn	32.93	6.00
