Start	Destination	Distance_mi	Fare_USD
Court House	Metro Center	3.51	2.20
Court House	Farragut North	3.64	2.25
Court House	Dupont Circle	3.90	2.35
Court House	Woodley Park-Zoo/Adams Morgan	4.67	2.65
Court House	Cleveland Park	5.22	2.90
Court House	Van Ness-UDC	5.75	3.10
Court House	Tenleytown-AU	6.39	3.35
Court House	Friendship Heights	7.14	3.65
Court House	Bethesda	8.83	4.35
Court House	Medical Center	9.87	4.75
Court House	Grosvenor-Strathmore	12.09	5.65
Court House	North Bethesda	13.45	6.00
Court House	Twinbrook	14.53	6.00
Court House	Rockville	16.39	6.00
Court House	Shady Grove	19.04	6.00
Court House	Gallery Pl-Chinatown	3.79	2.30
Court House	Judiciary Square	4.13	2.45
Court House	Union Station	4.71	2.70
Court House	Rhode Island Ave-Brentwood	6.10	3.25
Court House	Brookland-CUA	6.75	3.50
Court House	Fort Totten	7.59	3.85
Court House	Takoma	8.93	4.35
Court House	Silver Spring	10.02	4.80
Court House	Forest Glen	11.45	5.40
Court House	Wheaton	12.97	6.00
Court House	Glenmont	14.66	6.00
Court House	NoMa-Gallaudet U	5.21	2.90
Court House	McPherson Square	3.16	2.05
Court House	Farragut West	2.79	2.00
Court House	Foggy Bottom-GWU	2.27	2.00
Court House	Rosslyn	1.03	2.00
Court House	Arlington Cemetery	1.69	2.00
Court House	Pentagon	2.82	2.00
Court House	Pentagon City	3.21	2.10
Court House	Crystal City	3.83	2.35
Court House	Ronald Reagan Washington National Airport	4.34	2.55
Court House	Potomac Yard	5.69	3.10
Court House	Braddock Road	6.92	3.55
Court House	King St-Old Town	7.44	3.80
Court House	Eisenhower Avenue	7.96	4.00
Court House	Huntington	8.43	4.15
Court House	Federal Triangle	3.63	2.25
Court House	Smithsonian	3.81	2.30
Court House	L'Enfant Plaza	4.24	2.50
Court House	Federal Center SW	4.57	2.65
Court House	Capitol South	5.15	2.85
Court House	Eastern Market	5.65	3.05
Court House	Potomac Ave	6.25	3.30
Court House	Stadium-Armory	6.82	3.55
Court House	Minnesota Ave	8.70	4.30
Court House	Deanwood	9.49	4.60
Court House	Cheverly	10.61	5.05
Court House	Landover	12.33	5.75
Court House	New Carrollton	13.70	6.00
Court House	Mt Vernon Sq 7th St-Convention Center	4.16	2.45
Court House	Shaw-Howard U	4.49	2.60
Court House	U Street/African-Amer Civil War Memorial/Cardozo	4.65	2.65
Court House	Columbia Heights	5.20	2.90
Court House	Georgia Ave-Petworth	6.06	3.20
Court House	West Hyattsville	9.35	4.55
Court House	Hyattsville Crossing	10.47	5.00
Court House	College Park-U of Md	12.33	5.75
Court House	Greenbelt	14.63	6.00
Court House	Archives-Navy Memorial-Penn Quarter	3.97	2.40
Court House	Waterfront	4.81	2.70
Court House	Navy Yard-Ballpark	5.43	2.95
Court House	Anacostia	6.41	3.35
Court House	Congress Heights	7.50	3.80
Court House	Southern Avenue	8.41	4.15
Court House	Naylor Road	9.35	4.55
Court House	Suitland	10.75	5.10
Court House	Branch Ave	12.37	5.75
Court House	Benning Road	9.13	4.45
Court House	Capitol Heights	10.59	5.05
Court House	Addison Road-Seat Pleasant	11.56	5.40
Court House	Morgan Boulevard	13.04	6.00
Court House	Downtown Largo	14.35	6.00
Court House	Van Dorn Street	9.73	4.70
Court House	Franconia-Springfield	12.96	6.00
Court House	Clarendon	0.51	2.00
Court House	Virginia Square-GMU	0.98	2.00
Court House	Ballston-MU	1.53	2.00
Court House	East Falls Church	3.90	2.35
Court House	West Falls Church	5.83	3.15
Court House	Dunn Loring-Merrifield	8.03	4.00
Court House	Vienna/Fairfax-GMU	10.51	5.00
Court House	McLean	7.88	3.95
Court House	Tysons	8.45	4.20
Court House	Greensboro	9.15	4.45
Court House	Spring Hill	9.77	4.70
Court House	Wiehle-Reston East	15.42	6.00
Court House	Reston Town Center	16.55	6.00
Court House	Herndon	17.87	6.00
Court House	Innovation Center	19.58	6.00
Court House	Washington Dulles International Airport	21.44	6.00
Court House	Loudoun Gateway	23.55	6.00
Court House	Ashburn	25.46	6.00
