Start	Destination	Distance_mi	Fare_USD
Crystal City	Metro Center	3.93	2.35
Crystal City	Farragut North	4.40	2.55
Crystal City	Dupont Circle	4.87	2.75
Crystal City	Woodley Park-Zoo/Adams Morgan	6.00	3.20
Crystal City	Cleveland Park	6.68	3.45
Crystal City	Van Ness-UDC	7.29	3.70
Crystal City	Tenleytown-AU	8.12	4.05
Crystal City	Friendship Heights	8.90	4.35
Crystal City	Bethesda	10.61	5.05
Crystal City	Medical Center	11.66	5.45
Crystal City	Grosvenor-Strathmore	13.88	6.00
Crystal City	North Bethesda	15.26	6.00
Crystal City	Twinbrook	16.35	6.00
Crystal City	Rockville	18.26	6.00
Crystal City	Shady Grove	20.92	6.00
Crystal City	Gallery Pl-Chinatown	3.88	2.35
Crystal City	Judiciary Square	4.08	2.45
Crystal City	Union Station	4.59	2.65
Crystal City	Rhode Island Ave-Brentwood	6.30	3.30
Crystal City	Brookland-CUA	7.11	3.65
Crystal City	Fort Totten	8.22	4.10
Crystal City	Takoma	9.86	4.75
Crystal City	Silver Spring	11.11	5.25
Crystal City	Forest Glen	12.66	5.85
Crystal City	Wheaton	14.24	6.00
Crystal City	Glenmont	15.96	6.00
Crystal City	NoMa-Gallaudet U	5.24	2.90
Crystal City	McPherson Square	4.21	2.50
Crystal City	Farragut West	4.25	2.50
Crystal City	Foggy Bottom-GWU	3.94	2.40
Crystal City	Rosslyn	3.23	2.10
Crystal City	Arlington Cemetery	2.31	2.00
Crystal City	Pentagon	1.07	2.00
Crystal City	Pentagon City	0.64	2.00
Crystal City	Ronald Reagan Washington National Airport	0.51	2.00
Crystal City	Potomac Yard	1.95	2.00
Crystal City	Braddock Road	3.31	2.10
Crystal City	King St-Old Town	3.92	2.35
Crystal City	Eisenhower Avenue	4.54	2.60
Crystal City	Huntington	5.05	2.80
Crystal City	Federal Triangle	3.65	2.25
Crystal City	Smithsonian	3.29	2.10
Crystal City	L'Enfant Plaza	3.05	2.00
Crystal City	Federal Center SW	3.32	2.15
Crystal City	Capitol South	3.83	2.35
Crystal City	Eastern Market	4.28	2.50
Crystal City	Potomac Ave	4.78	2.70
Crystal City	Stadium-Armory	5.43	2.95
Crystal City	Minnesota Ave	7.40	3.75
Crystal City	Deanwood	8.26	4.10
Crystal City	Cheverly	9.42	4.55
Crystal City	Landover	11.22	5.30
Crystal City	New Carrollton	12.65	5.85
Crystal City	Mt Vernon Sq 7th St-Convention Center	4.42	2.55
Crystal City	Shaw-Howard U	4.88	2.75
Crystal City	U Street/African-Amer Civil War Memorial/Cardozo	5.18	2.85
Crystal City	Columbia Heights	5.95	3.20
Crystal City	Georgia Ave-Petworth	6.78	3.50
Crystal City	West Hyattsville	9.73	4.70
Crystal City	Hyattsville Crossing	10.85	5.15
Crystal City	College Park-U of Md	12.64	5.85
Crystal City	Greenbelt	15.05	6.00
Crystal City	Archives-Navy Memorial-Penn Quarter	3.55	2.20
Crystal City	Waterfront	3.32	2.15
Crystal City	Navy Yard-Ballpark	3.91	2.35
Crystal City	Anacostia	4.63	2.65
Crystal City	Congress Heights	5.51	3.00
Crystal City	Southern Avenue	6.42	3.35
Crystal City	Naylor Road	7.48	3.80
Crystal City	Suitland	8.86	4.35
Crystal City	Branch Ave	10.41	4.95
Crystal City	Benning Road	7.71	3.90
Crystal City	Capitol Heights	9.11	4.45
Crystal City	Addison Road-Seat Pleasant	10.04	4.80
Crystal City	Morgan Boulevard	11.56	5.40
Crystal City	Downtown Largo	12.90	5.95
Crystal City	Van Dorn Street	6.98	3.60
Crystal City	Franconia-Springfield	10.28	4.90
Crystal City	Court House	3.83	2.35
Crystal City	Clarendon	4.17	2.45
Crystal City	Virginia Square-GMU	4.50	2.60
Crystal City	Ballston-MU	5.01	2.80
Crystal City	East Falls Church	7.39	3.75
Crystal City	West Falls Church	9.42	4.55
Crystal City	Dunn Loring-Merrifield	11.44	5.40
Crystal City	Vienna/Fairfax-GMU	13.87	6.00
Crystal City	McLean	11.58	5.45
Crystal City	Tysons	12.12	5.65
Crystal City	Greensboro	12.81	5.90
Crystal City	Spring Hill	13.45	6.00
Crystal City	Wiehle-Reston East	19.06	6.00
Crystal City	Reston Town Center	20.19	6.00
Crystal City	Herndon	21.49	6.00
Crystal City	Innovation Center	23.21	6.00
Crystal City	Washington Dulles International Airport	25.04	6.00
Crystal City	Loudoun Gateway	27.22	6.00
Crystal City	Ashburn	29.14	6.00
