Start	Destination	Distance_mi	Fare_USD
Deanwood	Metro Center	5.98	3.20
Deanwood	Farragut North	6.67	3.45
Deanwood	Dupont Circle	7.03	3.60
Deanwood	Woodley Park-Zoo/Adams Morgan	7.92	3.95
Deanwood	Cleveland Park	8.49	4.20
Deanwood	Van Ness-UDC	9.02	4.40
Deanwood	Tenleytown-AU	10.06	4.80
Deanwood	Friendship Heights	10.72	5.10
Deanwood	Bethesda	12.17	5.65
Deanwood	Medical Center	13.04	6.00
Deanwood	Grosvenor-Strathmore	15.00	6.00
Deanwood	North Bethesda	16.32	6.00
Deanwood	Twinbrook	17.38	6.00
Deanwood	Rockville	19.39	6.00
Deanwood	Shady Grove	21.97	6.00
Deanwood	Gallery Pl-Chinatown	5.69	3.10
Deanwood	Judiciary Square	5.75	3.10
Deanwood	Union Station	5.82	3.15
Deanwood	Rhode Island Ave-Brentwood	6.41	3.35
Deanwood	Brookland-CUA	6.96	3.60
Deanwood	Fort Totten	8.14	4.05
Deanwood	Takoma	9.96	4.80
Deanwood	Silver Spring	11.36	5.35
Deanwood	Forest Glen	12.96	6.00
Deanwood	Wheaton	14.51	6.00
Deanwood	Glenmont	16.14	6.00
Deanwood	NoMa-Gallaudet U	6.01	3.20
Deanwood	McPherson Square	6.34	3.35
Deanwood	Farragut West	6.72	3.50
Deanwood	Foggy Bottom-GWU	7.24	3.70
Deanwood	Rosslyn	8.48	4.20
Deanwood	Arlington Cemetery	8.24	4.10
Deanwood	Pentagon	7.51	3.80
Deanwood	Pentagon City	8.05	4.00
Deanwood	Crystal City	8.26	4.10
Deanwood	Ronald Reagan Washington National Airport	8.46	4.20
Deanwood	Potomac Yard	9.75	4.70
Deanwood	Braddock Road	11.06	5.20
Deanwood	King St-Old Town	11.70	5.50
Deanwood	Eisenhower Avenue	12.40	5.75
Deanwood	Huntington	12.91	5.95
Deanwood	Federal Triangle	5.86	3.15
Deanwood	Smithsonian	5.73	3.10
Deanwood	L'Enfant Plaza	5.35	2.95
Deanwood	Federal Center SW	5.02	2.80
Deanwood	Capitol South	4.46	2.60
Deanwood	Eastern Market	3.99	2.40
Deanwood	Potomac Ave	3.49	2.20
Deanwood	Stadium-Armory	2.84	2.00
Deanwood	Minnesota Ave	0.88	2.00
Deanwood	Cheverly	1.16	2.00
Deanwood	Landover	2.97	2.00
Deanwood	New Carrollton	4.41	2.55
Deanwood	Mt Vernon Sq 7th St-Convention Center	5.95	3.20
Deanwood	Shaw-Howard U	6.19	3.30
Deanwood	U Street/African-Amer Civil War Memorial/Cardozo	6.59	3.45
Deanwood	Columbia Heights	7.24	3.70
Deanwood	Georgia Ave-Petworth	7.57	3.85
Deanwood	West Hyattsville	8.63	4.25
Deanwood	Hyattsville Crossing	9.44	4.60
Deanwood	College Park-U of Md	10.80	5.10
Deanwood	Greenbelt	13.21	6.00
Deanwood	Archives-Navy Memorial-Penn Quarter	5.54	3.00
Deanwood	Waterfront	5.74	3.10
Deanwood	Navy Yard-Ballpark	5.78	3.10
Deanwood	Anacostia	6.42	3.35
Deanwood	Congress Heights	7.41	3.75
Deanwood	Southern Avenue	7.90	3.95
Deanwood	Naylor Road	8.02	4.00
Deanwood	Suitland	8.88	4.35
Deanwood	Branch Ave	10.44	5.00
Deanwood	Benning Road	3.37	2.15
Deanwood	Capitol Heights	4.41	2.55
Deanwood	Addison Road-Seat Pleasant	5.33	2.95
Deanwood	Morgan Boulevard	6.65	3.45
Deanwood	Downtown Largo	7.90	3.95
Deanwood	Van Dorn Street	15.19	6.00
Deanwood	Franconia-Springfield	18.47	6.00
Deanwood	Court House	9.49	4.60
Deanwood	Clarendon	9.98	4.80
Deanwood	Virginia Square-GMU	10.44	5.00
Deanwood	Ballston-MU	11.00	5.20
Deanwood	East Falls Church	13.39	6.00
Deanwood	West Falls Church	15.25	6.00
Deanwood	Dunn Loring-Merrifield	17.51	6.00
Deanwood	Vienna/Fairfax-GMU	20.00	6.00
Deanwood	McLean	17.14	6.00
Deanwood	Tysons	17.75	6.00
Deanwood	Greensboro	18.46	6.00
Deanwood	Spring Hill	19.03	6.00
Deanwood	Wiehle-Reston East	24.66	6.00
Deanwood	Reston Town Center	25.78	6.00
Deanwood	Herndon	27.12	6.00
Deanwood	Innovation Center	28.82	6.00
Deanwood	Washington Dulles International Airport	30.72	6.00
Deanwood	Loudoun Gateway	32.68	6.00
Deanwood	Ashburn	34.57	6.00
