Start	Destination	Distance_mi	Fare_USD
Downtown Largo	Metro Center	10.86	5.15
Downtown Largo	Farragut North	11.57	5.45
Downtown Largo	Dupont Circle	11.94	5.60
Downtown Largo	Woodley Park-Zoo/Adams Morgan	12.84	5.95
Downtown Largo	Cleveland Park	13.39	6.00
Downtown Largo	Van Ness-UDC	13.90	6.00
Downtown Largo	Tenleytown-AU	14.94	6.00
Downtown Largo	Friendship Heights	15.56	6.00
Downtown Largo	Bethesda	16.93	6.00
Downtown Largo	Medical Center	17.74	6.00
Downtown Largo	Grosvenor-Strathmore	19.57	6.00
Downtown Largo	North Bethesda	20.82	6.00
Downtown Largo	Twinbrook	21.85	6.00
Downtown Largo	Rockville	23.83	6.00
Downtown Largo	Shady Grove	26.34	6.00
Downtown Largo	Gallery Pl-Chinatown	10.57	5.05
Downtown Largo	Judiciary Square	10.62	5.05
Downtown Largo	Union Station	10.69	5.10
Downtown Largo	Rhode Island Ave-Brentwood	11.31	5.30
Downtown Largo	Brookland-CUA	11.80	5.50
Downtown Largo	Fort Totten	12.86	5.95
Downtown Largo	Takoma	14.54	6.00
Downtown Largo	Silver Spring	15.86	6.00
Downtown Largo	Forest Glen	17.38	6.00
Downtown Largo	Wheaton	18.82	6.00
Downtown Largo	Glenmont	20.34	6.00
Downtown Largo	NoMa-Gallaudet U	10.92	5.15
Downtown Largo	McPherson Square	11.23	5.30
Downtown Largo	Farragut West	11.61	5.45
Downtown Largo	Foggy Bottom-GWU	12.14	5.65
Downtown Largo	Rosslyn	13.36	6.00
Downtown Largo	Arlington Cemetery	13.07	6.00
Downtown Largo	Pentagon	12.24	5.70
Downtown Largo	Pentagon City	12.74	5.90
Downtown Largo	Crystal City	12.90	5.95
Downtown Largo	Ronald Reagan Washington National Airport	13.05	6.00
Downtown Largo	Potomac Yard	14.17	6.00
Downtown Largo	Braddock Road	15.34	6.00
Downtown Largo	King St-Old Town	15.96	6.00
Downtown Largo	Eisenhower Avenue	16.66	6.00
Downtown Largo	Huntington	17.13	6.00
Downtown Largo	Federal Triangle	10.72	5.10
Downtown Largo	Smithsonian	10.56	5.00
Downtown Largo	L'Enfant Plaza	10.14	4.85
Downtown Largo	Federal Center SW	9.81	4.70
Downtown Largo	Capitol South	9.24	4.50
Downtown Largo	Eastern Market	8.74	4.30
Downtown Largo	Potomac Ave	8.17	4.05
Downtown Largo	Stadium-Armory	7.56	3.80
Downtown Largo	Minnesota Ave	7.76	3.90
Downtown Largo	Deanwood	7.90	3.95
Downtown Largo	Cheverly	8.05	4.00
Downtown Largo	Landover	8.64	4.25
Downtown Largo	New Carrollton	9.47	4.60
Downtown Largo	Mt Vernon Sq 7th St-Convention Center	10.85	5.15
Downtown Largo	Shaw-Howard U	11.11	5.25
Downtown Largo	U Street/African-Amer Civil War Memorial/Cardozo	11.51	5.40
Downtown Largo	Columbia Heights	12.15	5.65
Downtown Largo	Georgia Ave-Petworth	12.43	5.75
Downtown Largo	West Hyattsville	13.08	6.00
Downtown Largo	Hyattsville Crossing	13.61	6.00
Downtown Largo	College Park-U of Md	14.34	6.00
Downtown Largo	Greenbelt	16.28	6.00
Downtown Largo	Archives-Navy Memorial-Penn Quarter	10.40	4.95
Downtown Largo	Waterfront	10.46	5.00
Downtown Largo	Navy Yard-Ballpark	10.47	5.00
Downtown Largo	Anacostia	10.90	5.15
Downtown Largo	Congress Heights	11.59	5.45
Downtown Largo	Southern Avenue	11.88	5.55
Downtown Largo	Naylor Road	11.90	5.55
Downtown Largo	Suitland	12.22	5.70
Downtown Largo	Branch Ave	13.14	6.00
Downtown Largo	Benning Road	5.24	2.90
Downtown Largo	Capitol Heights	3.80	2.30
Downtown Largo	Addison Road-Seat Pleasant	2.87	2.00
Downtown Largo	Morgan Boulevard	1.35	2.00
Downtown Largo	Van Dorn Street	19.64	6.00
Downtown Largo	Franconia-Springfield	22.85	6.00
Downtown Largo	Court House	14.35	6.00
Downtown Largo	Clarendon	14.84	6.00
Downtown Largo	Virginia Square-GMU	15.29	6.00
Downtown Largo	Ballston-MU	15.85	6.00
Downtown Largo	East Falls Church	18.26	6.00
Downtown Largo	West Falls Church	20.15	6.00
Downtown Largo	Dunn Loring-Merrifield	22.39	6.00
Downtown Largo	Vienna/Fairfax-GMU	24.87	6.00
Downtown Largo	McLean	22.05	6.00
Downtown Largo	Tysons	22.67	6.00
Downtown Largo	Greensboro	23.38	6.00
Downtown Largo	Spring Hill	23.95	6.00
Downtown Largo	Wiehle-Reston East	29.58	6.00
Downtown Largo	Reston Town Center	30.69	6.00
Downtown Largo	Herndon	32.04	6.00
Downtown Largo	Innovation Center	33.74	6.00
Downtown Largo	Washington Dulles International Airport	35.64	6.00
Downtown Largo	Loudoun Gateway	37.59	6.00
Downtown Largo	Ashburn	39.47	6.00
