Start	Destination	Distance_mi	Fare_USD
Dunn Loring-Merrifield	Metro Center	11.53	5.40
Dunn Loring-Merrifield	Farragut North	11.63	5.45
Dunn Loring-Merrifield	Dupont Circle	11.82	5.55
Dunn Loring-Merrifield	Woodley Park-Zoo/Adams Morgan	12.31	5.70
Dunn Loring-Merrifield	Cleveland Park	12.63	5.85
Dunn Loring-Merrifield	Van Ness-UDC	12.94	6.00
Dunn Loring-Merrifield	Tenleytown-AU	13.18	6.00
Dunn Loring-Merrifield	Friendship Heights	13.64	6.00
Dunn Loring-Merrifield	Bethesda	14.84	6.00
Dunn Loring-Merrifield	Medical Center	15.67	6.00
Dunn Loring-Merrifield	Grosvenor-Strathmore	17.54	6.00
Dunn Loring-Merrifield	North Bethesda	18.66	6.00
Dunn Loring-Merrifield	Twinbrook	19.56	6.00
Dunn Loring-Merrifield	Rockville	21.01	6.00
Dunn Loring-Merrifield	Shady Grove	23.42	6.00
Dunn Loring-Merrifield	Gallery Pl-Chinatown	11.82	5.55
Dunn Loring-Merrifield	Judiciary Square	12.16	5.65
Dunn Loring-Merrifield	Union Station	12.74	5.90
Dunn Loring-Merrifield	Rhode Island Ave-Brentwood	14.03	6.00
Dunn Loring-Merrifield	Brookland-CUA	14.60	6.00
Dunn Loring-Merrifield	Fort Totten	15.21	6.00
Dunn Loring-Merrifield	Takoma	16.16	6.00
Dunn Loring-Merrifield	Silver Spring	16.90	6.00
Dunn Loring-Merrifield	Forest Glen	17.95	6.00
Dunn Loring-Merrifield	Wheaton	19.17	6.00
Dunn Loring-Merrifield	Glenmont	20.64	6.00
Dunn Loring-Merrifield	NoMa-Gallaudet U	13.22	6.00
Dunn Loring-Merrifield	McPherson Square	11.17	5.25
Dunn Loring-Merrifield	Farragut West	10.80	5.10
Dunn Loring-Merrifield	Foggy Bottom-GWU	10.27	4.90
Dunn Loring-Merrifield	Rosslyn	9.03	4.40
Dunn Loring-Merrifield	Arlington Cemetery	9.69	4.70
Dunn Loring-Merrifield	Pentagon	10.62	5.05
Dunn Loring-Merrifield	Pentagon City	10.82	5.15
Dunn Loring-Merrifield	Crystal City	11.44	5.40
Dunn Loring-Merrifield	Ronald Reagan Washington National Airport	11.92	5.55
Dunn Loring-Merrifield	Potomac Yard	12.86	5.95
Dunn Loring-Merrifield	Braddock Road	13.66	6.00
Dunn Loring-Merrifield	King St-Old Town	13.94	6.00
Dunn Loring-Merrifield	Eisenhower Avenue	14.18	6.00
Dunn Loring-Merrifield	Huntington	14.48	6.00
Dunn Loring-Merrifield	Federal Triangle	11.67	5.45
Dunn Loring-Merrifield	Smithsonian	11.84	5.55
Dunn Loring-Merrifield	L'Enfant Plaza	12.26	5.70
Dunn Loring-Merrifield	Federal Center SW	12.59	5.85
Dunn Loring-Merrifield	Capitol South	13.17	6.00
Dunn Loring-Merrifield	Eastern Market	13.67	6.00
Dunn Loring-Merrifield	Potomac Ave	14.27	6.00
Dunn Loring-Merrifield	Stadium-Armory	14.85	6.00
Dunn Loring-Merrifield	Minnesota Ave	16.73	6.00
Dunn Loring-Merrifield	Deanwood	17.51	6.00
Dunn Loring-Merrifield	Cheverly	18.63	6.00
Dunn Loring-Merrifield	Landover	20.31	6.00
Dunn Loring-Merrifield	New Carrollton	21.65	6.00
Dunn Loring-Merrifield	Mt Vernon Sq 7th St-Convention Center	12.16	5.65
Dunn Loring-Merrifield	Shaw-Howard U	12.43	5.75
Dunn Loring-Merrifield	U Street/African-Amer Civil War Memorial/Cardozo	12.55	5.80
Dunn Loring-Merrifield	Columbia Heights	12.95	6.00
Dunn Loring-Merrifield	Georgia Ave-Petworth	13.74	6.00
Dunn Loring-Merrifield	West Hyattsville	17.09	6.00
Dunn Loring-Merrifield	Hyattsville Crossing	18.17	6.00
Dunn Loring-Merrifield	College Park-U of Md	20.02	6.00
Dunn Loring-Merrifield	Greenbelt	22.14	6.00
Dunn Loring-Merrifield	Archives-Navy Memorial-Penn Quarter	12.01	5.60
