Start	Destination	Distance_mi	Fare_USD
Dupont Circle	Metro Center	1.23	2.00
Dupont Circle	Farragut North	0.51	2.00
Dupont Circle	Woodley Park-Zoo/Adams Morgan	1.19	2.00
Dupont Circle	Cleveland Park	1.90	2.00
Dupont Circle	Van Ness-UDC	2.53	2.00
Dupont Circle	Tenleytown-AU	3.48	2.20
Dupont Circle	Friendship Heights	4.25	2.50
Dupont Circle	Bethesda	5.94	3.20
Dupont Circle	Medical Center	6.96	3.60
Dupont Circle	Grosvenor-Strathmore	9.16	4.45
Dupont Circle	North Bethesda	10.54	5.00
Dupont Circle	Twinbrook	11.63	5.45
Dupont Circle	Rockville	13.58	6.00
Dupont Circle	Shady Grove	16.25	6.00
Dupont Circle	Gallery Pl-Chinatown	1.48	2.00
Dupont Circle	Judiciary Square	1.84	2.00
Dupont Circle	Union Station	2.37	2.00
Dupont Circle	Rhode Island Ave-Brentwood	3.52	2.20
Dupont Circle	Brookland-CUA	4.16	2.45
Dupont Circle	Fort Totten	5.05	2.80
Dupont Circle	Takoma	6.58	3.45
Dupont Circle	Silver Spring	7.81	3.90
Dupont Circle	Forest Glen	9.37	4.55
Dupont Circle	Wheaton	10.95	5.20
Dupont Circle	Glenmont	12.67	5.85
Dupont Circle	NoMa-Gallaudet U	2.73	2.00
Dupont Circle	McPherson Square	1.28	2.00
Dupont Circle	Farragut West	1.37	2.00
Dupont Circle	Foggy Bottom-GWU	1.69	2.00
Dupont Circle	Rosslyn	2.87	2.00
Dupont Circle	Arlington Cemetery	3.48	2.20
Dupont Circle	Pentagon	3.83	2.35
Dupont Circle	Pentagon City	4.42	2.55
Dupont Circle	Crystal City	4.87	2.75
Dupont Circle	Ronald Reagan Washington National Airport	5.29	2.90
Dupont Circle	Potomac Yard	6.80	3.50
Dupont Circle	Braddock Road	8.18	4.05
Dupont Circle	King St-Old Town	8.79	4.30
Dupont Circle	Eisenhower Avenue	9.40	4.55
Dupont Circle	Huntington	9.91	4.75
Dupont Circle	Federal Triangle	1.49	2.00
Dupont Circle	Smithsonian	1.83	2.00
Dupont Circle	L'Enfant Plaza	2.28	2.00
Dupont Circle	Federal Center SW	2.54	2.00
Dupont Circle	Capitol South	3.04	2.00
Dupont Circle	Eastern Market	3.50	2.20
Dupont Circle	Potomac Ave	4.11	2.45
Dupont Circle	Stadium-Armory	4.57	2.65
Dupont Circle	Minnesota Ave	6.30	3.30
Dupont Circle	Deanwood	7.03	3.60
Dupont Circle	Cheverly	8.12	4.05
Dupont Circle	Landover	9.79	4.70
Dupont Circle	New Carrollton	11.14	5.25
Dupont Circle	Mt Vernon Sq 7th St-Convention Center	1.67	2.00
Dupont Circle	Shaw-Howard U	1.91	2.00
Dupont Circle	U Street/African-Amer Civil War Memorial/Cardozo	2.05	2.00
Dupont Circle	Columbia Heights	2.68	2.00
Dupont Circle	Georgia Ave-Petworth	3.54	2.20
Dupont Circle	West Hyattsville	6.76	3.50
Dupont Circle	Hyattsville Crossing	7.89	3.95
Dupont Circle	College Park-U of Md	9.74	4.70
Dupont Circle	Greenbelt	12.06	5.60
Dupont Circle	Archives-Navy Memorial-Penn Quarter	1.79	2.00
Dupont Circle	Waterfront	2.98	2.00
Dupont Circle	Navy Yard-Ballpark	3.49	2.20
Dupont Circle	Anacostia	4.60	2.65
Dupont Circle	Congress Heights	5.85	3.15
Dupont Circle	Southern Avenue	6.72	3.50
Dupont Circle	Naylor Road	7.44	3.80
Dupont Circle	Suitland	8.80	4.30
Dupont Circle	Branch Ave	10.49	5.00
Dupont Circle	Benning Road	6.79	3.50
Dupont Circle	Capitol Heights	8.24	4.10
Dupont Circle	Addison Road-Seat Pleasant	9.22	4.50
Dupont Circle	Morgan Boulevard	10.65	5.05
Dupont Circle	Downtown Largo	11.94	5.60
Dupont Circle	Van Dorn Street	11.57	5.45
Dupont Circle	Franconia-Springfield	14.86	6.00
Dupont Circle	Court House	3.90	2.35
Dupont Circle	Clarendon	4.41	2.55
Dupont Circle	Virginia Square-GMU	4.87	2.75
Dupont Circle	Ballston-MU	5.42	2.95
Dupont Circle	East Falls Church	7.72	3.90
Dupont Circle	West Falls Church	9.53	4.60
Dupont Circle	Dunn Loring-Merrifield	11.82	5.55
Dupont Circle	Vienna/Fairfax-GMU	14.31	6.00
Dupont Circle	McLean	11.42	5.35
Dupont Circle	Tysons	12.03	5.60
Dupont Circle	Greensboro	12.74	5.90
Dupont Circle	Spring Hill	13.32	6.00
Dupont Circle	Wiehle-Reston East	18.95	6.00
Dupont Circle	Reston Town Center	20.07	6.00
Dupont Circle	Herndon	21.41	6.00
Dupont Circle	Innovation Center	23.12	6.00
Dupont Circle	Washington Dulles International Airport	25.01	6.00
Dupont Circle	Loudoun Gateway	27.02	6.00
Dupont Circle	Ashburn	28.92	6.00
