Start	Destination	Distance_mi	Fare_USD
East Falls Church	Metro Center	7.41	3.75
East Falls Church	Farragut North	7.52	3.80
East Falls Church	Dupont Circle	7.72	3.90
East Falls Church	Woodley Park-Zoo/Adams Morgan	8.28	4.10
East Falls Church	Cleveland Park	8.66	4.25
East Falls Church	Van Ness-UDC	9.03	4.40
East Falls Church	Tenleytown-AU	9.38	4.55
East Falls Church	Friendship Heights	9.95	4.80
East Falls Church	Bethesda	11.39	5.35
East Falls Church	Medical Center	12.35	5.75
East Falls Church	Grosvenor-Strathmore	14.43	6.00
East Falls Church	North Bethesda	15.69	6.00
East Falls Church	Twinbrook	16.69	6.00
East Falls Church	Rockville	18.37	6.00
East Falls Church	Shady Grove	20.93	6.00
East Falls Church	Gallery Pl-Chinatown	7.69	3.90
East Falls Church	Judiciary Square	8.03	4.00
East Falls Church	Union Station	8.61	4.25
East Falls Church	Rhode Island Ave-Brentwood	9.94	4.80
East Falls Church	Brookland-CUA	10.54	5.00
East Falls Church	Fort Totten	11.22	5.30
East Falls Church	Takoma	12.31	5.70
East Falls Church	Silver Spring	13.19	6.00
East Falls Church	Forest Glen	14.41	6.00
East Falls Church	Wheaton	15.77	6.00
East Falls Church	Glenmont	17.36	6.00
East Falls Church	NoMa-Gallaudet U	9.10	4.45
East Falls Church	McPherson Square	7.05	3.60
East Falls Church	Farragut West	6.68	3.45
East Falls Church	Foggy Bottom-GWU	6.15	3.25
East Falls Church	Rosslyn	4.91	2.75
East Falls Church	Arlington Cemetery	5.56	3.00
East Falls Church	Pentagon	6.53	3.40
East Falls Church	Pentagon City	6.76	3.50
East Falls Church	Crystal City	7.39	3.75
East Falls Church	Ronald Reagan Washington National Airport	7.88	3.95
East Falls Church	Potomac Yard	8.95	4.40
East Falls Church	Braddock Road	9.89	4.75
East Falls Church	King St-Old Town	10.26	4.90
East Falls Church	Eisenhower Avenue	10.60	5.05
East Falls Church	Huntington	10.98	5.20
East Falls Church	Federal Triangle	7.54	3.80
East Falls Church	Smithsonian	7.71	3.90
East Falls Church	L'Enfant Plaza	8.13	4.05
East Falls Church	Federal Center SW	8.46	4.20
East Falls Church	Capitol South	9.04	4.40
East Falls Church	Eastern Market	9.54	4.60
East Falls Church	Potomac Ave	10.14	4.85
East Falls Church	Stadium-Armory	10.72	5.10
East Falls Church	Minnesota Ave	12.60	5.85
East Falls Church	Deanwood	13.39	6.00
East Falls Church	Cheverly	14.51	6.00
East Falls Church	Landover	16.20	6.00
East Falls Church	New Carrollton	17.56	6.00
East Falls Church	Mt Vernon Sq 7th St-Convention Center	8.04	4.00
East Falls Church	Shaw-Howard U	8.33	4.15
East Falls Church	U Street/African-Amer Civil War Memorial/Cardozo	8.46	4.20
East Falls Church	Columbia Heights	8.91	4.35
East Falls Church	Georgia Ave-Petworth	9.72	4.70
East Falls Church	West Hyattsville	13.07	6.00
East Falls Church	Hyattsville Crossing	14.17	6.00
East Falls Church	College Park-U of Md	16.03	6.00
East Falls Church	Greenbelt	18.23	6.00
East Falls Church	Archives-Navy Memorial-Penn Quarter	7.88	3.95
East Falls Church	Waterfront	8.66	4.25
East Falls Church	Navy Yard-Ballpark	9.29	4.50
East Falls Church	Anacostia	10.22	4.90
East Falls Church	Congress Heights	11.20	5.30
East Falls Church	Southern Avenue	12.11	5.65
East Falls Church	Naylor Road	13.13	6.00
East Falls Church	Suitland	14.53	6.00
East Falls Church	Branch Ave	16.10	6.00
East Falls Church	Benning Road	13.03	6.00
East Falls Church	Capitol Heights	14.49	6.00
East Falls Church	Addison Road-Seat Pleasant	15.46	6.00
East Falls Church	Morgan Boulevard	16.94	6.00
East Falls Church	Downtown Largo	18.26	6.00
East Falls Church	Van Dorn Street	11.49	5.40
East Falls Church	Franconia-Springfield	14.31	6.00
East Falls Church	Court House	3.90	2.35
East Falls Church	Clarendon	3.42	2.15
East Falls Church	Virginia Square-GMU	2.98	2.00
East Falls Church	Ballston-MU	2.43	2.00
East Falls Church	West Falls Church	2.04	2.00
East Falls Church	Dunn Loring-Merrifield	4.13	2.45
East Falls Church	Vienna/Fairfax-GMU	6.61	3.45
East Falls Church	McLean	4.29	2.50
East Falls Church	Tysons	4.77	2.70
East Falls Church	Greensboro	5.44	3.00
East Falls Church	Spring Hill	6.11	3.25
East Falls Church	Wiehle-Reston East	11.68	5.45
East Falls Church	Reston Town Center	12.80	5.90
East Falls Church	Herndon	14.10	6.00
East Falls Church	Innovation Center	15.82	6.00
East Falls Church	Washington Dulles International Airport	17.65	6.00
East Falls Church	Loudoun Gateway	19.84	6.00
East Falls Church	Ashburn	21.76	6.00
