Start	Destination	Distance_mi	Fare_USD
Eastern Market	Metro Center	2.28	2.00
Eastern Market	Farragut North	3.03	2.00
Eastern Market	Dupont Circle	3.50	2.20
Eastern Market	Woodley Park-Zoo/Adams Morgan	4.62	2.65
Eastern Market	Cleveland Park	5.31	2.90
Eastern Market	Van Ness-UDC	5.92	3.15
Eastern Market	Tenleytown-AU	6.93	3.55
Eastern Market	Friendship Heights	7.68	3.85
Eastern Market	Bethesda	9.32	4.55
Eastern Market	Medical Center	10.31	4.90
Eastern Market	Grosvenor-Strathmore	12.45	5.80
Eastern Market	North Bethesda	13.83	6.00
Eastern Market	Twinbrook	14.92	6.00
Eastern Market	Rockville	16.90	6.00
Eastern Market	Shady Grove	19.55	6.00
Eastern Market	Gallery Pl-Chinatown	2.01	2.00
Eastern Market	Judiciary Square	2.04	2.00
Eastern Market	Union Station	2.22	2.00
Eastern Market	Rhode Island Ave-Brentwood	3.81	2.30
Eastern Market	Brookland-CUA	4.66	2.65
Eastern Market	Fort Totten	5.94	3.20
Eastern Market	Takoma	7.78	3.90
Eastern Market	Silver Spring	9.16	4.45
Eastern Market	Forest Glen	10.79	5.10
Eastern Market	Wheaton	12.40	5.75
Eastern Market	Glenmont	14.11	6.00
Eastern Market	NoMa-Gallaudet U	2.80	2.00
Eastern Market	McPherson Square	2.69	2.00
Eastern Market	Farragut West	3.04	2.00
Eastern Market	Foggy Bottom-GWU	3.54	2.20
Eastern Market	Rosslyn	4.70	2.70
Eastern Market	Arlington Cemetery	4.34	2.55
Eastern Market	Pentagon	3.53	2.20
Eastern Market	Pentagon City	4.06	2.40
Eastern Market	Crystal City	4.28	2.50
Eastern Market	Ronald Reagan Washington National Airport	4.50	2.60
Eastern Market	Potomac Yard	5.87	3.15
Eastern Market	Braddock Road	7.23	3.70
Eastern Market	King St-Old Town	7.88	3.95
Eastern Market	Eisenhower Avenue	8.57	4.20
Eastern Market	Huntington	9.08	4.45
Eastern Market	Federal Triangle	2.07	2.00
Eastern Market	Smithsonian	1.85	2.00
Eastern Market	L'Enfant Plaza	1.41	2.00
Eastern Market	Federal Center SW	1.08	2.00
Eastern Market	Capitol South	0.50	2.00
Eastern Market	Potomac Ave	0.62	2.00
Eastern Market	Stadium-Armory	1.18	2.00
Eastern Market	Minnesota Ave	3.14	2.05
Eastern Market	Deanwood	3.99	2.40
Eastern Market	Cheverly	5.15	2.85
Eastern Market	Landover	6.94	3.60
Eastern Market	New Carrollton	8.38	4.15
Eastern Market	Mt Vernon Sq 7th St-Convention Center	2.48	2.00
Eastern Market	Shaw-Howard U	2.91	2.00
Eastern Market	U Street/African-Amer Civil War Memorial/Cardozo	3.33	2.15
Eastern Market	Columbia Heights	4.15	2.45
Eastern Market	Georgia Ave-Petworth	4.79	2.70
Eastern Market	West Hyattsville	7.14	3.65
Eastern Market	Hyattsville Crossing	8.22	4.10
Eastern Market	College Park-U of Md	9.93	4.75
Eastern Market	Greenbelt	12.37	5.75
Eastern Market	Archives-Navy Memorial-Penn Quarter	1.75	2.00
Eastern Market	Waterfront	1.75	2.00
Eastern Market	Navy Yard-Ballpark	1.81	2.00
Eastern Market	Anacostia	2.75	2.00
Eastern Market	Congress Heights	4.02	2.40
Eastern Market	Southern Avenue	4.79	2.70
Eastern Market	Naylor Road	5.38	2.95
Eastern Market	Suitland	6.73	3.50
Eastern Market	Branch Ave	8.42	4.15
Eastern Market	Benning Road	3.50	2.20
Eastern Market	Capitol Heights	4.95	2.80
Eastern Market	Addison Road-Seat Pleasant	5.91	3.15
Eastern Market	Morgan Boulevard	7.41	3.75
Eastern Market	Downtown Largo	8.74	4.30
Eastern Market	Van Dorn Street	11.23	5.30
Eastern Market	Franconia-Springfield	14.53	6.00
Eastern Market	Court House	5.65	3.05
Eastern Market	Clarendon	6.12	3.25
Eastern Market	Virginia Square-GMU	6.56	3.40
Eastern Market	Ballston-MU	7.12	3.65
Eastern Market	East Falls Church	9.54	4.60
Eastern Market	West Falls Church	11.48	5.40
Eastern Market	Dunn Loring-Merrifield	13.67	6.00
Eastern Market	Vienna/Fairfax-GMU	16.14	6.00
Eastern Market	McLean	13.48	6.00
Eastern Market	Tysons	14.07	6.00
Eastern Market	Greensboro	14.78	6.00
Eastern Market	Spring Hill	15.38	6.00
Eastern Market	Wiehle-Reston East	21.03	6.00
Eastern Market	Reston Town Center	22.16	6.00
Eastern Market	Herndon	23.49	6.00
Eastern Market	Innovation Center	25.20	6.00
Eastern Market	Washington Dulles International Airport	27.07	6.00
Eastern Market	Loudoun Gateway	29.13	6.00
Eastern Market	Ashburn	31.04	6.00
