Start	Destination	Distance_mi	Fare_USD
Eisenhower Avenue	Metro Center	8.46	4.20
Eisenhower Avenue	Farragut North	8.94	4.40
Eisenhower Avenue	Dupont Circle	9.40	4.55
Eisenhower Avenue	Woodley Park-Zoo/Adams Morgan	10.49	5.00
Eisenhower Avenue	Cleveland Park	11.15	5.25
Eisenhower Avenue	Van Ness-UDC	11.75	5.50
Eisenhower Avenue	Tenleytown-AU	12.49	5.80
Eisenhower Avenue	Friendship Heights	13.25	6.00
Eisenhower Avenue	Bethesda	14.96	6.00
Eisenhower Avenue	Medical Center	16.00	6.00
Eisenhower Avenue	Grosvenor-Strathmore	18.22	6.00
Eisenhower Avenue	North Bethesda	19.59	6.00
Eisenhower Avenue	Twinbrook	20.66	6.00
Eisenhower Avenue	Rockville	22.51	6.00
Eisenhower Avenue	Shady Grove	25.16	6.00
Eisenhower Avenue	Gallery Pl-Chinatown	8.40	4.15
Eisenhower Avenue	Judiciary Square	8.57	4.25
Eisenhower Avenue	Union Station	9.04	4.40
Eisenhower Avenue	Rhode Island Ave-Brentwood	10.78	5.10
Eisenhower Avenue	Brookland-CUA	11.61	5.45
Eisenhower Avenue	Fort Totten	12.75	5.90
Eisenhower Avenue	Takoma	14.40	6.00
Eisenhower Avenue	Silver Spring	15.63	6.00
Eisenhower Avenue	Forest Glen	17.16	6.00
Eisenhower Avenue	Wheaton	18.72	6.00
Eisenhower Avenue	Glenmont	20.43	6.00
Eisenhower Avenue	NoMa-Gallaudet U	9.71	4.70
Eisenhower Avenue	McPherson Square	8.75	4.30
Eisenhower Avenue	Farragut West	8.79	4.30
Eisenhower Avenue	Foggy Bottom-GWU	8.45	4.20
Eisenhower Avenue	Rosslyn	7.58	3.85
Eisenhower Avenue	Arlington Cemetery	6.73	3.50
Eisenhower Avenue	Pentagon	5.57	3.05
Eisenhower Avenue	Pentagon City	4.99	2.80
Eisenhower Avenue	Crystal City	4.54	2.60
Eisenhower Avenue	Ronald Reagan Washington National Airport	4.18	2.45
Eisenhower Avenue	Potomac Yard	2.71	2.00
Eisenhower Avenue	Braddock Road	1.35	2.00
Eisenhower Avenue	King St-Old Town	0.70	2.00
Eisenhower Avenue	Huntington	0.52	2.00
Eisenhower Avenue	Federal Triangle	8.18	4.05
Eisenhower Avenue	Smithsonian	7.81	3.90
Eisenhower Avenue	L'Enfant Plaza	7.52	3.80
Eisenhower Avenue	Federal Center SW	7.76	3.90
Eisenhower Avenue	Capitol South	8.19	4.10
Eisenhower Avenue	Eastern Market	8.57	4.20
Eisenhower Avenue	Potomac Ave	8.96	4.40
Eisenhower Avenue	Stadium-Armory	9.60	4.65
Eisenhower Avenue	Minnesota Ave	11.52	5.40
Eisenhower Avenue	Deanwood	12.40	5.75
Eisenhower Avenue	Cheverly	13.54	6.00
Eisenhower Avenue	Landover	15.36	6.00
Eisenhower Avenue	New Carrollton	16.80	6.00
Eisenhower Avenue	Mt Vernon Sq 7th St-Convention Center	8.95	4.40
Eisenhower Avenue	Shaw-Howard U	9.41	4.55
Eisenhower Avenue	U Street/African-Amer Civil War Memorial/Cardozo	9.72	4.70
Eisenhower Avenue	Columbia Heights	10.49	5.00
Eisenhower Avenue	Georgia Ave-Petworth	11.32	5.35
Eisenhower Avenue	West Hyattsville	14.21	6.00
Eisenhower Avenue	Hyattsville Crossing	15.31	6.00
Eisenhower Avenue	College Park-U of Md	17.06	6.00
Eisenhower Avenue	Greenbelt	19.50	6.00
Eisenhower Avenue	Archives-Navy Memorial-Penn Quarter	8.06	4.00
Eisenhower Avenue	Waterfront	7.70	3.90
Eisenhower Avenue	Navy Yard-Ballpark	8.18	4.05
Eisenhower Avenue	Anacostia	8.59	4.25
Eisenhower Avenue	Congress Heights	8.99	4.40
Eisenhower Avenue	Southern Avenue	9.73	4.70
Eisenhower Avenue	Naylor Road	10.96	5.20
Eisenhower Avenue	Suitland	12.17	5.65
Eisenhower Avenue	Branch Ave	13.39	6.00
Eisenhower Avenue	Benning Road	11.71	5.50
Eisenhower Avenue	Capitol Heights	12.98	6.00
Eisenhower Avenue	Addison Road-Seat Pleasant	13.82	6.00
Eisenhower Avenue	Morgan Boulevard	15.32	6.00
Eisenhower Avenue	Downtown Largo	16.66	6.00
Eisenhower Avenue	Van Dorn Street	3.84	2.35
Eisenhower Avenue	Franconia-Springfield	6.91	3.55
Eisenhower Avenue	Court House	7.96	4.00
Eisenhower Avenue	Clarendon	8.13	4.05
Eisenhower Avenue	Virginia Square-GMU	8.31	4.10
Eisenhower Avenue	Ballston-MU	8.64	4.25
Eisenhower Avenue	East Falls Church	10.60	5.05
Eisenhower Avenue	West Falls Church	12.59	5.85
Eisenhower Avenue	Dunn Loring-Merrifield	14.18	6.00
Eisenhower Avenue	Vienna/Fairfax-GMU	16.37	6.00
Eisenhower Avenue	McLean	14.87	6.00
Eisenhower Avenue	Tysons	15.31	6.00
Eisenhower Avenue	Greensboro	15.94	6.00
Eisenhower Avenue	Spring Hill	16.62	6.00
Eisenhower Avenue	Wiehle-Reston East	22.00	6.00
Eisenhower Avenue	Reston Town Center	23.11	6.00
Eisenhower Avenue	Herndon	24.35	6.00
Eisenhower Avenue	Innovation Center	26.04	6.00
Eisenhower Avenue	Washington Dulles International Airport	27.78	6.00
Eisenhower Avenue	Loudoun Gateway	30.13	6.00
Eisenhower Avenue	Ashburn	32.05	6.00
