Start	Destination	Distance_mi	Fare_USD
Farragut North	Metro Center	0.75	2.00
Farragut North	Dupont Circle	0.51	2.00
Farragut North	Woodley Park-Zoo/Adams Morgan	1.70	2.00
Farragut North	Cleveland Park	2.41	2.00
Farragut North	Van Ness-UDC	3.04	2.00
Farragut North	Tenleytown-AU	3.99	2.40
Farragut North	Friendship Heights	4.76	2.70
Farragut North	Bethesda	6.45	3.40
Farragut North	Medical Center	7.47	3.80
Farragut North	Grosvenor-Strathmore	9.67	4.65
Farragut North	North Bethesda	11.05	5.20
Farragut North	Twinbrook	12.14	5.65
Farragut North	Rockville	14.10	6.00
Farragut North	Shady Grove	16.76	6.00
Farragut North	Gallery Pl-Chinatown	1.02	2.00
Farragut North	Judiciary Square	1.38	2.00
Farragut North	Union Station	1.94	2.00
Farragut North	Rhode Island Ave-Brentwood	3.25	2.10
Farragut North	Brookland-CUA	3.95	2.40
Farragut North	Fort Totten	4.93	2.75
Farragut North	Takoma	6.52	3.40
Farragut North	Silver Spring	7.78	3.90
Farragut North	Forest Glen	9.34	4.55
Farragut North	Wheaton	10.94	5.20
Farragut North	Glenmont	12.66	5.85
Farragut North	NoMa-Gallaudet U	2.37	2.00
Farragut North	McPherson Square	0.80	2.00
Farragut North	Farragut West	0.88	2.00
Farragut North	Foggy Bottom-GWU	1.37	2.00
Farragut North	Rosslyn	2.61	2.00
Farragut North	Arlington Cemetery	3.11	2.05
Farragut North	Pentagon	3.38	2.15
Farragut North	Pentagon City	3.97	2.40
Farragut North	Crystal City	4.40	2.55
Farragut North	Ronald Reagan Washington National Airport	4.80	2.70
Farragut North	Potomac Yard	6.32	3.35
Farragut North	Braddock Road	7.71	3.90
Farragut North	King St-Old Town	8.32	4.15
Farragut North	Eisenhower Avenue	8.94	4.40
Farragut North	Huntington	9.45	4.60
Farragut North	Federal Triangle	0.99	2.00
Farragut North	Smithsonian	1.32	2.00
Farragut North	L'Enfant Plaza	1.77	2.00
Farragut North	Federal Center SW	2.04	2.00
Farragut North	Capitol South	2.55	2.00
Farragut North	Eastern Market	3.03	2.00
Farragut North	Potomac Ave	3.64	2.25
Farragut North	Stadium-Armory	4.13	2.45
Farragut North	Minnesota Ave	5.91	3.15
Farragut North	Deanwood	6.67	3.45
Farragut North	Cheverly	7.78	3.90
Farragut North	Landover	9.48	4.60
Farragut North	New Carrollton	10.85	5.15
Farragut North	Mt Vernon Sq 7th St-Convention Center	1.31	2.00
Farragut North	Shaw-Howard U	1.66	2.00
Farragut North	U Street/African-Amer Civil War Memorial/Cardozo	1.88	2.00
Farragut North	Columbia Heights	2.61	2.00
Farragut North	Georgia Ave-Petworth	3.45	2.20
Farragut North	West Hyattsville	6.58	3.45
Farragut North	Hyattsville Crossing	7.71	3.90
Farragut North	College Park-U of Md	9.55	4.60
Farragut North	Greenbelt	11.90	5.55
Farragut North	Archives-Navy Memorial-Penn Quarter	1.30	2.00
Farragut North	Waterfront	2.47	2.00
Farragut North	Navy Yard-Ballpark	2.99	2.00
Farragut North	Anacostia	4.10	2.45
Farragut North	Congress Heights	5.35	2.95
Farragut North	Southern Avenue	6.22	3.30
Farragut North	Naylor Road	6.95	3.60
Farragut North	Suitland	8.32	4.15
Farragut North	Branch Ave	10.01	4.80
Farragut North	Benning Road	6.38	3.35
Farragut North	Capitol Heights	7.84	3.95
Farragut North	Addison Road-Seat Pleasant	8.82	4.35
Farragut North	Morgan Boulevard	10.27	4.90
Farragut North	Downtown Largo	11.57	5.45
Farragut North	Van Dorn Street	11.18	5.25
Farragut North	Franconia-Springfield	14.47	6.00
Farragut North	Court House	3.64	2.25
Farragut North	Clarendon	4.15	2.45
Farragut North	Virginia Square-GMU	4.61	2.65
Farragut North	Ballston-MU	5.16	2.85
Farragut North	East Falls Church	7.52	3.80
Farragut North	West Falls Church	9.37	4.55
Farragut North	Dunn Loring-Merrifield	11.63	5.45
Farragut North	Vienna/Fairfax-GMU	14.12	6.00
Farragut North	McLean	11.30	5.30
Farragut North	Tysons	11.90	5.55
Farragut North	Greensboro	12.61	5.85
Farragut North	Spring Hill	13.20	6.00
Farragut North	Wiehle-Reston East	18.84	6.00
Farragut North	Reston Town Center	19.96	6.00
Farragut North	Herndon	21.30	6.00
Farragut North	Innovation Center	23.01	6.00
Farragut North	Washington Dulles International Airport	24.89	6.00
Farragut North	Loudoun Gateway	26.92	6.00
Farragut North	Ashburn	28.82	6.00
