Start	Destination	Distance_mi	Fare_USD
Farragut West	Metro Center	0.77	2.00
Farragut West	Farragut North	0.88	2.00
Farragut West	Dupont Circle	1.37	2.00
Farragut West	Woodley Park-Zoo/Adams Morgan	2.56	2.00
Farragut West	Cleveland Park	3.27	2.10
Farragut West	Van Ness-UDC	3.90	2.35
Farragut West	Tenleytown-AU	4.83	2.75
Farragut West	Friendship Heights	5.61	3.05
Farragut West	Bethesda	7.30	3.70
Farragut West	Medical Center	8.33	4.15
Farragut West	Grosvenor-Strathmore	10.53	5.00
Farragut West	North Bethesda	11.91	5.55
Farragut West	Twinbrook	13.00	6.00
Farragut West	Rockville	14.95	6.00
Farragut West	Shady Grove	17.62	6.00
Farragut West	Gallery Pl-Chinatown	1.05	2.00
Farragut West	Judiciary Square	1.41	2.00
Farragut West	Union Station	1.97	2.00
Farragut West	Rhode Island Ave-Brentwood	3.32	2.15
Farragut West	Brookland-CUA	4.03	2.40
Farragut West	Fort Totten	5.02	2.80
Farragut West	Takoma	6.61	3.45
Farragut West	Silver Spring	7.86	3.95
Farragut West	Forest Glen	9.43	4.55
Farragut West	Wheaton	11.02	5.20
Farragut West	Glenmont	12.74	5.90
Farragut West	NoMa-Gallaudet U	2.42	2.00
Farragut West	McPherson Square	0.38	2.00
Farragut West	Foggy Bottom-GWU	0.52	2.00
Farragut West	Rosslyn	1.77	2.00
Farragut West	Arlington Cemetery	2.24	2.00
Farragut West	Pentagon	3.23	2.10
Farragut West	Pentagon City	3.82	2.35
Farragut West	Crystal City	4.25	2.50
Farragut West	Ronald Reagan Washington National Airport	4.66	2.65
Farragut West	Potomac Yard	6.17	3.25
Farragut West	Braddock Road	7.56	3.80
Farragut West	King St-Old Town	8.17	4.05
Farragut West	Eisenhower Avenue	8.79	4.30
Farragut West	Huntington	9.30	4.50
Farragut West	Federal Triangle	0.99	2.00
Farragut West	Smithsonian	1.30	2.00
Farragut West	L'Enfant Plaza	1.76	2.00
Farragut West	Federal Center SW	2.04	2.00
Farragut West	Capitol South	2.56	2.00
Farragut West	Eastern Market	3.04	2.00
Farragut West	Potomac Ave	3.66	2.25
Farragut West	Stadium-Armory	4.16	2.45
Farragut West	Minnesota Ave	5.96	3.20
Farragut West	Deanwood	6.72	3.50
Farragut West	Cheverly	7.83	3.95
Farragut West	Landover	9.54	4.60
Farragut West	New Carrollton	10.91	5.15
Farragut West	Mt Vernon Sq 7th St-Convention Center	1.37	2.00
Farragut West	Shaw-Howard U	1.73	2.00
Farragut West	U Street/African-Amer Civil War Memorial/Cardozo	1.96	2.00
Farragut West	Columbia Heights	2.70	2.00
Farragut West	Georgia Ave-Petworth	3.54	2.20
Farragut West	West Hyattsville	6.66	3.45
Farragut West	Hyattsville Crossing	7.79	3.90
Farragut West	College Park-U of Md	9.63	4.65
Farragut West	Greenbelt	11.98	5.60
Farragut West	Archives-Navy Memorial-Penn Quarter	1.31	2.00
Farragut West	Waterfront	2.46	2.00
Farragut West	Navy Yard-Ballpark	2.98	2.00
Farragut West	Anacostia	4.09	2.45
Farragut West	Congress Heights	5.33	2.95
Farragut West	Southern Avenue	6.20	3.30
Farragut West	Naylor Road	6.95	3.60
Farragut West	Suitland	8.32	4.15
Farragut West	Branch Ave	10.01	4.80
Farragut West	Benning Road	6.42	3.35
Farragut West	Capitol Heights	7.88	3.95
Farragut West	Addison Road-Seat Pleasant	8.86	4.35
Farragut West	Morgan Boulevard	10.31	4.90
Farragut West	Downtown Largo	11.61	5.45
Farragut West	Van Dorn Street	11.03	5.20
Farragut West	Franconia-Springfield	14.33	6.00
Farragut West	Court House	2.79	2.00
Farragut West	Clarendon	3.30	2.10
Farragut West	Virginia Square-GMU	3.76	2.30
Farragut West	Ballston-MU	4.31	2.50
Farragut West	East Falls Church	6.68	3.45
Farragut West	West Falls Church	8.54	4.20
Farragut West	Dunn Loring-Merrifield	10.80	5.10
Farragut West	Vienna/Fairfax-GMU	13.28	6.00
Farragut West	McLean	10.48	5.00
Farragut West	Tysons	11.08	5.25
Farragut West	Greensboro	11.79	5.50
Farragut West	Spring Hill	12.38	5.75
Farragut West	Wiehle-Reston East	18.02	6.00
Farragut West	Reston Town Center	19.15	6.00
Farragut West	Herndon	20.48	6.00
Farragut West	Innovation Center	22.19	6.00
Farragut West	Washington Dulles International Airport	24.07	6.00
Farragut West	Loudoun Gateway	26.11	6.00
Farragut West	Ashburn	28.01	6.00
