Start	Destination	Distance_mi	Fare_USD
Federal Center SW	Metro Center	1.31	2.00
Federal Center SW	Farragut North	2.04	2.00
Federal Center SW	Dupont Circle	2.54	2.00
Federal Center SW	Woodley Park-Zoo/Adams Morgan	3.71	2.30
Federal Center SW	Cleveland Park	4.42	2.55
Federal Center SW	Van Ness-UDC	5.04	2.80
Federal Center SW	Tenleytown-AU	6.01	3.20
Federal Center SW	Friendship Heights	6.78	3.50
Federal Center SW	Bethesda	8.45	4.20
Federal Center SW	Medical Center	9.46	4.60
Federal Center SW	Grosvenor-Strathmore	11.64	5.45
Federal Center SW	North Bethesda	13.02	6.00
Federal Center SW	Twinbrook	14.12	6.00
Federal Center SW	Rockville	16.08	6.00
Federal Center SW	Shady Grove	18.74	6.00
Federal Center SW	Gallery Pl-Chinatown	1.11	2.00
Federal Center SW	Judiciary Square	1.20	2.00
Federal Center SW	Union Station	1.62	2.00
Federal Center SW	Rhode Island Ave-Brentwood	3.36	2.15
Federal Center SW	Brookland-CUA	4.20	2.50
Federal Center SW	Fort Totten	5.40	2.95
Federal Center SW	Takoma	7.16	3.65
Federal Center SW	Silver Spring	8.50	4.20
Federal Center SW	Forest Glen	10.11	4.85
Federal Center SW	Wheaton	11.72	5.50
Federal Center SW	Glenmont	13.44	6.00
Federal Center SW	NoMa-Gallaudet U	2.29	2.00
Federal Center SW	McPherson Square	1.71	2.00
Federal Center SW	Farragut West	2.04	2.00
Federal Center SW	Foggy Bottom-GWU	2.50	2.00
Federal Center SW	Rosslyn	3.62	2.25
Federal Center SW	Arlington Cemetery	3.26	2.10
Federal Center SW	Pentagon	2.49	2.00
Federal Center SW	Pentagon City	3.05	2.00
Federal Center SW	Crystal City	3.32	2.15
Federal Center SW	Ronald Reagan Washington National Airport	3.60	2.25
Federal Center SW	Potomac Yard	5.05	2.80
Federal Center SW	Braddock Road	6.45	3.40
Federal Center SW	King St-Old Town	7.09	3.65
Federal Center SW	Eisenhower Avenue	7.76	3.90
Federal Center SW	Huntington	8.27	4.10
Federal Center SW	Federal Triangle	1.05	2.00
Federal Center SW	Smithsonian	0.78	2.00
Federal Center SW	L'Enfant Plaza	0.33	2.00
Federal Center SW	Capitol South	0.58	2.00
Federal Center SW	Eastern Market	1.08	2.00
Federal Center SW	Potomac Ave	1.69	2.00
Federal Center SW	Stadium-Armory	2.26	2.00
Federal Center SW	Minnesota Ave	4.19	2.50
Federal Center SW	Deanwood	5.02	2.80
Federal Center SW	Cheverly	6.17	3.25
Federal Center SW	Landover	7.95	4.00
Federal Center SW	New Carrollton	9.37	4.55
Federal Center SW	Mt Vernon Sq 7th St-Convention Center	1.67	2.00
Federal Center SW	Shaw-Howard U	2.14	2.00
Federal Center SW	U Street/African-Amer Civil War Memorial/Cardozo	2.53	2.00
Federal Center SW	Columbia Heights	3.36	2.15
Federal Center SW	Georgia Ave-Petworth	4.10	2.45
Federal Center SW	West Hyattsville	6.78	3.50
Federal Center SW	Hyattsville Crossing	7.89	3.95
Federal Center SW	College Park-U of Md	9.66	4.65
Federal Center SW	Greenbelt	12.08	5.65
Federal Center SW	Archives-Navy Memorial-Penn Quarter	0.77	2.00
Federal Center SW	Waterfront	0.86	2.00
Federal Center SW	Navy Yard-Ballpark	1.28	2.00
Federal Center SW	Anacostia	2.40	2.00
Federal Center SW	Congress Heights	3.66	2.25
Federal Center SW	Southern Avenue	4.52	2.60
Federal Center SW	Naylor Road	5.25	2.90
Federal Center SW	Suitland	6.63	3.45
Federal Center SW	Branch Ave	8.31	4.10
Federal Center SW	Benning Road	4.58	2.65
Federal Center SW	Capitol Heights	6.03	3.20
Federal Center SW	Addison Road-Seat Pleasant	7.00	3.60
Federal Center SW	Morgan Boulevard	8.49	4.20
Federal Center SW	Downtown Largo	9.81	4.70
Federal Center SW	Van Dorn Street	10.30	4.90
Federal Center SW	Franconia-Springfield	13.60	6.00
Federal Center SW	Court House	4.57	2.65
Federal Center SW	Clarendon	5.04	2.80
Federal Center SW	Virginia Square-GMU	5.48	3.00
Federal Center SW	Ballston-MU	6.04	3.20
Federal Center SW	East Falls Church	8.46	4.20
Federal Center SW	West Falls Church	10.40	4.95
Federal Center SW	Dunn Loring-Merrifield	12.59	5.85
Federal Center SW	Vienna/Fairfax-GMU	15.06	6.00
Federal Center SW	McLean	12.41	5.75
Federal Center SW	Tysons	13.00	6.00
Federal Center SW	Greensboro	13.70	6.00
Federal Center SW	Spring Hill	14.31	6.00
Federal Center SW	Wiehle-Reston East	19.96	6.00
Federal Center SW	Reston Town Center	21.09	6.00
Federal Center SW	Herndon	22.42	6.00
Federal Center SW	Innovation Center	24.13	6.00
Federal Center SW	Washington Dulles International Airport	26.00	6.00
Federal Center SW	Loudoun Gateway	28.07	6.00
Federal Center SW	Ashburn	29.98	6.00
