Start	Destination	Distance_mi	Fare_USD
Federal Triangle	Metro Center	0.30	2.00
Federal Triangle	Farragut North	0.99	2.00
Federal Triangle	Dupont Circle	1.49	2.00
Federal Triangle	Woodley Park-Zoo/Adams Morgan	2.67	2.00
Federal Triangle	Cleveland Park	3.38	2.15
Federal Triangle	Van Ness-UDC	4.01	2.40
Federal Triangle	Tenleytown-AU	4.97	2.80
Federal Triangle	Friendship Heights	5.74	3.10
Federal Triangle	Bethesda	7.42	3.75
Federal Triangle	Medical Center	8.44	4.20
Federal Triangle	Grosvenor-Strathmore	10.63	5.05
Federal Triangle	North Bethesda	12.01	5.60
Federal Triangle	Twinbrook	13.10	6.00
Federal Triangle	Rockville	15.06	6.00
Federal Triangle	Shady Grove	17.72	6.00
Federal Triangle	Gallery Pl-Chinatown	0.50	2.00
Federal Triangle	Judiciary Square	0.79	2.00
Federal Triangle	Union Station	1.37	2.00
Federal Triangle	Rhode Island Ave-Brentwood	2.95	2.00
Federal Triangle	Brookland-CUA	3.74	2.30
Federal Triangle	Fort Totten	4.85	2.75
Federal Triangle	Takoma	6.54	3.40
Federal Triangle	Silver Spring	7.85	3.95
Federal Triangle	Forest Glen	9.44	4.60
Federal Triangle	Wheaton	11.04	5.20
Federal Triangle	Glenmont	12.76	5.90
Federal Triangle	NoMa-Gallaudet U	1.94	2.00
Federal Triangle	McPherson Square	0.67	2.00
Federal Triangle	Farragut West	0.99	2.00
Federal Triangle	Foggy Bottom-GWU	1.46	2.00
Federal Triangle	Rosslyn	2.65	2.00
Federal Triangle	Arlington Cemetery	2.96	2.00
Federal Triangle	Pentagon	2.70	2.00
Federal Triangle	Pentagon City	3.30	2.10
Federal Triangle	Crystal City	3.65	2.25
Federal Triangle	Ronald Reagan Washington National Airport	4.00	2.40
Federal Triangle	Potomac Yard	5.51	3.00
Federal Triangle	Braddock Road	6.91	3.55
Federal Triangle	King St-Old Town	7.53	3.80
Federal Triangle	Eisenhower Avenue	8.18	4.05
Federal Triangle	Huntington	8.69	4.30
Federal Triangle	Smithsonian	0.38	2.00
Federal Triangle	L'Enfant Plaza	0.79	2.00
Federal Triangle	Federal Center SW	1.05	2.00
Federal Triangle	Capitol South	1.58	2.00
Federal Triangle	Eastern Market	2.07	2.00
Federal Triangle	Potomac Ave	2.69	2.00
Federal Triangle	Stadium-Armory	3.21	2.10
Federal Triangle	Minnesota Ave	5.07	2.85
Federal Triangle	Deanwood	5.86	3.15
Federal Triangle	Cheverly	6.99	3.60
Federal Triangle	Landover	8.74	4.30
Federal Triangle	New Carrollton	10.14	4.85
Federal Triangle	Mt Vernon Sq 7th St-Convention Center	1.04	2.00
Federal Triangle	Shaw-Howard U	1.51	2.00
Federal Triangle	U Street/African-Amer Civil War Memorial/Cardozo	1.85	2.00
Federal Triangle	Columbia Heights	2.67	2.00
Federal Triangle	Georgia Ave-Petworth	3.46	2.20
Federal Triangle	West Hyattsville	6.37	3.35
Federal Triangle	Hyattsville Crossing	7.49	3.80
Federal Triangle	College Park-U of Md	9.30	4.50
Federal Triangle	Greenbelt	11.70	5.50
Federal Triangle	Archives-Navy Memorial-Penn Quarter	0.64	2.00
Federal Triangle	Waterfront	1.50	2.00
Federal Triangle	Navy Yard-Ballpark	2.00	2.00
Federal Triangle	Anacostia	3.11	2.05
Federal Triangle	Congress Heights	4.36	2.55
Federal Triangle	Southern Avenue	5.23	2.90
Federal Triangle	Naylor Road	5.97	3.20
Federal Triangle	Suitland	7.34	3.75
Federal Triangle	Branch Ave	9.02	4.40
Federal Triangle	Benning Road	5.50	3.00
Federal Triangle	Capitol Heights	6.96	3.60
Federal Triangle	Addison Road-Seat Pleasant	7.94	4.00
Federal Triangle	Morgan Boulevard	9.41	4.55
Federal Triangle	Downtown Largo	10.72	5.10
Federal Triangle	Van Dorn Street	10.57	5.05
Federal Triangle	Franconia-Springfield	13.88	6.00
Federal Triangle	Court House	3.63	2.25
Federal Triangle	Clarendon	4.12	2.45
Federal Triangle	Virginia Square-GMU	4.58	2.65
Federal Triangle	Ballston-MU	5.14	2.85
Federal Triangle	East Falls Church	7.54	3.80
Federal Triangle	West Falls Church	9.44	4.60
Federal Triangle	Dunn Loring-Merrifield	11.67	5.45
Federal Triangle	Vienna/Fairfax-GMU	14.15	6.00
Federal Triangle	McLean	11.41	5.35
Federal Triangle	Tysons	12.01	5.60
Federal Triangle	Greensboro	12.72	5.90
Federal Triangle	Spring Hill	13.32	6.00
Federal Triangle	Wiehle-Reston East	18.97	6.00
Federal Triangle	Reston Town Center	20.09	6.00
Federal Triangle	Herndon	21.42	6.00
Federal Triangle	Innovation Center	23.14	6.00
Federal Triangle	Washington Dulles International Airport	25.01	6.00
Federal Triangle	Loudoun Gateway	27.06	6.00
Federal Triangle	Ashburn	28.97	6.00
