Start	Destination	Distance_mi	Fare_USD
Foggy Bottom-GWU	Metro Center	1.28	2.00
Foggy Bottom-GWU	Farragut North	1.37	2.00
Foggy Bottom-GWU	Dupont Circle	1.69	2.00
Foggy Bottom-GWU	Woodley Park-Zoo/Adams Morgan	2.79	2.00
Foggy Bottom-GWU	Cleveland Park	3.48	2.20
Foggy Bottom-GWU	Van Ness-UDC	4.10	2.45
Foggy Bottom-GWU	Tenleytown-AU	4.99	2.80
Foggy Bottom-GWU	Friendship Heights	5.77	3.10
Foggy Bottom-GWU	Bethesda	7.48	3.80
Foggy Bottom-GWU	Medical Center	8.51	4.20
Foggy Bottom-GWU	Grosvenor-Strathmore	10.72	5.10
Foggy Bottom-GWU	North Bethesda	12.11	5.65
Foggy Bottom-GWU	Twinbrook	13.20	6.00
Foggy Bottom-GWU	Rockville	15.13	6.00
Foggy Bottom-GWU	Shady Grove	17.80	6.00
Foggy Bottom-GWU	Gallery Pl-Chinatown	1.56	2.00
Foggy Bottom-GWU	Judiciary Square	1.92	2.00
Foggy Bottom-GWU	Union Station	2.49	2.00
Foggy Bottom-GWU	Rhode Island Ave-Brentwood	3.83	2.35
Foggy Bottom-GWU	Brookland-CUA	4.51	2.60
Foggy Bottom-GWU	Fort Totten	5.44	3.00
Foggy Bottom-GWU	Takoma	6.96	3.60
Foggy Bottom-GWU	Silver Spring	8.18	4.05
Foggy Bottom-GWU	Forest Glen	9.72	4.70
Foggy Bottom-GWU	Wheaton	11.30	5.30
Foggy Bottom-GWU	Glenmont	13.02	6.00
Foggy Bottom-GWU	NoMa-Gallaudet U	2.95	2.00
Foggy Bottom-GWU	McPherson Square	0.90	2.00
Foggy Bottom-GWU	Farragut West	0.52	2.00
Foggy Bottom-GWU	Rosslyn	1.25	2.00
Foggy Bottom-GWU	Arlington Cemetery	1.79	2.00
Foggy Bottom-GWU	Pentagon	2.89	2.00
Foggy Bottom-GWU	Pentagon City	3.47	2.20
Foggy Bottom-GWU	Crystal City	3.94	2.40
Foggy Bottom-GWU	Ronald Reagan Washington National Airport	4.38	2.55
Foggy Bottom-GWU	Potomac Yard	5.89	3.15
Foggy Bottom-GWU	Braddock Road	7.26	3.70
Foggy Bottom-GWU	King St-Old Town	7.85	3.95
Foggy Bottom-GWU	Eisenhower Avenue	8.45	4.20
Foggy Bottom-GWU	Huntington	8.96	4.40
Foggy Bottom-GWU	Federal Triangle	1.46	2.00
Foggy Bottom-GWU	Smithsonian	1.73	2.00
Foggy Bottom-GWU	L'Enfant Plaza	2.20	2.00
Foggy Bottom-GWU	Federal Center SW	2.50	2.00
Foggy Bottom-GWU	Capitol South	3.05	2.00
Foggy Bottom-GWU	Eastern Market	3.54	2.20
Foggy Bottom-GWU	Potomac Ave	4.15	2.45
Foggy Bottom-GWU	Stadium-Armory	4.67	2.65
Foggy Bottom-GWU	Minnesota Ave	6.48	3.40
Foggy Bottom-GWU	Deanwood	7.24	3.70
Foggy Bottom-GWU	Cheverly	8.35	4.15
Foggy Bottom-GWU	Landover	10.06	4.80
Foggy Bottom-GWU	New Carrollton	11.43	5.35
Foggy Bottom-GWU	Mt Vernon Sq 7th St-Convention Center	1.89	2.00
Foggy Bottom-GWU	Shaw-Howard U	2.22	2.00
Foggy Bottom-GWU	U Street/African-Amer Civil War Memorial/Cardozo	2.41	2.00
Foggy Bottom-GWU	Columbia Heights	3.07	2.05
Foggy Bottom-GWU	Georgia Ave-Petworth	3.93	2.35
Foggy Bottom-GWU	West Hyattsville	7.13	3.65
Foggy Bottom-GWU	Hyattsville Crossing	8.26	4.10
Foggy Bottom-GWU	College Park-U of Md	10.11	4.85
Foggy Bottom-GWU	Greenbelt	12.44	5.80
Foggy Bottom-GWU	Archives-Navy Memorial-Penn Quarter	1.80	2.00
Foggy Bottom-GWU	Waterfront	2.87	2.00
Foggy Bottom-GWU	Navy Yard-Ballpark	3.43	2.15
Foggy Bottom-GWU	Anacostia	4.52	2.60
Foggy Bottom-GWU	Congress Heights	5.74	3.10
Foggy Bottom-GWU	Southern Avenue	6.63	3.45
Foggy Bottom-GWU	Naylor Road	7.41	3.75
Foggy Bottom-GWU	Suitland	8.79	4.30
Foggy Bottom-GWU	Branch Ave	10.47	5.00
Foggy Bottom-GWU	Benning Road	6.94	3.60
Foggy Bottom-GWU	Capitol Heights	8.40	4.15
Foggy Bottom-GWU	Addison Road-Seat Pleasant	9.38	4.55
Foggy Bottom-GWU	Morgan Boulevard	10.83	5.15
Foggy Bottom-GWU	Downtown Largo	12.14	5.65
Foggy Bottom-GWU	Van Dorn Street	10.61	5.05
Foggy Bottom-GWU	Franconia-Springfield	13.90	6.00
Foggy Bottom-GWU	Court House	2.27	2.00
Foggy Bottom-GWU	Clarendon	2.78	2.00
Foggy Bottom-GWU	Virginia Square-GMU	3.25	2.10
Foggy Bottom-GWU	Ballston-MU	3.80	2.30
Foggy Bottom-GWU	East Falls Church	6.15	3.25
Foggy Bottom-GWU	West Falls Church	8.01	4.00
Foggy Bottom-GWU	Dunn Loring-Merrifield	10.27	4.90
Foggy Bottom-GWU	Vienna/Fairfax-GMU	12.76	5.90
Foggy Bottom-GWU	McLean	9.96	4.80
Foggy Bottom-GWU	Tysons	10.56	5.00
Foggy Bottom-GWU	Greensboro	11.27	5.30
Foggy Bottom-GWU	Spring Hill	11.86	5.55
Foggy Bottom-GWU	Wiehle-Reston East	17.51	6.00
Foggy Bottom-GWU	Reston Town Center	18.63	6.00
Foggy Bottom-GWU	Herndon	19.97	6.00
Foggy Bottom-GWU	Innovation Center	21.68	6.00
Foggy Bottom-GWU	Washington Dulles International Airport	23.56	6.00
Foggy Bottom-GWU	Loudoun Gateway	25.60	6.00
Foggy Bottom-GWU	Ashburn	27.51	6.00
