Start	Destination	Distance_mi	Fare_USD
Forest Glen	Metro Center	9.14	4.45
Forest Glen	Farragut North	9.34	4.55
Forest Glen	Dupont Circle	9.37	4.55
Forest Glen	Woodley Park-Zoo/Adams Morgan	9.43	4.55
Forest Glen	Cleveland Park	9.49	4.60
Forest Glen	Van Ness-UDC	9.54	4.60
Forest Glen	Tenleytown-AU	10.05	4.80
Forest Glen	Friendship Heights	10.18	4.85
Forest Glen	Bethesda	10.56	5.00
Forest Glen	Medical Center	10.90	5.15
Forest Glen	Grosvenor-Strathmore	12.18	5.65
Forest Glen	North Bethesda	13.36	6.00
Forest Glen	Twinbrook	14.38	6.00
Forest Glen	Rockville	16.38	6.00
Forest Glen	Shady Grove	18.93	6.00
Forest Glen	Gallery Pl-Chinatown	9.01	4.40
Forest Glen	Judiciary Square	8.96	4.40
Forest Glen	Union Station	8.65	4.25
Forest Glen	Rhode Island Ave-Brentwood	7.09	3.65
Forest Glen	Brookland-CUA	6.29	3.30
Forest Glen	Fort Totten	4.94	2.80
Forest Glen	Takoma	3.05	2.00
Forest Glen	Silver Spring	1.64	2.00
Forest Glen	Wheaton	1.61	2.00
Forest Glen	Glenmont	3.33	2.15
Forest Glen	NoMa-Gallaudet U	8.03	4.00
Forest Glen	McPherson Square	9.25	4.50
Forest Glen	Farragut West	9.43	4.55
Forest Glen	Foggy Bottom-GWU	9.72	4.70
Forest Glen	Rosslyn	10.61	5.05
Forest Glen	Arlington Cemetery	11.44	5.40
Forest Glen	Pentagon	11.61	5.45
Forest Glen	Pentagon City	12.17	5.65
Forest Glen	Crystal City	12.66	5.85
Forest Glen	Ronald Reagan Washington National Airport	13.08	6.00
Forest Glen	Potomac Yard	14.60	6.00
Forest Glen	Braddock Road	15.97	6.00
Forest Glen	King St-Old Town	16.57	6.00
Forest Glen	Eisenhower Avenue	17.16	6.00
Forest Glen	Huntington	17.66	6.00
Forest Glen	Federal Triangle	9.44	4.60
Forest Glen	Smithsonian	9.81	4.70
Forest Glen	L'Enfant Plaza	9.92	4.75
Forest Glen	Federal Center SW	10.11	4.85
Forest Glen	Capitol South	10.46	5.00
Forest Glen	Eastern Market	10.79	5.10
Forest Glen	Potomac Ave	11.29	5.30
Forest Glen	Stadium-Armory	11.54	5.40
Forest Glen	Minnesota Ave	12.59	5.85
Forest Glen	Deanwood	12.96	6.00
Forest Glen	Cheverly	13.66	6.00
Forest Glen	Landover	14.73	6.00
Forest Glen	New Carrollton	15.65	6.00
Forest Glen	Mt Vernon Sq 7th St-Convention Center	8.45	4.20
Forest Glen	Shaw-Howard U	7.97	4.00
Forest Glen	U Street/African-Amer Civil War Memorial/Cardozo	7.59	3.85
Forest Glen	Columbia Heights	6.77	3.50
Forest Glen	Georgia Ave-Petworth	6.02	3.20
Forest Glen	West Hyattsville	6.34	3.35
Forest Glen	Hyattsville Crossing	7.01	3.60
Forest Glen	College Park-U of Md	8.43	4.15
Forest Glen	Greenbelt	9.88	4.75
Forest Glen	Archives-Navy Memorial-Penn Quarter	9.37	4.55
Forest Glen	Waterfront	10.63	5.05
Forest Glen	Navy Yard-Ballpark	11.00	5.20
Forest Glen	Anacostia	12.09	5.65
Forest Glen	Congress Heights	13.38	6.00
Forest Glen	Southern Avenue	14.16	6.00
Forest Glen	Naylor Road	14.62	6.00
Forest Glen	Suitland	15.81	6.00
Forest Glen	Branch Ave	17.49	6.00
Forest Glen	Benning Road	13.17	6.00
Forest Glen	Capitol Heights	14.38	6.00
Forest Glen	Addison Road-Seat Pleasant	15.25	6.00
Forest Glen	Morgan Boulevard	16.35	6.00
Forest Glen	Downtown Largo	17.38	6.00
Forest Glen	Van Dorn Street	19.08	6.00
Forest Glen	Franconia-Springfield	22.26	6.00
Forest Glen	Court House	11.45	5.40
Forest Glen	Clarendon	11.88	5.55
Forest Glen	Virginia Square-GMU	12.29	5.70
Forest Glen	Ballston-MU	12.71	5.90
Forest Glen	East Falls Church	14.41	6.00
Forest Glen	West Falls Church	15.61	6.00
Forest Glen	Dunn Loring-Merrifield	17.95	6.00
Forest Glen	Vienna/Fairfax-GMU	20.27	6.00
Forest Glen	McLean	16.82	6.00
Forest Glen	Tysons	17.47	6.00
Forest Glen	Greensboro	18.11	6.00
Forest Glen	Spring Hill	18.50	6.00
Forest Glen	Wiehle-Reston East	23.63	6.00
Forest Glen	Reston Town Center	24.67	6.00
Forest Glen	Herndon	26.00	6.00
Forest Glen	Innovation Center	27.60	6.00
Forest Glen	Washington Dulles International Airport	29.54	6.00
Forest Glen	Loudoun Gateway	31.15	6.00
Forest Glen	Ashburn	32.93	6.00
