Start	Destination	Distance_mi	Fare_USD
Fort Totten	Metro Center	4.55	2.60
Fort Totten	Farragut North	4.93	2.75
Fort Totten	Dupont Circle	5.05	2.80
Fort Totten	Woodley Park-Zoo/Adams Morgan	5.45	3.00
Fort Totten	Cleveland Park	5.78	3.10
Fort Totten	Van Ness-UDC	6.15	3.25
Fort Totten	Tenleytown-AU	7.12	3.65
Fort Totten	Friendship Heights	7.67	3.85
Fort Totten	Bethesda	8.98	4.40
Fort Totten	Medical Center	9.82	4.75
Fort Totten	Grosvenor-Strathmore	11.78	5.50
Fort Totten	North Bethesda	13.11	6.00
Fort Totten	Twinbrook	14.18	6.00
Fort Totten	Rockville	16.19	6.00
Fort Totten	Shady Grove	18.80	6.00
Fort Totten	Gallery Pl-Chinatown	4.36	2.55
Fort Totten	Judiciary Square	4.26	2.50
Fort Totten	Union Station	3.86	2.35
Fort Totten	Rhode Island Ave-Brentwood	2.19	2.00
Fort Totten	Brookland-CUA	1.35	2.00
Fort Totten	Takoma	1.89	2.00
Fort Totten	Silver Spring	3.30	2.10
Fort Totten	Forest Glen	4.94	2.80
Fort Totten	Wheaton	6.53	3.40
Fort Totten	Glenmont	8.22	4.10
Fort Totten	NoMa-Gallaudet U	3.21	2.10
Fort Totten	McPherson Square	4.74	2.70
Fort Totten	Farragut West	5.02	2.80
Fort Totten	Foggy Bottom-GWU	5.44	3.00
Fort Totten	Rosslyn	6.59	3.45
Fort Totten	Arlington Cemetery	7.23	3.70
Fort Totten	Pentagon	7.23	3.70
Fort Totten	Pentagon City	7.83	3.95
Fort Totten	Crystal City	8.22	4.10
Fort Totten	Ronald Reagan Washington National Airport	8.58	4.25
Fort Totten	Potomac Yard	10.08	4.85
Fort Totten	Braddock Road	11.48	5.40
Fort Totten	King St-Old Town	12.11	5.65
Fort Totten	Eisenhower Avenue	12.75	5.90
Fort Totten	Huntington	13.27	6.00
Fort Totten	Federal Triangle	4.85	2.75
Fort Totten	Smithsonian	5.22	2.90
Fort Totten	L'Enfant Plaza	5.26	2.90
Fort Totten	Federal Center SW	5.40	2.95
Fort Totten	Capitol South	5.66	3.05
Fort Totten	Eastern Market	5.94	3.20
Fort Totten	Potomac Ave	6.41	3.35
Fort Totten	Stadium-Armory	6.63	3.45
Fort Totten	Minnesota Ave	7.70	3.90
Fort Totten	Deanwood	8.14	4.05
Fort Totten	Cheverly	8.98	4.40
Fort Totten	Landover	10.35	4.95
Fort Totten	New Carrollton	11.54	5.40
Fort Totten	Mt Vernon Sq 7th St-Convention Center	3.81	2.30
Fort Totten	Shaw-Howard U	3.34	2.15
Fort Totten	U Street/African-Amer Civil War Memorial/Cardozo	3.06	2.00
Fort Totten	Columbia Heights	2.39	2.00
Fort Totten	Georgia Ave-Petworth	1.53	2.00
Fort Totten	West Hyattsville	1.90	2.00
Fort Totten	Hyattsville Crossing	2.96	2.00
Fort Totten	College Park-U of Md	4.81	2.70
Fort Totten	Greenbelt	7.04	3.60
Fort Totten	Archives-Navy Memorial-Penn Quarter	4.71	2.70
Fort Totten	Waterfront	5.93	3.15
Fort Totten	Navy Yard-Ballpark	6.22	3.30
Fort Totten	Anacostia	7.27	3.70
Fort Totten	Congress Heights	8.54	4.20
Fort Totten	Southern Avenue	9.28	4.50
Fort Totten	Naylor Road	9.70	4.70
Fort Totten	Suitland	10.88	5.15
Fort Totten	Branch Ave	12.56	5.80
Fort Totten	Benning Road	8.28	4.10
Fort Totten	Capitol Heights	9.56	4.60
Fort Totten	Addison Road-Seat Pleasant	10.48	5.00
Fort Totten	Morgan Boulevard	11.71	5.50
Fort Totten	Downtown Largo	12.86	5.95
Fort Totten	Van Dorn Street	15.05	6.00
Fort Totten	Franconia-Springfield	18.34	6.00
Fort Totten	Court House	7.59	3.85
Fort Totten	Clarendon	8.09	4.05
Fort Totten	Virginia Square-GMU	8.55	4.20
Fort Totten	Ballston-MU	9.07	4.45
Fort Totten	East Falls Church	11.22	5.30
Fort Totten	West Falls Church	12.85	5.95
Fort Totten	Dunn Loring-Merrifield	15.21	6.00
Fort Totten	Vienna/Fairfax-GMU	17.68	6.00
Fort Totten	McLean	14.50	6.00
Fort Totten	Tysons	15.14	6.00
Fort Totten	Greensboro	15.84	6.00
Fort Totten	Spring Hill	16.35	6.00
Fort Totten	Wiehle-Reston East	21.88	6.00
Fort Totten	Reston Town Center	22.98	6.00
Fort Totten	Herndon	24.33	6.00
Fort Totten	Innovation Center	26.00	6.00
Fort Totten	Washington Dulles International Airport	27.93	6.00
Fort Totten	Loudoun Gateway	29.77	6.00
Fort Totten	Ashburn	31.63	6.00
