Start	Destination	Distance_mi	Fare_USD
Franconia-Springfield	Metro Center	14.14	6.00
Franconia-Springfield	Farragut North	14.47	6.00
Franconia-Springfield	Dupont Circle	14.86	6.00
Franconia-Springfield	Woodley Park-Zoo/Adams Morgan	15.79	6.00
Franconia-Springfield	Cleveland Park	16.35	6.00
Franconia-Springfield	Van Ness-UDC	16.87	6.00
Franconia-Springfield	Tenleytown-AU	17.43	6.00
Franconia-Springfield	Friendship Heights	18.11	6.00
Franconia-Springfield	Bethesda	19.69	6.00
Franconia-Springfield	Medical Center	20.70	6.00
Franconia-Springfield	Grosvenor-Strathmore	22.84	6.00
Franconia-Springfield	North Bethesda	24.13	6.00
Franconia-Springfield	Twinbrook	25.14	6.00
Franconia-Springfield	Rockville	26.82	6.00
Franconia-Springfield	Shady Grove	29.38	6.00
Franconia-Springfield	Gallery Pl-Chinatown	14.12	6.00
Franconia-Springfield	Judiciary Square	14.34	6.00
Franconia-Springfield	Union Station	14.87	6.00
Franconia-Springfield	Rhode Island Ave-Brentwood	16.55	6.00
Franconia-Springfield	Brookland-CUA	17.33	6.00
Franconia-Springfield	Fort Totten	18.34	6.00
Franconia-Springfield	Takoma	19.79	6.00
Franconia-Springfield	Silver Spring	20.87	6.00
Franconia-Springfield	Forest Glen	22.26	6.00
Franconia-Springfield	Wheaton	23.73	6.00
Franconia-Springfield	Glenmont	25.38	6.00
Franconia-Springfield	NoMa-Gallaudet U	15.51	6.00
Franconia-Springfield	McPherson Square	14.36	6.00
Franconia-Springfield	Farragut West	14.33	6.00
Franconia-Springfield	Foggy Bottom-GWU	13.90	6.00
Franconia-Springfield	Rosslyn	12.80	5.90
Franconia-Springfield	Arlington Cemetery	12.11	5.65
Franconia-Springfield	Pentagon	11.17	5.25
Franconia-Springfield	Pentagon City	10.58	5.05
Franconia-Springfield	Crystal City	10.28	4.90
Franconia-Springfield	Ronald Reagan Washington National Airport	10.03	4.80
Franconia-Springfield	Potomac Yard	8.73	4.30
Franconia-Springfield	Braddock Road	7.51	3.80
Franconia-Springfield	King St-Old Town	6.89	3.55
Franconia-Springfield	Eisenhower Avenue	6.91	3.55
Franconia-Springfield	Huntington	6.98	3.60
Franconia-Springfield	Federal Triangle	13.88	6.00
Franconia-Springfield	Smithsonian	13.54	6.00
Franconia-Springfield	L'Enfant Plaza	13.33	6.00
Franconia-Springfield	Federal Center SW	13.60	6.00
Franconia-Springfield	Capitol South	14.10	6.00
Franconia-Springfield	Eastern Market	14.53	6.00
Franconia-Springfield	Potomac Ave	14.98	6.00
Franconia-Springfield	Stadium-Armory	15.64	6.00
Franconia-Springfield	Minnesota Ave	17.59	6.00
Franconia-Springfield	Deanwood	18.47	6.00
Franconia-Springfield	Cheverly	19.63	6.00
Franconia-Springfield	Landover	21.44	6.00
Franconia-Springfield	New Carrollton	22.88	6.00
Franconia-Springfield	Mt Vernon Sq 7th St-Convention Center	14.62	6.00
Franconia-Springfield	Shaw-Howard U	15.05	6.00
Franconia-Springfield	U Street/African-Amer Civil War Memorial/Cardozo	15.29	6.00
Franconia-Springfield	Columbia Heights	15.96	6.00
Franconia-Springfield	Georgia Ave-Petworth	16.83	6.00
Franconia-Springfield	West Hyattsville	19.97	6.00
Franconia-Springfield	Hyattsville Crossing	21.09	6.00
Franconia-Springfield	College Park-U of Md	22.91	6.00
Franconia-Springfield	Greenbelt	25.30	6.00
Franconia-Springfield	Archives-Navy Memorial-Penn Quarter	13.81	6.00
Franconia-Springfield	Waterfront	13.60	6.00
Franconia-Springfield	Navy Yard-Ballpark	14.15	6.00
Franconia-Springfield	Anacostia	14.67	6.00
Franconia-Springfield	Congress Heights	15.16	6.00
Franconia-Springfield	Southern Avenue	15.92	6.00
Franconia-Springfield	Naylor Road	17.15	6.00
Franconia-Springfield	Suitland	18.36	6.00
Franconia-Springfield	Branch Ave	19.55	6.00
Franconia-Springfield	Benning Road	17.83	6.00
Franconia-Springfield	Capitol Heights	19.14	6.00
Franconia-Springfield	Addison Road-Seat Pleasant	20.00	6.00
Franconia-Springfield	Morgan Boulevard	21.51	6.00
Franconia-Springfield	Downtown Largo	22.85	6.00
Franconia-Springfield	Van Dorn Street	3.31	2.10
Franconia-Springfield	Court House	12.96	6.00
Franconia-Springfield	Clarendon	13.00	6.00
Franconia-Springfield	Virginia Square-GMU	13.05	6.00
Franconia-Springfield	Ballston-MU	13.19	6.00
Franconia-Springfield	East Falls Church	14.31	6.00
Franconia-Springfield	West Falls Church	15.88	6.00
Franconia-Springfield	Dunn Loring-Merrifield	16.76	6.00
Franconia-Springfield	Vienna/Fairfax-GMU	18.42	6.00
Franconia-Springfield	McLean	18.08	6.00
Franconia-Springfield	Tysons	18.35	6.00
Franconia-Springfield	Greensboro	18.84	6.00
Franconia-Springfield	Spring Hill	19.51	6.00
Franconia-Springfield	Wiehle-Reston East	24.27	6.00
Franconia-Springfield	Reston Town Center	25.30	6.00
Franconia-Springfield	Herndon	26.41	6.00
Franconia-Springfield	Innovation Center	28.03	6.00
Franconia-Springfield	Washington Dulles International Airport	29.60	6.00
Franconia-Springfield	Loudoun Gateway	32.14	6.00
Franconia-Springfield	Ashburn	34.03	6.00
