Start	Destination	Distance_mi	Fare_USD
Friendship Heights	Metro Center	5.46	3.00
Friendship Heights	Farragut North	4.76	2.70
Friendship Heights	Dupont Circle	4.25	2.50
Friendship Heights	Woodley Park-Zoo/Adams Morgan	3.07	2.05
Friendship Heights	Cleveland Park	2.37	2.00
Friendship Heights	Van Ness-UDC	1.76	2.00
Friendship Heights	Tenleytown-AU	0.78	2.00
Friendship Heights	Bethesda	1.72	2.00
Friendship Heights	Medical Center	2.76	2.00
Friendship Heights	Grosvenor-Strathmore	4.99	2.80
Friendship Heights	North Bethesda	6.36	3.35
Friendship Heights	Twinbrook	7.45	3.80
Friendship Heights	Rockville	9.37	4.55
Friendship Heights	Shady Grove	12.04	5.60
Friendship Heights	Gallery Pl-Chinatown	5.69	3.10
Friendship Heights	Judiciary Square	6.04	3.20
Friendship Heights	Union Station	6.50	3.40
Friendship Heights	Rhode Island Ave-Brentwood	7.13	3.65
Friendship Heights	Brookland-CUA	7.42	3.75
Friendship Heights	Fort Totten	7.67	3.85
Friendship Heights	Takoma	8.29	4.10
Friendship Heights	Silver Spring	8.98	4.40
Friendship Heights	Forest Glen	10.18	4.85
Friendship Heights	Wheaton	11.61	5.45
Friendship Heights	Glenmont	13.27	6.00
Friendship Heights	NoMa-Gallaudet U	6.70	3.50
Friendship Heights	McPherson Square	5.52	3.00
Friendship Heights	Farragut West	5.61	3.05
Friendship Heights	Foggy Bottom-GWU	5.77	3.10
Friendship Heights	Rosslyn	6.42	3.35
Friendship Heights	Arlington Cemetery	7.32	3.75
Friendship Heights	Pentagon	7.83	3.95
Friendship Heights	Pentagon City	8.34	4.15
Friendship Heights	Crystal City	8.90	4.35
Friendship Heights	Ronald Reagan Washington National Airport	9.37	4.55
Friendship Heights	Potomac Yard	10.84	5.15
Friendship Heights	Braddock Road	12.16	5.65
Friendship Heights	King St-Old Town	12.71	5.90
Friendship Heights	Eisenhower Avenue	13.25	6.00
Friendship Heights	Huntington	13.74	6.00
Friendship Heights	Federal Triangle	5.74	3.10
Friendship Heights	Smithsonian	6.08	3.25
Friendship Heights	L'Enfant Plaza	6.52	3.40
Friendship Heights	Federal Center SW	6.78	3.50
Friendship Heights	Capitol South	7.25	3.70
Friendship Heights	Eastern Market	7.68	3.85
Friendship Heights	Potomac Ave	8.27	4.10
Friendship Heights	Stadium-Armory	8.65	4.25
Friendship Heights	Minnesota Ave	10.14	4.85
Friendship Heights	Deanwood	10.72	5.10
Friendship Heights	Cheverly	11.66	5.45
Friendship Heights	Landover	13.10	6.00
Friendship Heights	New Carrollton	14.29	6.00
Friendship Heights	Mt Vernon Sq 7th St-Convention Center	5.77	3.10
Friendship Heights	Shaw-Howard U	5.84	3.15
Friendship Heights	U Street/African-Amer Civil War Memorial/Cardozo	5.89	3.15
Friendship Heights	Columbia Heights	6.00	3.20
Friendship Heights	Georgia Ave-Petworth	6.48	3.40
Friendship Heights	West Hyattsville	9.55	4.60
Friendship Heights	Hyattsville Crossing	10.54	5.00
Friendship Heights	College Park-U of Md	12.32	5.75
Friendship Heights	Greenbelt	14.29	6.00
Friendship Heights	Archives-Navy Memorial-Penn Quarter	6.02	3.20
Friendship Heights	Waterfront	7.23	3.70
Friendship Heights	Navy Yard-Ballpark	7.72	3.90
Friendship Heights	Anacostia	8.84	4.35
Friendship Heights	Congress Heights	10.10	4.85
Friendship Heights	Southern Avenue	10.96	5.20
Friendship Heights	Naylor Road	11.64	5.45
Friendship Heights	Suitland	12.97	6.00
Friendship Heights	Branch Ave	14.67	6.00
Friendship Heights	Benning Road	10.69	5.10
Friendship Heights	Capitol Heights	12.08	5.65
Friendship Heights	Addison Road-Seat Pleasant	13.04	6.00
Friendship Heights	Morgan Boulevard	14.36	6.00
Friendship Heights	Downtown Largo	15.56	6.00
Friendship Heights	Van Dorn Street	14.97	6.00
Friendship Heights	Franconia-Springfield	18.11	6.00
Friendship Heights	Court House	7.14	3.65
Friendship Heights	Clarendon	7.53	3.80
Friendship Heights	Virginia Square-GMU	7.90	3.95
Friendship Heights	Ballston-MU	8.29	4.10
Friendship Heights	East Falls Church	9.95	4.80
Friendship Heights	West Falls Church	11.26	5.30
Friendship Heights	Dunn Loring-Merrifield	13.64	6.00
Friendship Heights	Vienna/Fairfax-GMU	16.03	6.00
Friendship Heights	McLean	12.69	5.90
Friendship Heights	Tysons	13.34	6.00
Friendship Heights	Greensboro	14.02	6.00
Friendship Heights	Spring Hill	14.49	6.00
Friendship Heights	Wiehle-Reston East	19.95	6.00
Friendship Heights	Reston Town Center	21.04	6.00
Friendship Heights	Herndon	22.39	6.00
Friendship Heights	Innovation Center	24.06	6.00
Friendship Heights	Washington Dulles International Airport	25.99	6.00
Friendship Heights	Loudoun Gateway	27.82	6.00
Friendship Heights	Ashburn	29.68	6.00
