Start	Destination	Distance_mi	Fare_USD
Gallery Pl-Chinatown	Metro Center	0.29	2.00
Gallery Pl-Chinatown	Farragut North	1.02	2.00
Gallery Pl-Chinatown	Dupont Circle	1.48	2.00
Gallery Pl-Chinatown	Woodley Park-Zoo/Adams Morgan	2.63	2.00
Gallery Pl-Chinatown	Cleveland Park	3.32	2.15
Gallery Pl-Chinatown	Van Ness-UDC	3.95	2.40
Gallery Pl-Chinatown	Tenleytown-AU	4.93	2.75
Gallery Pl-Chinatown	Friendship Heights	5.69	3.10
Gallery Pl-Chinatown	Bethesda	7.36	3.75
Gallery Pl-Chinatown	Medical Center	8.36	4.15
Gallery Pl-Chinatown	Grosvenor-Strathmore	10.54	5.00
Gallery Pl-Chinatown	North Bethesda	11.92	5.55
Gallery Pl-Chinatown	Twinbrook	13.01	6.00
Gallery Pl-Chinatown	Rockville	14.98	6.00
Gallery Pl-Chinatown	Shady Grove	17.64	6.00
Gallery Pl-Chinatown	Judiciary Square	0.36	2.00
Gallery Pl-Chinatown	Union Station	0.92	2.00
Gallery Pl-Chinatown	Rhode Island Ave-Brentwood	2.45	2.00
Gallery Pl-Chinatown	Brookland-CUA	3.24	2.10
Gallery Pl-Chinatown	Fort Totten	4.36	2.55
Gallery Pl-Chinatown	Takoma	6.08	3.25
Gallery Pl-Chinatown	Silver Spring	7.41	3.75
Gallery Pl-Chinatown	Forest Glen	9.01	4.40
Gallery Pl-Chinatown	Wheaton	10.61	5.05
Gallery Pl-Chinatown	Glenmont	12.34	5.75
Gallery Pl-Chinatown	NoMa-Gallaudet U	1.44	2.00
Gallery Pl-Chinatown	McPherson Square	0.67	2.00
Gallery Pl-Chinatown	Farragut West	1.05	2.00
Gallery Pl-Chinatown	Foggy Bottom-GWU	1.56	2.00
Gallery Pl-Chinatown	Rosslyn	2.78	2.00
Gallery Pl-Chinatown	Arlington Cemetery	3.14	2.05
Gallery Pl-Chinatown	Pentagon	2.95	2.00
Gallery Pl-Chinatown	Pentagon City	3.54	2.20
Gallery Pl-Chinatown	Crystal City	3.88	2.35
Gallery Pl-Chinatown	Ronald Reagan Washington National Airport	4.22	2.50
Gallery Pl-Chinatown	Potomac Yard	5.72	3.10
Gallery Pl-Chinatown	Braddock Road	7.12	3.65
Gallery Pl-Chinatown	King St-Old Town	7.75	3.90
Gallery Pl-Chinatown	Eisenhower Avenue	8.40	4.15
Gallery Pl-Chinatown	Huntington	8.91	4.35
Gallery Pl-Chinatown	Federal Triangle	0.50	2.00
Gallery Pl-Chinatown	Smithsonian	0.86	2.00
Gallery Pl-Chinatown	L'Enfant Plaza	0.91	2.00
Gallery Pl-Chinatown	Federal Center SW	1.11	2.00
Gallery Pl-Chinatown	Capitol South	1.56	2.00
Gallery Pl-Chinatown	Eastern Market	2.01	2.00
Gallery Pl-Chinatown	Potomac Ave	2.62	2.00
Gallery Pl-Chinatown	Stadium-Armory	3.10	2.05
Gallery Pl-Chinatown	Minnesota Ave	4.91	2.75
Gallery Pl-Chinatown	Deanwood	5.69	3.10
Gallery Pl-Chinatown	Cheverly	6.81	3.50
Gallery Pl-Chinatown	Landover	8.55	4.20
Gallery Pl-Chinatown	New Carrollton	9.94	4.80
Gallery Pl-Chinatown	Mt Vernon Sq 7th St-Convention Center	0.57	2.00
Gallery Pl-Chinatown	Shaw-Howard U	1.04	2.00
Gallery Pl-Chinatown	U Street/African-Amer Civil War Memorial/Cardozo	1.42	2.00
Gallery Pl-Chinatown	Columbia Heights	2.25	2.00
Gallery Pl-Chinatown	Georgia Ave-Petworth	3.00	2.00
Gallery Pl-Chinatown	West Hyattsville	5.85	3.15
Gallery Pl-Chinatown	Hyattsville Crossing	6.97	3.60
Gallery Pl-Chinatown	College Park-U of Md	8.78	4.30
Gallery Pl-Chinatown	Greenbelt	11.18	5.25
Gallery Pl-Chinatown	Archives-Navy Memorial-Penn Quarter	0.36	2.00
Gallery Pl-Chinatown	Waterfront	1.62	2.00
Gallery Pl-Chinatown	Navy Yard-Ballpark	2.04	2.00
Gallery Pl-Chinatown	Anacostia	3.16	2.05
Gallery Pl-Chinatown	Congress Heights	4.44	2.60
Gallery Pl-Chinatown	Southern Avenue	5.28	2.90
Gallery Pl-Chinatown	Naylor Road	5.96	3.20
Gallery Pl-Chinatown	Suitland	7.31	3.70
Gallery Pl-Chinatown	Branch Ave	9.01	4.40
Gallery Pl-Chinatown	Benning Road	5.36	2.95
Gallery Pl-Chinatown	Capitol Heights	6.82	3.55
Gallery Pl-Chinatown	Addison Road-Seat Pleasant	7.80	3.90
Gallery Pl-Chinatown	Morgan Boulevard	9.26	4.50
Gallery Pl-Chinatown	Downtown Largo	10.57	5.05
Gallery Pl-Chinatown	Van Dorn Street	10.81	5.10
Gallery Pl-Chinatown	Franconia-Springfield	14.12	6.00
Gallery Pl-Chinatown	Court House	3.79	2.30
Gallery Pl-Chinatown	Clarendon	4.29	2.50
Gallery Pl-Chinatown	Virginia Square-GMU	4.75	2.70
Gallery Pl-Chinatown	Ballston-MU	5.30	2.90
Gallery Pl-Chinatown	East Falls Church	7.69	3.90
Gallery Pl-Chinatown	West Falls Church	9.57	4.65
Gallery Pl-Chinatown	Dunn Loring-Merrifield	11.82	5.55
Gallery Pl-Chinatown	Vienna/Fairfax-GMU	14.30	6.00
Gallery Pl-Chinatown	McLean	11.52	5.40
Gallery Pl-Chinatown	Tysons	12.12	5.65
Gallery Pl-Chinatown	Greensboro	12.83	5.95
Gallery Pl-Chinatown	Spring Hill	13.42	6.00
Gallery Pl-Chinatown	Wiehle-Reston East	19.07	6.00
Gallery Pl-Chinatown	Reston Town Center	20.19	6.00
Gallery Pl-Chinatown	Herndon	21.53	6.00
Gallery Pl-Chinatown	Innovation Center	23.24	6.00
Gallery Pl-Chinatown	Washington Dulles International Airport	25.12	6.00
Gallery Pl-Chinatown	Loudoun Gateway	27.15	6.00
Gallery Pl-Chinatown	Ashburn	29.06	6.00
