Start	Destination	Distance_mi	Fare_USD
Georgia Ave-Petworth	Metro Center	3.15	2.05
Georgia Ave-Petworth	Farragut North	3.45	2.20
Georgia Ave-Petworth	Dupont Circle	3.54	2.20
Georgia Ave-Petworth	Woodley Park-Zoo/Adams Morgan	3.93	2.35
Georgia Ave-Petworth	Cleveland Park	4.34	2.55
Georgia Ave-Petworth	Van Ness-UDC	4.80	2.70
Georgia Ave-Petworth	Tenleytown-AU	5.83	3.15
Georgia Ave-Petworth	Friendship Heights	6.48	3.40
Georgia Ave-Petworth	Bethesda	7.98	4.00
Georgia Ave-Petworth	Medical Center	8.92	4.35
Georgia Ave-Petworth	Grosvenor-Strathmore	11.02	5.20
Georgia Ave-Petworth	North Bethesda	12.39	5.75
Georgia Ave-Petworth	Twinbrook	13.47	6.00
Georgia Ave-Petworth	Rockville	15.46	6.00
Georgia Ave-Petworth	Shady Grove	18.11	6.00
Georgia Ave-Petworth	Gallery Pl-Chinatown	3.00	2.00
Georgia Ave-Petworth	Judiciary Square	3.28	2.10
Georgia Ave-Petworth	Union Station	3.61	2.25
Georgia Ave-Petworth	Rhode Island Ave-Brentwood	2.84	2.00
Georgia Ave-Petworth	Brookland-CUA	2.26	2.00
Georgia Ave-Petworth	Fort Totten	1.53	2.00
Georgia Ave-Petworth	Takoma	3.09	2.05
Georgia Ave-Petworth	Silver Spring	4.41	2.55
Georgia Ave-Petworth	Forest Glen	6.02	3.20
Georgia Ave-Petworth	Wheaton	7.63	3.85
Georgia Ave-Petworth	Glenmont	9.35	4.55
Georgia Ave-Petworth	NoMa-Gallaudet U	3.63	2.25
Georgia Ave-Petworth	McPherson Square	3.30	2.10
Georgia Ave-Petworth	Farragut West	3.54	2.20
Georgia Ave-Petworth	Foggy Bottom-GWU	3.93	2.35
Georgia Ave-Petworth	Rosslyn	5.06	2.80
Georgia Ave-Petworth	Arlington Cemetery	5.72	3.10
Georgia Ave-Petworth	Pentagon	5.77	3.10
Georgia Ave-Petworth	Pentagon City	6.36	3.35
Georgia Ave-Petworth	Crystal City	6.78	3.50
Georgia Ave-Petworth	Ronald Reagan Washington National Airport	7.17	3.65
Georgia Ave-Petworth	Potomac Yard	8.68	4.25
Georgia Ave-Petworth	Braddock Road	10.08	4.85
Georgia Ave-Petworth	King St-Old Town	10.70	5.10
Georgia Ave-Petworth	Eisenhower Avenue	11.32	5.35
Georgia Ave-Petworth	Huntington	11.83	5.55
Georgia Ave-Petworth	Federal Triangle	3.46	2.20
Georgia Ave-Petworth	Smithsonian	3.83	2.35
Georgia Ave-Petworth	L'Enfant Plaza	3.92	2.35
Georgia Ave-Petworth	Federal Center SW	4.10	2.45
Georgia Ave-Petworth	Capitol South	4.44	2.60
Georgia Ave-Petworth	Eastern Market	4.79	2.70
Georgia Ave-Petworth	Potomac Ave	5.33	2.95
Georgia Ave-Petworth	Stadium-Armory	5.63	3.05
Georgia Ave-Petworth	Minnesota Ave	6.99	3.60
Georgia Ave-Petworth	Deanwood	7.57	3.85
Georgia Ave-Petworth	Cheverly	8.53	4.20
Georgia Ave-Petworth	Landover	10.05	4.80
Georgia Ave-Petworth	New Carrollton	11.31	5.30
Georgia Ave-Petworth	Mt Vernon Sq 7th St-Convention Center	2.44	2.00
Georgia Ave-Petworth	Shaw-Howard U	1.96	2.00
Georgia Ave-Petworth	U Street/African-Amer Civil War Memorial/Cardozo	1.61	2.00
Georgia Ave-Petworth	Columbia Heights	0.87	2.00
Georgia Ave-Petworth	West Hyattsville	3.36	2.15
Georgia Ave-Petworth	Hyattsville Crossing	4.46	2.60
Georgia Ave-Petworth	College Park-U of Md	6.32	3.35
Georgia Ave-Petworth	Greenbelt	8.57	4.25
