Start	Destination	Distance_mi	Fare_USD
Glenmont	Metro Center	12.46	5.80
Glenmont	Farragut North	12.66	5.85
Glenmont	Dupont Circle	12.67	5.85
Glenmont	Woodley Park-Zoo/Adams Morgan	12.73	5.90
Glenmont	Cleveland Park	12.76	5.90
Glenmont	Van Ness-UDC	12.79	5.90
Glenmont	Tenleytown-AU	13.21	6.00
Glenmont	Friendship Heights	13.27	6.00
Glenmont	Bethesda	13.41	6.00
Glenmont	Medical Center	13.50	6.00
Glenmont	Grosvenor-Strathmore	13.90	6.00
Glenmont	North Bethesda	14.50	6.00
Glenmont	Twinbrook	15.21	6.00
Glenmont	Rockville	17.01	6.00
Glenmont	Shady Grove	19.33	6.00
Glenmont	Gallery Pl-Chinatown	12.34	5.75
Glenmont	Judiciary Square	12.29	5.70
Glenmont	Union Station	11.97	5.60
Glenmont	Rhode Island Ave-Brentwood	10.39	4.95
Glenmont	Brookland-CUA	9.58	4.65
Glenmont	Fort Totten	8.22	4.10
Glenmont	Takoma	6.34	3.35
Glenmont	Silver Spring	4.95	2.80
Glenmont	Forest Glen	3.33	2.15
Glenmont	Wheaton	1.72	2.00
Glenmont	NoMa-Gallaudet U	11.35	5.35
Glenmont	McPherson Square	12.57	5.85
Glenmont	Farragut West	12.74	5.90
Glenmont	Foggy Bottom-GWU	13.02	6.00
Glenmont	Rosslyn	13.86	6.00
Glenmont	Arlington Cemetery	14.71	6.00
Glenmont	Pentagon	14.90	6.00
Glenmont	Pentagon City	15.46	6.00
Glenmont	Crystal City	15.96	6.00
Glenmont	Ronald Reagan Washington National Airport	16.39	6.00
Glenmont	Potomac Yard	17.90	6.00
Glenmont	Braddock Road	19.27	6.00
Glenmont	King St-Old Town	19.86	6.00
Glenmont	Eisenhower Avenue	20.43	6.00
Glenmont	Huntington	20.93	6.00
Glenmont	Federal Triangle	12.76	5.90
Glenmont	Smithsonian	13.13	6.00
Glenmont	L'Enfant Plaza	13.25	6.00
Glenmont	Federal Center SW	13.44	6.00
Glenmont	Capitol South	13.78	6.00
Glenmont	Eastern Market	14.11	6.00
Glenmont	Potomac Ave	14.61	6.00
Glenmont	Stadium-Armory	14.84	6.00
Glenmont	Minnesota Ave	15.82	6.00
Glenmont	Deanwood	16.14	6.00
Glenmont	Cheverly	16.76	6.00
Glenmont	Landover	17.68	6.00
Glenmont	New Carrollton	18.45	6.00
Glenmont	Mt Vernon Sq 7th St-Convention Center	11.78	5.50
Glenmont	Shaw-Howard U	11.30	5.30
Glenmont	U Street/African-Amer Civil War Memorial/Cardozo	10.92	5.15
Glenmont	Columbia Heights	10.09	4.85
Glenmont	Georgia Ave-Petworth	9.35	4.55
Glenmont	West Hyattsville	9.49	4.60
Glenmont	Hyattsville Crossing	10.04	4.80
Glenmont	College Park-U of Md	11.22	5.30
Glenmont	Greenbelt	12.22	5.70
Glenmont	Archives-Navy Memorial-Penn Quarter	12.69	5.90
Glenmont	Waterfront	13.96	6.00
Glenmont	Navy Yard-Ballpark	14.33	6.00
Glenmont	Anacostia	15.42	6.00
Glenmont	Congress Heights	16.70	6.00
Glenmont	Southern Avenue	17.47	6.00
Glenmont	Naylor Road	17.92	6.00
Glenmont	Suitland	19.08	6.00
Glenmont	Branch Ave	20.74	6.00
Glenmont	Benning Road	16.39	6.00
Glenmont	Capitol Heights	17.54	6.00
Glenmont	Addison Road-Seat Pleasant	18.38	6.00
Glenmont	Morgan Boulevard	19.39	6.00
Glenmont	Downtown Largo	20.34	6.00
Glenmont	Van Dorn Street	22.25	6.00
Glenmont	Franconia-Springfield	25.38	6.00
Glenmont	Court House	14.66	6.00
Glenmont	Clarendon	15.07	6.00
Glenmont	Virginia Square-GMU	15.45	6.00
Glenmont	Ballston-MU	15.84	6.00
Glenmont	East Falls Church	17.36	6.00
Glenmont	West Falls Church	18.37	6.00
Glenmont	Dunn Loring-Merrifield	20.64	6.00
Glenmont	Vienna/Fairfax-GMU	22.83	6.00
Glenmont	McLean	19.37	6.00
Glenmont	Tysons	19.99	6.00
Glenmont	Greensboro	20.58	6.00
Glenmont	Spring Hill	20.89	6.00
Glenmont	Wiehle-Reston East	25.65	6.00
Glenmont	Reston Town Center	26.62	6.00
Glenmont	Herndon	27.91	6.00
Glenmont	Innovation Center	29.42	6.00
Glenmont	Washington Dulles International Airport	31.36	6.00
Glenmont	Loudoun Gateway	32.78	6.00
Glenmont	Ashburn	34.49	6.00
