Start	Destination	Distance_mi	Fare_USD
Greenbelt	Metro Center	11.43	5.35
Greenbelt	Farragut North	11.90	5.55
Greenbelt	Dupont Circle	12.06	5.60
Greenbelt	Woodley Park-Zoo/Adams Morgan	12.49	5.80
Greenbelt	Cleveland Park	12.77	5.90
Greenbelt	Van Ness-UDC	13.05	6.00
Greenbelt	Tenleytown-AU	13.91	6.00
Greenbelt	Friendship Heights	14.29	6.00
Greenbelt	Bethesda	15.14	6.00
Greenbelt	Medical Center	15.68	6.00
Greenbelt	Grosvenor-Strathmore	17.02	6.00
Greenbelt	North Bethesda	18.06	6.00
Greenbelt	Twinbrook	18.96	6.00
Greenbelt	Rockville	20.84	6.00
Greenbelt	Shady Grove	23.16	6.00
Greenbelt	Gallery Pl-Chinatown	11.18	5.25
Greenbelt	Judiciary Square	11.01	5.20
Greenbelt	Union Station	10.51	5.00
Greenbelt	Rhode Island Ave-Brentwood	8.79	4.30
Greenbelt	Brookland-CUA	8.01	4.00
Greenbelt	Fort Totten	7.04	3.60
Greenbelt	Takoma	7.90	3.95
Greenbelt	Silver Spring	8.77	4.30
Greenbelt	Forest Glen	9.88	4.75
Greenbelt	Wheaton	10.98	5.20
Greenbelt	Glenmont	12.22	5.70
Greenbelt	NoMa-Gallaudet U	9.85	4.75
Greenbelt	McPherson Square	11.66	5.45
Greenbelt	Farragut West	11.98	5.60
Greenbelt	Foggy Bottom-GWU	12.44	5.80
Greenbelt	Rosslyn	13.62	6.00
Greenbelt	Arlington Cemetery	14.22	6.00
Greenbelt	Pentagon	14.12	6.00
Greenbelt	Pentagon City	14.72	6.00
Greenbelt	Crystal City	15.05	6.00
Greenbelt	Ronald Reagan Washington National Airport	15.35	6.00
Greenbelt	Potomac Yard	16.79	6.00
Greenbelt	Braddock Road	18.17	6.00
Greenbelt	King St-Old Town	18.82	6.00
Greenbelt	Eisenhower Avenue	19.50	6.00
Greenbelt	Huntington	20.01	6.00
Greenbelt	Federal Triangle	11.70	5.50
Greenbelt	Smithsonian	12.04	5.60
Greenbelt	L'Enfant Plaza	12.01	5.60
Greenbelt	Federal Center SW	12.08	5.65
Greenbelt	Capitol South	12.22	5.70
Greenbelt	Eastern Market	12.37	5.75
Greenbelt	Potomac Ave	12.67	5.85
Greenbelt	Stadium-Armory	12.75	5.90
Greenbelt	Minnesota Ave	13.14	6.00
Greenbelt	Deanwood	13.21	6.00
Greenbelt	Cheverly	13.45	6.00
Greenbelt	Landover	13.83	6.00
Greenbelt	New Carrollton	14.25	6.00
Greenbelt	Mt Vernon Sq 7th St-Convention Center	10.67	5.05
Greenbelt	Shaw-Howard U	10.25	4.90
Greenbelt	U Street/African-Amer Civil War Memorial/Cardozo	10.03	4.80
Greenbelt	Columbia Heights	9.43	4.55
Greenbelt	Georgia Ave-Petworth	8.57	4.25
Greenbelt	West Hyattsville	5.33	2.95
Greenbelt	Hyattsville Crossing	4.21	2.50
Greenbelt	College Park-U of Md	2.45	2.00
Greenbelt	Archives-Navy Memorial-Penn Quarter	11.50	5.40
Greenbelt	Waterfront	12.59	5.85
Greenbelt	Navy Yard-Ballpark	12.75	5.90
Greenbelt	Anacostia	13.62	6.00
Greenbelt	Congress Heights	14.76	6.00
Greenbelt	Southern Avenue	15.33	6.00
Greenbelt	Naylor Road	15.49	6.00
Greenbelt	Suitland	16.33	6.00
Greenbelt	Branch Ave	17.78	6.00
Greenbelt	Benning Road	13.59	6.00
Greenbelt	Capitol Heights	14.32	6.00
Greenbelt	Addison Road-Seat Pleasant	14.93	6.00
Greenbelt	Morgan Boulevard	15.59	6.00
Greenbelt	Downtown Largo	16.28	6.00
Greenbelt	Van Dorn Street	21.99	6.00
Greenbelt	Franconia-Springfield	25.30	6.00
Greenbelt	Court House	14.63	6.00
Greenbelt	Clarendon	15.13	6.00
Greenbelt	Virginia Square-GMU	15.59	6.00
Greenbelt	Ballston-MU	16.11	6.00
Greenbelt	East Falls Church	18.23	6.00
Greenbelt	West Falls Church	19.76	6.00
Greenbelt	Dunn Loring-Merrifield	22.14	6.00
Greenbelt	Vienna/Fairfax-GMU	24.58	6.00
Greenbelt	McLean	21.26	6.00
Greenbelt	Tysons	21.91	6.00
Greenbelt	Greensboro	22.59	6.00
Greenbelt	Spring Hill	23.05	6.00
Greenbelt	Wiehle-Reston East	28.38	6.00
Greenbelt	Reston Town Center	29.44	6.00
Greenbelt	Herndon	30.78	6.00
Greenbelt	Innovation Center	32.41	6.00
Greenbelt	Washington Dulles International Airport	34.35	6.00
Greenbelt	Loudoun Gateway	36.01	6.00
Greenbelt	Ashburn	37.80	6.00
