Start	Destination	Distance_mi	Fare_USD
Greensboro	Metro Center	12.55	5.80
Greensboro	Farragut North	12.61	5.85
Greensboro	Dupont Circle	12.74	5.90
Greensboro	Woodley Park-Zoo/Adams Morgan	13.08	6.00
Greensboro	Cleveland Park	13.31	6.00
Greensboro	Van Ness-UDC	13.53	6.00
Greensboro	Tenleytown-AU	13.68	6.00
Greensboro	Friendship Heights	14.02	6.00
Greensboro	Bethesda	15.00	6.00
Greensboro	Medical Center	15.73	6.00
Greensboro	Grosvenor-Strathmore	17.43	6.00
Greensboro	North Bethesda	18.46	6.00
Greensboro	Twinbrook	19.30	6.00
Greensboro	Rockville	20.65	6.00
Greensboro	Shady Grove	23.00	6.00
Greensboro	Gallery Pl-Chinatown	12.83	5.95
Greensboro	Judiciary Square	13.19	6.00
Greensboro	Union Station	13.76	6.00
Greensboro	Rhode Island Ave-Brentwood	14.89	6.00
Greensboro	Brookland-CUA	15.37	6.00
Greensboro	Fort Totten	15.84	6.00
Greensboro	Takoma	16.60	6.00
Greensboro	Silver Spring	17.20	6.00
Greensboro	Forest Glen	18.11	6.00
Greensboro	Wheaton	19.21	6.00
Greensboro	Glenmont	20.58	6.00
Greensboro	NoMa-Gallaudet U	14.17	6.00
Greensboro	McPherson Square	12.16	5.65
Greensboro	Farragut West	11.79	5.50
Greensboro	Foggy Bottom-GWU	11.27	5.30
Greensboro	Rosslyn	10.08	4.85
Greensboro	Arlington Cemetery	10.84	5.15
Greensboro	Pentagon	11.90	5.55
Greensboro	Pentagon City	12.17	5.65
Greensboro	Crystal City	12.81	5.90
Greensboro	Ronald Reagan Washington National Airport	13.30	6.00
Greensboro	Potomac Yard	14.39	6.00
Greensboro	Braddock Road	15.31	6.00
Greensboro	King St-Old Town	15.64	6.00
Greensboro	Eisenhower Avenue	15.94	6.00
Greensboro	Huntington	16.28	6.00
Greensboro	Federal Triangle	12.72	5.90
Greensboro	Smithsonian	12.93	5.95
Greensboro	L'Enfant Plaza	13.38	6.00
Greensboro	Federal Center SW	13.70	6.00
Greensboro	Capitol South	14.28	6.00
Greensboro	Eastern Market	14.78	6.00
Greensboro	Potomac Ave	15.39	6.00
Greensboro	Stadium-Armory	15.93	6.00
Greensboro	Minnesota Ave	17.73	6.00
Greensboro	Deanwood	18.46	6.00
Greensboro	Cheverly	19.53	6.00
Greensboro	Landover	21.14	6.00
Greensboro	New Carrollton	22.42	6.00
Greensboro	Mt Vernon Sq 7th St-Convention Center	13.11	6.00
Greensboro	Shaw-Howard U	13.33	6.00
Greensboro	U Street/African-Amer Civil War Memorial/Cardozo	13.41	6.00
Greensboro	Columbia Heights	13.73	6.00
Greensboro	Georgia Ave-Petworth	14.44	6.00
Greensboro	West Hyattsville	17.74	6.00
Greensboro	Hyattsville Crossing	18.78	6.00
Greensboro	College Park-U of Md	20.60	6.00
Greensboro	Greenbelt	22.59	6.00
Greensboro	Archives-Navy Memorial-Penn Quarter	13.06	6.00
Greensboro	Waterfront	13.96	6.00
Greensboro	Navy Yard-Ballpark	14.58	6.00
Greensboro	Anacostia	15.56	6.00
Greensboro	Congress Heights	16.59	6.00
Greensboro	Southern Avenue	17.51	6.00
Greensboro	Naylor Road	18.49	6.00
Greensboro	Suitland	19.89	6.00
Greensboro	Branch Ave	21.49	6.00
Greensboro	Benning Road	18.21	6.00
Greensboro	Capitol Heights	19.67	6.00
Greensboro	Addison Road-Seat Pleasant	20.64	6.00
Greensboro	Morgan Boulevard	22.09	6.00
Greensboro	Downtown Largo	23.38	6.00
Greensboro	Van Dorn Street	16.51	6.00
Greensboro	Franconia-Springfield	18.84	6.00
Greensboro	Court House	9.15	4.45
Greensboro	Clarendon	8.72	4.30
Greensboro	Virginia Square-GMU	8.33	4.15
Greensboro	Ballston-MU	7.80	3.90
Greensboro	East Falls Church	5.44	3.00
Greensboro	West Falls Church	5.47	3.00
Greensboro	Dunn Loring-Merrifield	6.58	3.45
Greensboro	Vienna/Fairfax-GMU	8.34	4.15
Greensboro	McLean	1.34	2.00
Greensboro	Tysons	0.71	2.00
Greensboro	Spring Hill	0.69	2.00
Greensboro	Wiehle-Reston East	6.27	3.30
Greensboro	Reston Town Center	7.39	3.75
Greensboro	Herndon	8.72	4.30
Greensboro	Innovation Center	10.43	4.95
Greensboro	Washington Dulles International Airport	12.29	5.70
Greensboro	Loudoun Gateway	14.42	6.00
Greensboro	Ashburn	16.34	6.00
