Start	Destination	Distance_mi	Fare_USD
Grosvenor-Strathmore	Metro Center	10.34	4.95
Grosvenor-Strathmore	Farragut North	9.67	4.65
Grosvenor-Strathmore	Dupont Circle	9.16	4.45
Grosvenor-Strathmore	Woodley Park-Zoo/Adams Morgan	7.97	4.00
Grosvenor-Strathmore	Cleveland Park	7.26	3.70
Grosvenor-Strathmore	Van Ness-UDC	6.63	3.45
Grosvenor-Strathmore	Tenleytown-AU	5.76	3.10
Grosvenor-Strathmore	Friendship Heights	4.99	2.80
Grosvenor-Strathmore	Bethesda	3.27	2.10
Grosvenor-Strathmore	Medical Center	2.23	2.00
Grosvenor-Strathmore	North Bethesda	1.38	2.00
Grosvenor-Strathmore	Twinbrook	2.48	2.00
Grosvenor-Strathmore	Rockville	4.45	2.60
Grosvenor-Strathmore	Shady Grove	7.10	3.65
Grosvenor-Strathmore	Gallery Pl-Chinatown	10.54	5.00
Grosvenor-Strathmore	Judiciary Square	10.86	5.15
Grosvenor-Strathmore	Union Station	11.27	5.30
Grosvenor-Strathmore	Rhode Island Ave-Brentwood	11.64	5.45
Grosvenor-Strathmore	Brookland-CUA	11.77	5.50
Grosvenor-Strathmore	Fort Totten	11.78	5.50
Grosvenor-Strathmore	Takoma	11.87	5.55
Grosvenor-Strathmore	Silver Spring	11.94	5.60
Grosvenor-Strathmore	Forest Glen	12.18	5.65
Grosvenor-Strathmore	Wheaton	12.74	5.90
Grosvenor-Strathmore	Glenmont	13.90	6.00
Grosvenor-Strathmore	NoMa-Gallaudet U	11.39	5.35
Grosvenor-Strathmore	McPherson Square	10.41	4.95
Grosvenor-Strathmore	Farragut West	10.53	5.00
Grosvenor-Strathmore	Foggy Bottom-GWU	10.72	5.10
Grosvenor-Strathmore	Rosslyn	11.41	5.35
Grosvenor-Strathmore	Arlington Cemetery	12.30	5.70
Grosvenor-Strathmore	Pentagon	12.81	5.90
Grosvenor-Strathmore	Pentagon City	13.33	6.00
Grosvenor-Strathmore	Crystal City	13.88	6.00
Grosvenor-Strathmore	Ronald Reagan Washington National Airport	14.35	6.00
Grosvenor-Strathmore	Potomac Yard	15.82	6.00
Grosvenor-Strathmore	Braddock Road	17.14	6.00
Grosvenor-Strathmore	King St-Old Town	17.69	6.00
Grosvenor-Strathmore	Eisenhower Avenue	18.22	6.00
Grosvenor-Strathmore	Huntington	18.70	6.00
Grosvenor-Strathmore	Federal Triangle	10.63	5.05
Grosvenor-Strathmore	Smithsonian	10.98	5.20
Grosvenor-Strathmore	L'Enfant Plaza	11.41	5.35
Grosvenor-Strathmore	Federal Center SW	11.64	5.45
Grosvenor-Strathmore	Capitol South	12.06	5.60
Grosvenor-Strathmore	Eastern Market	12.45	5.80
Grosvenor-Strathmore	Potomac Ave	13.01	6.00
Grosvenor-Strathmore	Stadium-Armory	13.32	6.00
Grosvenor-Strathmore	Minnesota Ave	14.56	6.00
Grosvenor-Strathmore	Deanwood	15.00	6.00
Grosvenor-Strathmore	Cheverly	15.78	6.00
Grosvenor-Strathmore	Landover	16.94	6.00
Grosvenor-Strathmore	New Carrollton	17.90	6.00
Grosvenor-Strathmore	Mt Vernon Sq 7th St-Convention Center	10.58	5.05
Grosvenor-Strathmore	Shaw-Howard U	10.61	5.05
Grosvenor-Strathmore	U Street/African-Amer Civil War Memorial/Cardozo	10.67	5.05
Grosvenor-Strathmore	Columbia Heights	10.73	5.10
Grosvenor-Strathmore	Georgia Ave-Petworth	11.02	5.20
Grosvenor-Strathmore	West Hyattsville	13.38	6.00
Grosvenor-Strathmore	Hyattsville Crossing	14.13	6.00
Grosvenor-Strathmore	College Park-U of Md	15.61	6.00
Grosvenor-Strathmore	Greenbelt	17.02	6.00
Grosvenor-Strathmore	Archives-Navy Memorial-Penn Quarter	10.89	5.15
Grosvenor-Strathmore	Waterfront	12.12	5.65
Grosvenor-Strathmore	Navy Yard-Ballpark	12.57	5.85
Grosvenor-Strathmore	Anacostia	13.69	6.00
Grosvenor-Strathmore	Congress Heights	14.97	6.00
Grosvenor-Strathmore	Southern Avenue	15.80	6.00
Grosvenor-Strathmore	Naylor Road	16.38	6.00
Grosvenor-Strathmore	Suitland	17.65	6.00
Grosvenor-Strathmore	Branch Ave	19.35	6.00
Grosvenor-Strathmore	Benning Road	15.14	6.00
Grosvenor-Strathmore	Capitol Heights	16.42	6.00
Grosvenor-Strathmore	Addison Road-Seat Pleasant	17.33	6.00
Grosvenor-Strathmore	Morgan Boulevard	18.50	6.00
Grosvenor-Strathmore	Downtown Largo	19.57	6.00
Grosvenor-Strathmore	Van Dorn Street	19.80	6.00
Grosvenor-Strathmore	Franconia-Springfield	22.84	6.00
Grosvenor-Strathmore	Court House	12.09	5.65
Grosvenor-Strathmore	Clarendon	12.45	5.80
Grosvenor-Strathmore	Virginia Square-GMU	12.79	5.90
Grosvenor-Strathmore	Ballston-MU	13.12	6.00
Grosvenor-Strathmore	East Falls Church	14.43	6.00
Grosvenor-Strathmore	West Falls Church	15.31	6.00
Grosvenor-Strathmore	Dunn Loring-Merrifield	17.54	6.00
Grosvenor-Strathmore	Vienna/Fairfax-GMU	19.69	6.00
Grosvenor-Strathmore	McLean	16.23	6.00
Grosvenor-Strathmore	Tysons	16.84	6.00
Grosvenor-Strathmore	Greensboro	17.43	6.00
Grosvenor-Strathmore	Spring Hill	17.72	6.00
Grosvenor-Strathmore	Wiehle-Reston East	22.52	6.00
Grosvenor-Strathmore	Reston Town Center	23.52	6.00
Grosvenor-Strathmore	Herndon	24.82	6.00
Grosvenor-Strathmore	Innovation Center	26.37	6.00
Grosvenor-Strathmore	Washington Dulles International Airport	28.32	6.00
Grosvenor-Strathmore	Loudoun Gateway	29.83	6.00
Grosvenor-Strathmore	Ashburn	31.58	6.00
