Start	Destination	Distance_mi	Fare_USD
Herndon	Metro Center	21.25	6.00
Herndon	Farragut North	21.30	6.00
Herndon	Dupont Circle	21.41	6.00
Herndon	Woodley Park-Zoo/Adams Morgan	21.70	6.00
Herndon	Cleveland Park	21.87	6.00
Herndon	Van Ness-UDC	22.04	6.00
Herndon	Tenleytown-AU	22.14	6.00
Herndon	Friendship Heights	22.39	6.00
Herndon	Bethesda	23.08	6.00
Herndon	Medical Center	23.61	6.00
Herndon	Grosvenor-Strathmore	24.82	6.00
Herndon	North Bethesda	25.53	6.00
Herndon	Twinbrook	26.11	6.00
Herndon	Rockville	26.93	6.00
Herndon	Shady Grove	28.67	6.00
Herndon	Gallery Pl-Chinatown	21.53	6.00
Herndon	Judiciary Square	21.89	6.00
Herndon	Union Station	22.45	6.00
Herndon	Rhode Island Ave-Brentwood	23.51	6.00
Herndon	Brookland-CUA	23.95	6.00
Herndon	Fort Totten	24.33	6.00
Herndon	Takoma	24.90	6.00
Herndon	Silver Spring	25.33	6.00
Herndon	Forest Glen	26.00	6.00
Herndon	Wheaton	26.82	6.00
Herndon	Glenmont	27.91	6.00
Herndon	NoMa-Gallaudet U	22.84	6.00
Herndon	McPherson Square	20.86	6.00
Herndon	Farragut West	20.48	6.00
Herndon	Foggy Bottom-GWU	19.97	6.00
Herndon	Rosslyn	18.79	6.00
Herndon	Arlington Cemetery	19.56	6.00
Herndon	Pentagon	20.61	6.00
Herndon	Pentagon City	20.86	6.00
Herndon	Crystal City	21.49	6.00
Herndon	Ronald Reagan Washington National Airport	21.99	6.00
Herndon	Potomac Yard	23.01	6.00
Herndon	Braddock Road	23.84	6.00
Herndon	King St-Old Town	24.12	6.00
Herndon	Eisenhower Avenue	24.35	6.00
Herndon	Huntington	24.64	6.00
Herndon	Federal Triangle	21.42	6.00
Herndon	Smithsonian	21.64	6.00
Herndon	L'Enfant Plaza	22.09	6.00
Herndon	Federal Center SW	22.42	6.00
Herndon	Capitol South	22.99	6.00
Herndon	Eastern Market	23.49	6.00
Herndon	Potomac Ave	24.10	6.00
Herndon	Stadium-Armory	24.63	6.00
Herndon	Minnesota Ave	26.41	6.00
Herndon	Deanwood	27.12	6.00
Herndon	Cheverly	28.16	6.00
Herndon	Landover	29.72	6.00
Herndon	New Carrollton	30.95	6.00
Herndon	Mt Vernon Sq 7th St-Convention Center	21.78	6.00
Herndon	Shaw-Howard U	21.99	6.00
Herndon	U Street/African-Amer Civil War Memorial/Cardozo	22.06	6.00
Herndon	Columbia Heights	22.34	6.00
Herndon	Georgia Ave-Petworth	23.00	6.00
Herndon	West Hyattsville	26.22	6.00
Herndon	Hyattsville Crossing	27.21	6.00
Herndon	College Park-U of Md	28.97	6.00
Herndon	Greenbelt	30.78	6.00
Herndon	Archives-Navy Memorial-Penn Quarter	21.76	6.00
Herndon	Waterfront	22.68	6.00
Herndon	Navy Yard-Ballpark	23.30	6.00
Herndon	Anacostia	24.27	6.00
Herndon	Congress Heights	25.29	6.00
Herndon	Southern Avenue	26.21	6.00
Herndon	Naylor Road	27.20	6.00
Herndon	Suitland	28.60	6.00
Herndon	Branch Ave	30.20	6.00
Herndon	Benning Road	26.90	6.00
Herndon	Capitol Heights	28.35	6.00
Herndon	Addison Road-Seat Pleasant	29.33	6.00
Herndon	Morgan Boulevard	30.76	6.00
Herndon	Downtown Largo	32.04	6.00
Herndon	Van Dorn Street	24.64	6.00
Herndon	Franconia-Springfield	26.41	6.00
Herndon	Court House	17.87	6.00
Herndon	Clarendon	17.43	6.00
Herndon	Virginia Square-GMU	17.03	6.00
Herndon	Ballston-MU	16.50	6.00
Herndon	East Falls Church	14.10	6.00
Herndon	West Falls Church	14.15	6.00
Herndon	Dunn Loring-Merrifield	14.65	6.00
Herndon	Vienna/Fairfax-GMU	15.01	6.00
Herndon	McLean	10.01	4.80
Herndon	Tysons	9.42	4.55
Herndon	Greensboro	8.72	4.30
Herndon	Spring Hill	8.11	4.05
Herndon	Wiehle-Reston East	2.46	2.00
Herndon	Reston Town Center	1.35	2.00
Herndon	Innovation Center	1.72	2.00
Herndon	Washington Dulles International Airport	3.60	2.25
Herndon	Loudoun Gateway	5.78	3.10
Herndon	Ashburn	7.71	3.90
