Start	Destination	Distance_mi	Fare_USD
Huntington	Metro Center	8.98	4.40
Huntington	Farragut North	9.45	4.60
Huntington	Dupont Circle	9.91	4.75
Huntington	Woodley Park-Zoo/Adams Morgan	10.99	5.20
Huntington	Cleveland Park	11.65	5.45
Huntington	Van Ness-UDC	12.24	5.70
Huntington	Tenleytown-AU	12.98	6.00
Huntington	Friendship Heights	13.74	6.00
Huntington	Bethesda	15.43	6.00
Huntington	Medical Center	16.48	6.00
Huntington	Grosvenor-Strathmore	18.70	6.00
Huntington	North Bethesda	20.06	6.00
Huntington	Twinbrook	21.13	6.00
Huntington	Rockville	22.98	6.00
Huntington	Shady Grove	25.62	6.00
Huntington	Gallery Pl-Chinatown	8.91	4.35
Huntington	Judiciary Square	9.09	4.45
Huntington	Union Station	9.56	4.60
Huntington	Rhode Island Ave-Brentwood	11.30	5.30
Huntington	Brookland-CUA	12.12	5.65
Huntington	Fort Totten	13.27	6.00
Huntington	Takoma	14.90	6.00
Huntington	Silver Spring	16.14	6.00
Huntington	Forest Glen	17.66	6.00
Huntington	Wheaton	19.22	6.00
Huntington	Glenmont	20.93	6.00
Huntington	NoMa-Gallaudet U	10.23	4.90
Huntington	McPherson Square	9.26	4.50
Huntington	Farragut West	9.30	4.50
Huntington	Foggy Bottom-GWU	8.96	4.40
Huntington	Rosslyn	8.07	4.05
Huntington	Arlington Cemetery	7.22	3.70
Huntington	Pentagon	6.08	3.25
Huntington	Pentagon City	5.49	3.00
Huntington	Crystal City	5.05	2.80
Huntington	Ronald Reagan Washington National Airport	4.69	2.70
Huntington	Potomac Yard	3.22	2.10
Huntington	Braddock Road	1.85	2.00
Huntington	King St-Old Town	1.20	2.00
Huntington	Eisenhower Avenue	0.52	2.00
Huntington	Federal Triangle	8.69	4.30
Huntington	Smithsonian	8.32	4.15
Huntington	L'Enfant Plaza	8.04	4.00
Huntington	Federal Center SW	8.27	4.10
Huntington	Capitol South	8.70	4.30
Huntington	Eastern Market	9.08	4.45
Huntington	Potomac Ave	9.46	4.60
Huntington	Stadium-Armory	10.11	4.85
Huntington	Minnesota Ave	12.02	5.60
Huntington	Deanwood	12.91	5.95
Huntington	Cheverly	14.05	6.00
Huntington	Landover	15.86	6.00
Huntington	New Carrollton	17.30	6.00
Huntington	Mt Vernon Sq 7th St-Convention Center	9.46	4.60
Huntington	Shaw-Howard U	9.93	4.75
Huntington	U Street/African-Amer Civil War Memorial/Cardozo	10.23	4.90
Huntington	Columbia Heights	10.99	5.20
Huntington	Georgia Ave-Petworth	11.83	5.55
Huntington	West Hyattsville	14.72	6.00
Huntington	Hyattsville Crossing	15.83	6.00
Huntington	College Park-U of Md	17.58	6.00
Huntington	Greenbelt	20.01	6.00
Huntington	Archives-Navy Memorial-Penn Quarter	8.57	4.25
Huntington	Waterfront	8.22	4.10
Huntington	Navy Yard-Ballpark	8.70	4.30
Huntington	Anacostia	9.09	4.45
Huntington	Congress Heights	9.47	4.60
Huntington	Southern Avenue	10.20	4.90
Huntington	Naylor Road	11.44	5.40
Huntington	Suitland	12.62	5.85
Huntington	Branch Ave	13.82	6.00
Huntington	Benning Road	12.21	5.70
Huntington	Capitol Heights	13.46	6.00
Huntington	Addison Road-Seat Pleasant	14.30	6.00
Huntington	Morgan Boulevard	15.80	6.00
Huntington	Downtown Largo	17.13	6.00
Huntington	Van Dorn Street	4.00	2.40
Huntington	Franconia-Springfield	6.98	3.60
Huntington	Court House	8.43	4.15
Huntington	Clarendon	8.60	4.25
Huntington	Virginia Square-GMU	8.76	4.30
Huntington	Ballston-MU	9.08	4.45
Huntington	East Falls Church	10.98	5.20
Huntington	West Falls Church	12.94	6.00
Huntington	Dunn Loring-Merrifield	14.48	6.00
Huntington	Vienna/Fairfax-GMU	16.64	6.00
Huntington	McLean	15.23	6.00
Huntington	Tysons	15.66	6.00
Huntington	Greensboro	16.28	6.00
Huntington	Spring Hill	16.96	6.00
Huntington	Wiehle-Reston East	22.31	6.00
Huntington	Reston Town Center	23.41	6.00
Huntington	Herndon	24.64	6.00
Huntington	Innovation Center	26.33	6.00
Huntington	Washington Dulles International Airport	28.05	6.00
Huntington	Loudoun Gateway	30.42	6.00
Huntington	Ashburn	32.34	6.00
