Start	Destination	Distance_mi	Fare_USD
Hyattsville Crossing	Metro Center	7.22	3.70
Hyattsville Crossing	Farragut North	7.71	3.90
Hyattsville Crossing	Dupont Circle	7.89	3.95
Hyattsville Crossing	Woodley Park-Zoo/Adams Morgan	8.39	4.15
Hyattsville Crossing	Cleveland Park	8.74	4.30
Hyattsville Crossing	Van Ness-UDC	9.09	4.45
Hyattsville Crossing	Tenleytown-AU	10.05	4.80
Hyattsville Crossing	Friendship Heights	10.54	5.00
Hyattsville Crossing	Bethesda	11.68	5.45
Hyattsville Crossing	Medical Center	12.40	5.75
Hyattsville Crossing	Grosvenor-Strathmore	14.13	6.00
Hyattsville Crossing	North Bethesda	15.37	6.00
Hyattsville Crossing	Twinbrook	16.39	6.00
Hyattsville Crossing	Rockville	18.38	6.00
Hyattsville Crossing	Shady Grove	20.90	6.00
Hyattsville Crossing	Gallery Pl-Chinatown	6.97	3.60
Hyattsville Crossing	Judiciary Square	6.81	3.50
Hyattsville Crossing	Union Station	6.31	3.30
Hyattsville Crossing	Rhode Island Ave-Brentwood	4.59	2.65
Hyattsville Crossing	Brookland-CUA	3.80	2.30
Hyattsville Crossing	Fort Totten	2.96	2.00
Hyattsville Crossing	Takoma	4.27	2.50
Hyattsville Crossing	Silver Spring	5.52	3.00
Hyattsville Crossing	Forest Glen	7.01	3.60
Hyattsville Crossing	Wheaton	8.47	4.20
Hyattsville Crossing	Glenmont	10.04	4.80
Hyattsville Crossing	NoMa-Gallaudet U	5.65	3.05
Hyattsville Crossing	McPherson Square	7.47	3.80
Hyattsville Crossing	Farragut West	7.79	3.90
Hyattsville Crossing	Foggy Bottom-GWU	8.26	4.10
Hyattsville Crossing	Rosslyn	9.45	4.60
Hyattsville Crossing	Arlington Cemetery	10.02	4.80
Hyattsville Crossing	Pentagon	9.92	4.75
Hyattsville Crossing	Pentagon City	10.51	5.00
Hyattsville Crossing	Crystal City	10.85	5.15
Hyattsville Crossing	Ronald Reagan Washington National Airport	11.15	5.25
Hyattsville Crossing	Potomac Yard	12.61	5.85
Hyattsville Crossing	Braddock Road	13.99	6.00
Hyattsville Crossing	King St-Old Town	14.64	6.00
Hyattsville Crossing	Eisenhower Avenue	15.31	6.00
Hyattsville Crossing	Huntington	15.83	6.00
Hyattsville Crossing	Federal Triangle	7.49	3.80
Hyattsville Crossing	Smithsonian	7.84	3.95
Hyattsville Crossing	L'Enfant Plaza	7.81	3.90
Hyattsville Crossing	Federal Center SW	7.89	3.95
Hyattsville Crossing	Capitol South	8.04	4.00
Hyattsville Crossing	Eastern Market	8.22	4.10
Hyattsville Crossing	Potomac Ave	8.55	4.20
Hyattsville Crossing	Stadium-Armory	8.66	4.25
Hyattsville Crossing	Minnesota Ave	9.25	4.50
Hyattsville Crossing	Deanwood	9.44	4.60
Hyattsville Crossing	Cheverly	9.97	4.80
Hyattsville Crossing	Landover	10.96	5.20
Hyattsville Crossing	New Carrollton	11.97	5.60
Hyattsville Crossing	Mt Vernon Sq 7th St-Convention Center	6.47	3.40
Hyattsville Crossing	Shaw-Howard U	6.06	3.20
Hyattsville Crossing	U Street/African-Amer Civil War Memorial/Cardozo	5.85	3.15
Hyattsville Crossing	Columbia Heights	5.29	2.90
Hyattsville Crossing	Georgia Ave-Petworth	4.46	2.60
Hyattsville Crossing	West Hyattsville	1.13	2.00
Hyattsville Crossing	College Park-U of Md	1.86	2.00
Hyattsville Crossing	Greenbelt	4.21	2.50
Hyattsville Crossing	Archives-Navy Memorial-Penn Quarter	7.29	3.70
Hyattsville Crossing	Waterfront	8.40	4.15
Hyattsville Crossing	Navy Yard-Ballpark	8.58	4.25
Hyattsville Crossing	Anacostia	9.50	4.60
Hyattsville Crossing	Congress Heights	10.69	5.10
Hyattsville Crossing	Southern Avenue	11.32	5.35
Hyattsville Crossing	Naylor Road	11.56	5.40
Hyattsville Crossing	Suitland	12.56	5.80
Hyattsville Crossing	Branch Ave	14.14	6.00
Hyattsville Crossing	Benning Road	9.78	4.70
Hyattsville Crossing	Capitol Heights	10.79	5.10
Hyattsville Crossing	Addison Road-Seat Pleasant	11.59	5.45
Hyattsville Crossing	Morgan Boulevard	12.60	5.85
Hyattsville Crossing	Downtown Largo	13.61	6.00
Hyattsville Crossing	Van Dorn Street	17.78	6.00
Hyattsville Crossing	Franconia-Springfield	21.09	6.00
Hyattsville Crossing	Court House	10.47	5.00
Hyattsville Crossing	Clarendon	10.98	5.20
Hyattsville Crossing	Virginia Square-GMU	11.45	5.40
Hyattsville Crossing	Ballston-MU	11.98	5.60
Hyattsville Crossing	East Falls Church	14.17	6.00
Hyattsville Crossing	West Falls Church	15.81	6.00
Hyattsville Crossing	Dunn Loring-Merrifield	18.17	6.00
Hyattsville Crossing	Vienna/Fairfax-GMU	20.64	6.00
Hyattsville Crossing	McLean	17.44	6.00
Hyattsville Crossing	Tysons	18.08	6.00
Hyattsville Crossing	Greensboro	18.78	6.00
Hyattsville Crossing	Spring Hill	19.28	6.00
Hyattsville Crossing	Wiehle-Reston East	24.77	6.00
Hyattsville Crossing	Reston Town Center	25.86	6.00
Hyattsville Crossing	Herndon	27.21	6.00
Hyattsville Crossing	Innovation Center	28.87	6.00
Hyattsville Crossing	Washington Dulles International Airport	30.80	6.00
Hyattsville Crossing	Loudoun Gateway	32.60	6.00
Hyattsville Crossing	Ashburn	34.44	6.00
