Start	Destination	Distance_mi	Fare_USD
Innovation Center	Metro Center	22.96	6.00
Innovation Center	Farragut North	23.01	6.00
Innovation Center	Dupont Circle	23.12	6.00
Innovation Center	Woodley Park-Zoo/Adams Morgan	23.39	6.00
Innovation Center	Cleveland Park	23.57	6.00
Innovation Center	Van Ness-UDC	23.73	6.00
Innovation Center	Tenleytown-AU	23.82	6.00
Innovation Center	Friendship Heights	24.06	6.00
Innovation Center	Bethesda	24.72	6.00
Innovation Center	Medical Center	25.22	6.00
Innovation Center	Grosvenor-Strathmore	26.37	6.00
Innovation Center	North Bethesda	27.04	6.00
Innovation Center	Twinbrook	27.58	6.00
Innovation Center	Rockville	28.32	6.00
Innovation Center	Shady Grove	29.95	6.00
Innovation Center	Gallery Pl-Chinatown	23.24	6.00
Innovation Center	Judiciary Square	23.60	6.00
Innovation Center	Union Station	24.16	6.00
Innovation Center	Rhode Island Ave-Brentwood	25.21	6.00
Innovation Center	Brookland-CUA	25.64	6.00
Innovation Center	Fort Totten	26.00	6.00
Innovation Center	Takoma	26.56	6.00
Innovation Center	Silver Spring	26.96	6.00
Innovation Center	Forest Glen	27.60	6.00
Innovation Center	Wheaton	28.38	6.00
Innovation Center	Glenmont	29.42	6.00
Innovation Center	NoMa-Gallaudet U	24.55	6.00
Innovation Center	McPherson Square	22.57	6.00
Innovation Center	Farragut West	22.19	6.00
Innovation Center	Foggy Bottom-GWU	21.68	6.00
Innovation Center	Rosslyn	20.51	6.00
Innovation Center	Arlington Cemetery	21.27	6.00
Innovation Center	Pentagon	22.32	6.00
Innovation Center	Pentagon City	22.57	6.00
Innovation Center	Crystal City	23.21	6.00
Innovation Center	Ronald Reagan Washington National Airport	23.70	6.00
Innovation Center	Potomac Yard	24.72	6.00
Innovation Center	Braddock Road	25.54	6.00
Innovation Center	King St-Old Town	25.82	6.00
Innovation Center	Eisenhower Avenue	26.04	6.00
Innovation Center	Huntington	26.33	6.00
Innovation Center	Federal Triangle	23.14	6.00
Innovation Center	Smithsonian	23.36	6.00
Innovation Center	L'Enfant Plaza	23.80	6.00
Innovation Center	Federal Center SW	24.13	6.00
Innovation Center	Capitol South	24.70	6.00
Innovation Center	Eastern Market	25.20	6.00
Innovation Center	Potomac Ave	25.81	6.00
Innovation Center	Stadium-Armory	26.34	6.00
Innovation Center	Minnesota Ave	28.12	6.00
Innovation Center	Deanwood	28.82	6.00
Innovation Center	Cheverly	29.86	6.00
Innovation Center	Landover	31.40	6.00
Innovation Center	New Carrollton	32.62	6.00
Innovation Center	Mt Vernon Sq 7th St-Convention Center	23.49	6.00
Innovation Center	Shaw-Howard U	23.69	6.00
Innovation Center	U Street/African-Amer Civil War Memorial/Cardozo	23.76	6.00
Innovation Center	Columbia Heights	24.03	6.00
Innovation Center	Georgia Ave-Petworth	24.69	6.00
Innovation Center	West Hyattsville	27.89	6.00
Innovation Center	Hyattsville Crossing	28.87	6.00
Innovation Center	College Park-U of Md	30.62	6.00
Innovation Center	Greenbelt	32.41	6.00
Innovation Center	Archives-Navy Memorial-Penn Quarter	23.48	6.00
Innovation Center	Waterfront	24.39	6.00
Innovation Center	Navy Yard-Ballpark	25.01	6.00
Innovation Center	Anacostia	25.99	6.00
Innovation Center	Congress Heights	27.01	6.00
Innovation Center	Southern Avenue	27.93	6.00
Innovation Center	Naylor Road	28.92	6.00
Innovation Center	Suitland	30.32	6.00
Innovation Center	Branch Ave	31.92	6.00
Innovation Center	Benning Road	28.61	6.00
Innovation Center	Capitol Heights	30.06	6.00
Innovation Center	Addison Road-Seat Pleasant	31.04	6.00
Innovation Center	Morgan Boulevard	32.47	6.00
Innovation Center	Downtown Largo	33.74	6.00
Innovation Center	Van Dorn Street	26.32	6.00
Innovation Center	Franconia-Springfield	28.03	6.00
Innovation Center	Court House	19.58	6.00
Innovation Center	Clarendon	19.15	6.00
Innovation Center	Virginia Square-GMU	18.75	6.00
Innovation Center	Ballston-MU	18.22	6.00
Innovation Center	East Falls Church	15.82	6.00
Innovation Center	West Falls Church	15.86	6.00
Innovation Center	Dunn Loring-Merrifield	16.35	6.00
Innovation Center	Vienna/Fairfax-GMU	16.68	6.00
Innovation Center	McLean	11.72	5.50
Innovation Center	Tysons	11.14	5.25
Innovation Center	Greensboro	10.43	4.95
Innovation Center	Spring Hill	9.82	4.75
Innovation Center	Wiehle-Reston East	4.17	2.45
Innovation Center	Reston Town Center	3.05	2.00
Innovation Center	Herndon	1.72	2.00
Innovation Center	Washington Dulles International Airport	1.94	2.00
Innovation Center	Loudoun Gateway	4.11	2.45
Innovation Center	Ashburn	6.02	3.20
