Start	Destination	Distance_mi	Fare_USD
Judiciary Square	Metro Center	0.64	2.00
Judiciary Square	Farragut North	1.38	2.00
Judiciary Square	Dupont Circle	1.84	2.00
Judiciary Square	Woodley Park-Zoo/Adams Morgan	2.98	2.00
Judiciary Square	Cleveland Park	3.67	2.25
Judiciary Square	Van Ness-UDC	4.29	2.50
Judiciary Square	Tenleytown-AU	5.28	2.90
Judiciary Square	Friendship Heights	6.04	3.20
Judiciary Square	Bethesda	7.70	3.90
Judiciary Square	Medical Center	8.70	4.30
Judiciary Square	Grosvenor-Strathmore	10.86	5.15
Judiciary Square	North Bethesda	12.24	5.70
Judiciary Square	Twinbrook	13.34	6.00
Judiciary Square	Rockville	15.31	6.00
Judiciary Square	Shady Grove	17.97	6.00
Judiciary Square	Gallery Pl-Chinatown	0.36	2.00
Judiciary Square	Union Station	0.58	2.00
Judiciary Square	Rhode Island Ave-Brentwood	2.22	2.00
Judiciary Square	Brookland-CUA	3.04	2.00
Judiciary Square	Fort Totten	4.26	2.50
Judiciary Square	Takoma	6.01	3.20
Judiciary Square	Silver Spring	7.35	3.75
Judiciary Square	Forest Glen	8.96	4.40
Judiciary Square	Wheaton	10.57	5.05
Judiciary Square	Glenmont	12.29	5.70
Judiciary Square	NoMa-Gallaudet U	1.17	2.00
Judiciary Square	McPherson Square	1.04	2.00
Judiciary Square	Farragut West	1.41	2.00
Judiciary Square	Foggy Bottom-GWU	1.92	2.00
Judiciary Square	Rosslyn	3.13	2.05
Judiciary Square	Arlington Cemetery	3.45	2.20
Judiciary Square	Pentagon	3.18	2.05
Judiciary Square	Pentagon City	3.76	2.30
Judiciary Square	Crystal City	4.08	2.45
Judiciary Square	Ronald Reagan Washington National Airport	4.40	2.55
Judiciary Square	Potomac Yard	5.88	3.15
Judiciary Square	Braddock Road	7.28	3.70
Judiciary Square	King St-Old Town	7.91	3.95
Judiciary Square	Eisenhower Avenue	8.57	4.25
Judiciary Square	Huntington	9.09	4.45
Judiciary Square	Federal Triangle	0.79	2.00
Judiciary Square	Smithsonian	1.08	2.00
Judiciary Square	L'Enfant Plaza	1.05	2.00
Judiciary Square	Federal Center SW	1.20	2.00
Judiciary Square	Capitol South	1.59	2.00
Judiciary Square	Eastern Market	2.04	2.00
Judiciary Square	Potomac Ave	2.65	2.00
Judiciary Square	Stadium-Armory	3.14	2.05
Judiciary Square	Minnesota Ave	4.96	2.80
Judiciary Square	Deanwood	5.75	3.10
Judiciary Square	Cheverly	6.88	3.55
Judiciary Square	Landover	8.63	4.25
Judiciary Square	New Carrollton	10.03	4.80
Judiciary Square	Mt Vernon Sq 7th St-Convention Center	0.85	2.00
Judiciary Square	Shaw-Howard U	1.32	2.00
Judiciary Square	U Street/African-Amer Civil War Memorial/Cardozo	1.72	2.00
Judiciary Square	Columbia Heights	2.56	2.00
Judiciary Square	Georgia Ave-Petworth	3.28	2.10
Judiciary Square	West Hyattsville	5.69	3.10
Judiciary Square	Hyattsville Crossing	6.81	3.50
Judiciary Square	College Park-U of Md	8.61	4.25
Judiciary Square	Greenbelt	11.01	5.20
Judiciary Square	Archives-Navy Memorial-Penn Quarter	0.54	2.00
Judiciary Square	Waterfront	1.72	2.00
Judiciary Square	Navy Yard-Ballpark	2.10	2.00
Judiciary Square	Anacostia	3.22	2.10
Judiciary Square	Congress Heights	4.50	2.60
Judiciary Square	Southern Avenue	5.33	2.95
Judiciary Square	Naylor Road	5.99	3.20
Judiciary Square	Suitland	7.35	3.75
Judiciary Square	Branch Ave	9.04	4.40
Judiciary Square	Benning Road	5.41	2.95
Judiciary Square	Capitol Heights	6.87	3.55
Judiciary Square	Addison Road-Seat Pleasant	7.84	3.95
Judiciary Square	Morgan Boulevard	9.31	4.50
Judiciary Square	Downtown Largo	10.62	5.05
Judiciary Square	Van Dorn Street	11.03	5.20
Judiciary Square	Franconia-Springfield	14.34	6.00
Judiciary Square	Court House	4.13	2.45
Judiciary Square	Clarendon	4.62	2.65
Judiciary Square	Virginia Square-GMU	5.07	2.85
Judiciary Square	Ballston-MU	5.63	3.05
Judiciary Square	East Falls Church	8.03	4.00
Judiciary Square	West Falls Church	9.92	4.75
Judiciary Square	Dunn Loring-Merrifield	12.16	5.65
Judiciary Square	Vienna/Fairfax-GMU	14.64	6.00
Judiciary Square	McLean	11.88	5.55
Judiciary Square	Tysons	12.48	5.80
Judiciary Square	Greensboro	13.19	6.00
Judiciary Square	Spring Hill	13.78	6.00
Judiciary Square	Wiehle-Reston East	19.43	6.00
Judiciary Square	Reston Town Center	20.55	6.00
Judiciary Square	Herndon	21.89	6.00
Judiciary Square	Innovation Center	23.60	6.00
Judiciary Square	Washington Dulles International Airport	25.48	6.00
Judiciary Square	Loudoun Gateway	27.52	6.00
Judiciary Square	Ashburn	29.42	6.00
