Start	Destination	Distance_mi	Fare_USD
L'Enfant Plaza	Metro Center	1.07	2.00
L'Enfant Plaza	Farragut North	1.77	2.00
L'Enfant Plaza	Dupont Circle	2.28	2.00
L'Enfant Plaza	Woodley Park-Zoo/Adams Morgan	3.46	2.20
L'Enfant Plaza	Cleveland Park	4.17	2.45
L'Enfant Plaza	Van Ness-UDC	4.80	2.70
L'Enfant Plaza	Tenleytown-AU	5.75	3.10
L'Enfant Plaza	Friendship Heights	6.52	3.40
L'Enfant Plaza	Bethesda	8.21	4.10
L'Enfant Plaza	Medical Center	9.23	4.50
L'Enfant Plaza	Grosvenor-Strathmore	11.41	5.35
L'Enfant Plaza	North Bethesda	12.80	5.90
L'Enfant Plaza	Twinbrook	13.89	6.00
L'Enfant Plaza	Rockville	15.85	6.00
L'Enfant Plaza	Shady Grove	18.51	6.00
L'Enfant Plaza	Gallery Pl-Chinatown	0.91	2.00
L'Enfant Plaza	Judiciary Square	1.05	2.00
L'Enfant Plaza	Union Station	1.55	2.00
L'Enfant Plaza	Rhode Island Ave-Brentwood	3.26	2.10
L'Enfant Plaza	Brookland-CUA	4.09	2.45
L'Enfant Plaza	Fort Totten	5.26	2.90
L'Enfant Plaza	Takoma	7.00	3.60
L'Enfant Plaza	Silver Spring	8.32	4.15
L'Enfant Plaza	Forest Glen	9.92	4.75
L'Enfant Plaza	Wheaton	11.52	5.40
L'Enfant Plaza	Glenmont	13.25	6.00
L'Enfant Plaza	NoMa-Gallaudet U	2.20	2.00
L'Enfant Plaza	McPherson Square	1.46	2.00
L'Enfant Plaza	Farragut West	1.76	2.00
L'Enfant Plaza	Foggy Bottom-GWU	2.20	2.00
L'Enfant Plaza	Rosslyn	3.30	2.10
L'Enfant Plaza	Arlington Cemetery	2.93	2.00
L'Enfant Plaza	Pentagon	2.19	2.00
L'Enfant Plaza	Pentagon City	2.76	2.00
L'Enfant Plaza	Crystal City	3.05	2.00
L'Enfant Plaza	Ronald Reagan Washington National Airport	3.35	2.15
L'Enfant Plaza	Potomac Yard	4.83	2.75
L'Enfant Plaza	Braddock Road	6.23	3.30
L'Enfant Plaza	King St-Old Town	6.86	3.55
L'Enfant Plaza	Eisenhower Avenue	7.52	3.80
L'Enfant Plaza	Huntington	8.04	4.00
L'Enfant Plaza	Federal Triangle	0.79	2.00
L'Enfant Plaza	Smithsonian	0.46	2.00
L'Enfant Plaza	Federal Center SW	0.33	2.00
L'Enfant Plaza	Capitol South	0.91	2.00
L'Enfant Plaza	Eastern Market	1.41	2.00
L'Enfant Plaza	Potomac Ave	2.01	2.00
L'Enfant Plaza	Stadium-Armory	2.59	2.00
L'Enfant Plaza	Minnesota Ave	4.52	2.60
L'Enfant Plaza	Deanwood	5.35	2.95
L'Enfant Plaza	Cheverly	6.50	3.40
L'Enfant Plaza	Landover	8.27	4.10
L'Enfant Plaza	New Carrollton	9.69	4.70
L'Enfant Plaza	Mt Vernon Sq 7th St-Convention Center	1.48	2.00
L'Enfant Plaza	Shaw-Howard U	1.96	2.00
L'Enfant Plaza	U Street/African-Amer Civil War Memorial/Cardozo	2.33	2.00
L'Enfant Plaza	Columbia Heights	3.16	2.05
L'Enfant Plaza	Georgia Ave-Petworth	3.92	2.35
L'Enfant Plaza	West Hyattsville	6.69	3.50
L'Enfant Plaza	Hyattsville Crossing	7.81	3.90
L'Enfant Plaza	College Park-U of Md	9.59	4.65
L'Enfant Plaza	Greenbelt	12.01	5.60
L'Enfant Plaza	Archives-Navy Memorial-Penn Quarter	0.56	2.00
L'Enfant Plaza	Waterfront	0.72	2.00
L'Enfant Plaza	Navy Yard-Ballpark	1.24	2.00
L'Enfant Plaza	Anacostia	2.34	2.00
L'Enfant Plaza	Congress Heights	3.58	2.25
L'Enfant Plaza	Southern Avenue	4.45	2.60
L'Enfant Plaza	Naylor Road	5.22	2.90
L'Enfant Plaza	Suitland	6.60	3.45
L'Enfant Plaza	Branch Ave	8.27	4.10
L'Enfant Plaza	Benning Road	4.91	2.75
L'Enfant Plaza	Capitol Heights	6.36	3.35
L'Enfant Plaza	Addison Road-Seat Pleasant	7.33	3.75
L'Enfant Plaza	Morgan Boulevard	8.82	4.35
L'Enfant Plaza	Downtown Largo	10.14	4.85
L'Enfant Plaza	Van Dorn Street	10.02	4.80
L'Enfant Plaza	Franconia-Springfield	13.33	6.00
L'Enfant Plaza	Court House	4.24	2.50
L'Enfant Plaza	Clarendon	4.71	2.70
L'Enfant Plaza	Virginia Square-GMU	5.15	2.85
L'Enfant Plaza	Ballston-MU	5.71	3.10
L'Enfant Plaza	East Falls Church	8.13	4.05
L'Enfant Plaza	West Falls Church	10.07	4.85
L'Enfant Plaza	Dunn Loring-Merrifield	12.26	5.70
L'Enfant Plaza	Vienna/Fairfax-GMU	14.73	6.00
L'Enfant Plaza	McLean	12.09	5.65
L'Enfant Plaza	Tysons	12.67	5.85
L'Enfant Plaza	Greensboro	13.38	6.00
L'Enfant Plaza	Spring Hill	13.99	6.00
L'Enfant Plaza	Wiehle-Reston East	19.64	6.00
L'Enfant Plaza	Reston Town Center	20.76	6.00
L'Enfant Plaza	Herndon	22.09	6.00
L'Enfant Plaza	Innovation Center	23.80	6.00
L'Enfant Plaza	Washington Dulles International Airport	25.67	6.00
L'Enfant Plaza	Loudoun Gateway	27.75	6.00
L'Enfant Plaza	Ashburn	29.66	6.00
