Start	Destination	Distance_mi	Fare_USD
Landover	Metro Center	8.84	4.35
Landover	Farragut North	9.48	4.60
Landover	Dupont Circle	9.79	4.70
Landover	Woodley Park-Zoo/Adams Morgan	10.56	5.00
Landover	Cleveland Park	11.05	5.20
Landover	Van Ness-UDC	11.50	5.40
Landover	Tenleytown-AU	12.52	5.80
Landover	Friendship Heights	13.10	6.00
Landover	Bethesda	14.39	6.00
Landover	Medical Center	15.16	6.00
Landover	Grosvenor-Strathmore	16.94	6.00
Landover	North Bethesda	18.18	6.00
Landover	Twinbrook	19.19	6.00
Landover	Rockville	21.18	6.00
Landover	Shady Grove	23.68	6.00
Landover	Gallery Pl-Chinatown	8.55	4.20
Landover	Judiciary Square	8.63	4.25
Landover	Union Station	8.70	4.30
Landover	Rhode Island Ave-Brentwood	9.06	4.40
Landover	Brookland-CUA	9.42	4.55
Landover	Fort Totten	10.35	4.95
Landover	Takoma	11.94	5.60
Landover	Silver Spring	13.24	6.00
Landover	Forest Glen	14.73	6.00
Landover	Wheaton	16.16	6.00
Landover	Glenmont	17.68	6.00
Landover	NoMa-Gallaudet U	8.83	4.35
Landover	McPherson Square	9.17	4.45
Landover	Farragut West	9.54	4.60
Landover	Foggy Bottom-GWU	10.06	4.80
Landover	Rosslyn	11.31	5.30
Landover	Arlington Cemetery	11.12	5.25
Landover	Pentagon	10.44	5.00
Landover	Pentagon City	11.00	5.20
Landover	Crystal City	11.22	5.30
Landover	Ronald Reagan Washington National Airport	11.43	5.35
Landover	Potomac Yard	12.71	5.90
Landover	Braddock Road	14.01	6.00
Landover	King St-Old Town	14.66	6.00
Landover	Eisenhower Avenue	15.36	6.00
Landover	Huntington	15.86	6.00
Landover	Federal Triangle	8.74	4.30
Landover	Smithsonian	8.63	4.25
Landover	L'Enfant Plaza	8.27	4.10
Landover	Federal Center SW	7.95	4.00
Landover	Capitol South	7.41	3.75
Landover	Eastern Market	6.94	3.60
Landover	Potomac Ave	6.46	3.40
Landover	Stadium-Armory	5.81	3.10
Landover	Minnesota Ave	3.85	2.35
Landover	Deanwood	2.97	2.00
Landover	Cheverly	1.81	2.00
Landover	New Carrollton	1.45	2.00
Landover	Mt Vernon Sq 7th St-Convention Center	8.75	4.30
Landover	Shaw-Howard U	8.93	4.35
Landover	U Street/African-Amer Civil War Memorial/Cardozo	9.30	4.50
Landover	Columbia Heights	9.84	4.75
Landover	Georgia Ave-Petworth	10.05	4.80
Landover	West Hyattsville	10.50	5.00
Landover	Hyattsville Crossing	10.96	5.20
Landover	College Park-U of Md	11.71	5.50
Landover	Greenbelt	13.83	6.00
Landover	Archives-Navy Memorial-Penn Quarter	8.43	4.15
Landover	Waterfront	8.69	4.30
Landover	Navy Yard-Ballpark	8.74	4.30
Landover	Anacostia	9.38	4.55
Landover	Congress Heights	10.32	4.95
Landover	Southern Avenue	10.75	5.10
Landover	Naylor Road	10.81	5.10
Landover	Suitland	11.45	5.40
Landover	Branch Ave	12.78	5.90
Landover	Benning Road	6.21	3.30
Landover	Capitol Heights	6.62	3.45
Landover	Addison Road-Seat Pleasant	7.11	3.65
Landover	Morgan Boulevard	7.76	3.90
Landover	Downtown Largo	8.64	4.25
Landover	Van Dorn Street	18.15	6.00
Landover	Franconia-Springfield	21.44	6.00
Landover	Court House	12.33	5.75
Landover	Clarendon	12.83	5.95
Landover	Virginia Square-GMU	13.29	6.00
Landover	Ballston-MU	13.85	6.00
Landover	East Falls Church	16.20	6.00
Landover	West Falls Church	18.00	6.00
Landover	Dunn Loring-Merrifield	20.31	6.00
Landover	Vienna/Fairfax-GMU	22.79	6.00
Landover	McLean	19.80	6.00
Landover	Tysons	20.43	6.00
Landover	Greensboro	21.14	6.00
Landover	Spring Hill	21.68	6.00
Landover	Wiehle-Reston East	27.26	6.00
Landover	Reston Town Center	28.37	6.00
Landover	Herndon	29.72	6.00
Landover	Innovation Center	31.40	6.00
Landover	Washington Dulles International Airport	33.32	6.00
Landover	Loudoun Gateway	35.20	6.00
Landover	Ashburn	37.07	6.00
