Start	Destination	Distance_mi	Fare_USD
Loudoun Gateway	Metro Center	26.88	6.00
Loudoun Gateway	Farragut North	26.92	6.00
Loudoun Gateway	Dupont Circle	27.02	6.00
Loudoun Gateway	Woodley Park-Zoo/Adams Morgan	27.25	6.00
Loudoun Gateway	Cleveland Park	27.40	6.00
Loudoun Gateway	Van Ness-UDC	27.54	6.00
Loudoun Gateway	Tenleytown-AU	27.62	6.00
Loudoun Gateway	Friendship Heights	27.82	6.00
Loudoun Gateway	Bethesda	28.39	6.00
Loudoun Gateway	Medical Center	28.82	6.00
Loudoun Gateway	Grosvenor-Strathmore	29.83	6.00
Loudoun Gateway	North Bethesda	30.39	6.00
Loudoun Gateway	Twinbrook	30.85	6.00
Loudoun Gateway	Rockville	31.44	6.00
Loudoun Gateway	Shady Grove	32.84	6.00
Loudoun Gateway	Gallery Pl-Chinatown	27.15	6.00
Loudoun Gateway	Judiciary Square	27.52	6.00
Loudoun Gateway	Union Station	28.07	6.00
Loudoun Gateway	Rhode Island Ave-Brentwood	29.07	6.00
Loudoun Gateway	Brookland-CUA	29.46	6.00
Loudoun Gateway	Fort Totten	29.77	6.00
Loudoun Gateway	Takoma	30.25	6.00
Loudoun Gateway	Silver Spring	30.60	6.00
Loudoun Gateway	Forest Glen	31.15	6.00
Loudoun Gateway	Wheaton	31.84	6.00
Loudoun Gateway	Glenmont	32.78	6.00
Loudoun Gateway	NoMa-Gallaudet U	28.44	6.00
Loudoun Gateway	McPherson Square	26.48	6.00
Loudoun Gateway	Farragut West	26.11	6.00
Loudoun Gateway	Foggy Bottom-GWU	25.60	6.00
Loudoun Gateway	Rosslyn	24.45	6.00
Loudoun Gateway	Arlington Cemetery	25.24	6.00
Loudoun Gateway	Pentagon	26.31	6.00
Loudoun Gateway	Pentagon City	26.58	6.00
Loudoun Gateway	Crystal City	27.22	6.00
Loudoun Gateway	Ronald Reagan Washington National Airport	27.72	6.00
Loudoun Gateway	Potomac Yard	28.76	6.00
Loudoun Gateway	Braddock Road	29.61	6.00
Loudoun Gateway	King St-Old Town	29.90	6.00
Loudoun Gateway	Eisenhower Avenue	30.13	6.00
Loudoun Gateway	Huntington	30.42	6.00
Loudoun Gateway	Federal Triangle	27.06	6.00
Loudoun Gateway	Smithsonian	27.30	6.00
Loudoun Gateway	L'Enfant Plaza	27.75	6.00
Loudoun Gateway	Federal Center SW	28.07	6.00
Loudoun Gateway	Capitol South	28.64	6.00
Loudoun Gateway	Eastern Market	29.13	6.00
Loudoun Gateway	Potomac Ave	29.75	6.00
Loudoun Gateway	Stadium-Armory	30.27	6.00
Loudoun Gateway	Minnesota Ave	32.00	6.00
Loudoun Gateway	Deanwood	32.68	6.00
Loudoun Gateway	Cheverly	33.70	6.00
Loudoun Gateway	Landover	35.20	6.00
Loudoun Gateway	New Carrollton	36.39	6.00
Loudoun Gateway	Mt Vernon Sq 7th St-Convention Center	27.39	6.00
Loudoun Gateway	Shaw-Howard U	27.57	6.00
Loudoun Gateway	U Street/African-Amer Civil War Memorial/Cardozo	27.64	6.00
Loudoun Gateway	Columbia Heights	27.88	6.00
Loudoun Gateway	Georgia Ave-Petworth	28.51	6.00
Loudoun Gateway	West Hyattsville	31.65	6.00
Loudoun Gateway	Hyattsville Crossing	32.60	6.00
Loudoun Gateway	College Park-U of Md	34.31	6.00
Loudoun Gateway	Greenbelt	36.01	6.00
Loudoun Gateway	Archives-Navy Memorial-Penn Quarter	27.40	6.00
Loudoun Gateway	Waterfront	28.35	6.00
Loudoun Gateway	Navy Yard-Ballpark	28.97	6.00
Loudoun Gateway	Anacostia	29.96	6.00
Loudoun Gateway	Congress Heights	31.01	6.00
Loudoun Gateway	Southern Avenue	31.93	6.00
Loudoun Gateway	Naylor Road	32.90	6.00
Loudoun Gateway	Suitland	34.30	6.00
Loudoun Gateway	Branch Ave	35.91	6.00
Loudoun Gateway	Benning Road	32.51	6.00
Loudoun Gateway	Capitol Heights	33.96	6.00
Loudoun Gateway	Addison Road-Seat Pleasant	34.93	6.00
Loudoun Gateway	Morgan Boulevard	36.34	6.00
Loudoun Gateway	Downtown Largo	37.59	6.00
Loudoun Gateway	Van Dorn Street	30.42	6.00
Loudoun Gateway	Franconia-Springfield	32.14	6.00
Loudoun Gateway	Court House	23.55	6.00
Loudoun Gateway	Clarendon	23.12	6.00
Loudoun Gateway	Virginia Square-GMU	22.74	6.00
Loudoun Gateway	Ballston-MU	22.22	6.00
Loudoun Gateway	East Falls Church	19.84	6.00
Loudoun Gateway	West Falls Church	19.87	6.00
Loudoun Gateway	Dunn Loring-Merrifield	20.43	6.00
Loudoun Gateway	Vienna/Fairfax-GMU	20.78	6.00
Loudoun Gateway	McLean	15.67	6.00
Loudoun Gateway	Tysons	15.11	6.00
Loudoun Gateway	Greensboro	14.42	6.00
Loudoun Gateway	Spring Hill	13.78	6.00
Loudoun Gateway	Wiehle-Reston East	8.16	4.05
Loudoun Gateway	Reston Town Center	7.04	3.60
Loudoun Gateway	Herndon	5.78	3.10
Loudoun Gateway	Innovation Center	4.11	2.45
Loudoun Gateway	Washington Dulles International Airport	2.73	2.00
Loudoun Gateway	Ashburn	1.93	2.00
