Start	Destination	Distance_mi	Fare_USD
McLean	Metro Center	11.24	5.30
McLean	Farragut North	11.30	5.30
McLean	Dupont Circle	11.42	5.35
McLean	Woodley Park-Zoo/Adams Morgan	11.74	5.50
McLean	Cleveland Park	11.96	5.60
McLean	Van Ness-UDC	12.18	5.65
McLean	Tenleytown-AU	12.33	5.75
McLean	Friendship Heights	12.69	5.90
McLean	Bethesda	13.71	6.00
McLean	Medical Center	14.47	6.00
McLean	Grosvenor-Strathmore	16.23	6.00
McLean	North Bethesda	17.32	6.00
McLean	Twinbrook	18.20	6.00
McLean	Rockville	19.64	6.00
McLean	Shady Grove	22.05	6.00
McLean	Gallery Pl-Chinatown	11.52	5.40
McLean	Judiciary Square	11.88	5.55
McLean	Union Station	12.44	5.80
McLean	Rhode Island Ave-Brentwood	13.55	6.00
McLean	Brookland-CUA	14.03	6.00
McLean	Fort Totten	14.50	6.00
McLean	Takoma	15.27	6.00
McLean	Silver Spring	15.88	6.00
McLean	Forest Glen	16.82	6.00
McLean	Wheaton	17.96	6.00
McLean	Glenmont	19.37	6.00
McLean	NoMa-Gallaudet U	12.85	5.95
McLean	McPherson Square	10.85	5.15
McLean	Farragut West	10.48	5.00
McLean	Foggy Bottom-GWU	9.96	4.80
McLean	Rosslyn	8.78	4.30
McLean	Arlington Cemetery	9.57	4.65
McLean	Pentagon	10.65	5.05
McLean	Pentagon City	10.94	5.20
McLean	Crystal City	11.58	5.45
McLean	Ronald Reagan Washington National Airport	12.08	5.65
McLean	Potomac Yard	13.21	6.00
McLean	Braddock Road	14.18	6.00
McLean	King St-Old Town	14.55	6.00
McLean	Eisenhower Avenue	14.87	6.00
McLean	Huntington	15.23	6.00
McLean	Federal Triangle	11.41	5.35
McLean	Smithsonian	11.64	5.45
McLean	L'Enfant Plaza	12.09	5.65
McLean	Federal Center SW	12.41	5.75
McLean	Capitol South	12.98	6.00
McLean	Eastern Market	13.48	6.00
McLean	Potomac Ave	14.09	6.00
McLean	Stadium-Armory	14.62	6.00
McLean	Minnesota Ave	16.41	6.00
McLean	Deanwood	17.14	6.00
McLean	Cheverly	18.20	6.00
McLean	Landover	19.80	6.00
McLean	New Carrollton	21.08	6.00
McLean	Mt Vernon Sq 7th St-Convention Center	11.78	5.50
McLean	Shaw-Howard U	12.00	5.60
McLean	U Street/African-Amer Civil War Memorial/Cardozo	12.08	5.65
McLean	Columbia Heights	12.39	5.75
McLean	Georgia Ave-Petworth	13.10	6.00
McLean	West Hyattsville	16.40	6.00
McLean	Hyattsville Crossing	17.44	6.00
McLean	College Park-U of Md	19.26	6.00
McLean	Greenbelt	21.26	6.00
McLean	Archives-Navy Memorial-Penn Quarter	11.76	5.50
McLean	Waterfront	12.68	5.85
McLean	Navy Yard-Ballpark	13.30	6.00
McLean	Anacostia	14.29	6.00
McLean	Congress Heights	15.35	6.00
McLean	Southern Avenue	16.27	6.00
McLean	Naylor Road	17.22	6.00
McLean	Suitland	18.62	6.00
McLean	Branch Ave	20.24	6.00
McLean	Benning Road	16.89	6.00
McLean	Capitol Heights	18.35	6.00
McLean	Addison Road-Seat Pleasant	19.33	6.00
McLean	Morgan Boulevard	20.77	6.00
McLean	Downtown Largo	22.05	6.00
McLean	Van Dorn Street	15.58	6.00
McLean	Franconia-Springfield	18.08	6.00
McLean	Court House	7.88	3.95
McLean	Clarendon	7.46	3.80
McLean	Virginia Square-GMU	7.08	3.65
McLean	Ballston-MU	6.58	3.45
McLean	East Falls Church	4.29	2.50
McLean	West Falls Church	4.36	2.55
McLean	Dunn Loring-Merrifield	6.04	3.20
McLean	Vienna/Fairfax-GMU	8.13	4.05
McLean	Tysons	0.65	2.00
McLean	Greensboro	1.34	2.00
McLean	Spring Hill	1.90	2.00
McLean	Wiehle-Reston East	7.55	3.80
McLean	Reston Town Center	8.68	4.25
McLean	Herndon	10.01	4.80
McLean	Innovation Center	11.72	5.50
McLean	Washington Dulles International Airport	13.60	6.00
McLean	Loudoun Gateway	15.67	6.00
McLean	Ashburn	17.59	6.00
