Start	Destination	Distance_mi	Fare_USD
McPherson Square	Metro Center	0.41	2.00
McPherson Square	Farragut North	0.80	2.00
McPherson Square	Dupont Circle	1.28	2.00
McPherson Square	Woodley Park-Zoo/Adams Morgan	2.46	2.00
McPherson Square	Cleveland Park	3.16	2.05
McPherson Square	Van Ness-UDC	3.79	2.30
McPherson Square	Tenleytown-AU	4.75	2.70
McPherson Square	Friendship Heights	5.52	3.00
McPherson Square	Bethesda	7.20	3.70
McPherson Square	Medical Center	8.22	4.10
McPherson Square	Grosvenor-Strathmore	10.41	4.95
McPherson Square	North Bethesda	11.79	5.50
McPherson Square	Twinbrook	12.89	5.95
McPherson Square	Rockville	14.84	6.00
McPherson Square	Shady Grove	17.51	6.00
McPherson Square	Gallery Pl-Chinatown	0.67	2.00
McPherson Square	Judiciary Square	1.04	2.00
McPherson Square	Union Station	1.59	2.00
McPherson Square	Rhode Island Ave-Brentwood	2.97	2.00
McPherson Square	Brookland-CUA	3.70	2.30
McPherson Square	Fort Totten	4.74	2.70
McPherson Square	Takoma	6.38	3.35
McPherson Square	Silver Spring	7.67	3.85
McPherson Square	Forest Glen	9.25	4.50
McPherson Square	Wheaton	10.84	5.15
McPherson Square	Glenmont	12.57	5.85
McPherson Square	NoMa-Gallaudet U	2.05	2.00
McPherson Square	Farragut West	0.38	2.00
McPherson Square	Foggy Bottom-GWU	0.90	2.00
McPherson Square	Rosslyn	2.14	2.00
McPherson Square	Arlington Cemetery	2.57	2.00
McPherson Square	Pentagon	3.22	2.10
McPherson Square	Pentagon City	3.81	2.30
McPherson Square	Crystal City	4.21	2.50
McPherson Square	Ronald Reagan Washington National Airport	4.59	2.65
McPherson Square	Potomac Yard	6.11	3.25
McPherson Square	Braddock Road	7.50	3.80
McPherson Square	King St-Old Town	8.12	4.05
McPherson Square	Eisenhower Avenue	8.75	4.30
McPherson Square	Huntington	9.26	4.50
McPherson Square	Federal Triangle	0.67	2.00
McPherson Square	Smithsonian	1.03	2.00
McPherson Square	L'Enfant Plaza	1.46	2.00
McPherson Square	Federal Center SW	1.71	2.00
McPherson Square	Capitol South	2.21	2.00
McPherson Square	Eastern Market	2.69	2.00
McPherson Square	Potomac Ave	3.30	2.10
McPherson Square	Stadium-Armory	3.79	2.30
McPherson Square	Minnesota Ave	5.58	3.05
McPherson Square	Deanwood	6.34	3.35
McPherson Square	Cheverly	7.45	3.80
McPherson Square	Landover	9.17	4.45
McPherson Square	New Carrollton	10.54	5.00
McPherson Square	Mt Vernon Sq 7th St-Convention Center	1.01	2.00
McPherson Square	Shaw-Howard U	1.41	2.00
McPherson Square	U Street/African-Amer Civil War Memorial/Cardozo	1.69	2.00
McPherson Square	Columbia Heights	2.48	2.00
McPherson Square	Georgia Ave-Petworth	3.30	2.10
McPherson Square	West Hyattsville	6.34	3.35
McPherson Square	Hyattsville Crossing	7.47	3.80
McPherson Square	College Park-U of Md	9.30	4.50
McPherson Square	Greenbelt	11.66	5.45
McPherson Square	Archives-Navy Memorial-Penn Quarter	0.97	2.00
McPherson Square	Waterfront	2.17	2.00
McPherson Square	Navy Yard-Ballpark	2.66	2.00
McPherson Square	Anacostia	3.78	2.30
McPherson Square	Congress Heights	5.03	2.80
McPherson Square	Southern Avenue	5.90	3.15
McPherson Square	Naylor Road	6.61	3.45
McPherson Square	Suitland	7.98	4.00
McPherson Square	Branch Ave	9.67	4.65
McPherson Square	Benning Road	6.04	3.20
McPherson Square	Capitol Heights	7.50	3.80
McPherson Square	Addison Road-Seat Pleasant	8.48	4.20
McPherson Square	Morgan Boulevard	9.93	4.75
McPherson Square	Downtown Largo	11.23	5.30
McPherson Square	Van Dorn Street	11.06	5.20
McPherson Square	Franconia-Springfield	14.36	6.00
McPherson Square	Court House	3.16	2.05
McPherson Square	Clarendon	3.67	2.25
McPherson Square	Virginia Square-GMU	4.13	2.45
McPherson Square	Ballston-MU	4.68	2.65
McPherson Square	East Falls Church	7.05	3.60
McPherson Square	West Falls Church	8.91	4.35
McPherson Square	Dunn Loring-Merrifield	11.17	5.25
McPherson Square	Vienna/Fairfax-GMU	13.66	6.00
McPherson Square	McLean	10.85	5.15
McPherson Square	Tysons	11.45	5.40
McPherson Square	Greensboro	12.16	5.65
McPherson Square	Spring Hill	12.75	5.90
McPherson Square	Wiehle-Reston East	18.40	6.00
McPherson Square	Reston Town Center	19.52	6.00
McPherson Square	Herndon	20.86	6.00
McPherson Square	Innovation Center	22.57	6.00
McPherson Square	Washington Dulles International Airport	24.45	6.00
McPherson Square	Loudoun Gateway	26.48	6.00
McPherson Square	Ashburn	28.38	6.00
