Start	Destination	Distance_mi	Fare_USD
Medical Center	Metro Center	8.15	4.05
Medical Center	Farragut North	7.47	3.80
Medical Center	Dupont Circle	6.96	3.60
Medical Center	Woodley Park-Zoo/Adams Morgan	5.77	3.10
Medical Center	Cleveland Park	5.06	2.80
Medical Center	Van Ness-UDC	4.43	2.55
Medical Center	Tenleytown-AU	3.54	2.20
Medical Center	Friendship Heights	2.76	2.00
Medical Center	Bethesda	1.05	2.00
Medical Center	Grosvenor-Strathmore	2.23	2.00
Medical Center	North Bethesda	3.60	2.25
Medical Center	Twinbrook	4.69	2.70
Medical Center	Rockville	6.63	3.45
Medical Center	Shady Grove	9.29	4.50
Medical Center	Gallery Pl-Chinatown	8.36	4.15
Medical Center	Judiciary Square	8.70	4.30
Medical Center	Union Station	9.12	4.45
Medical Center	Rhode Island Ave-Brentwood	9.58	4.65
Medical Center	Brookland-CUA	9.75	4.70
Medical Center	Fort Totten	9.82	4.75
Medical Center	Takoma	10.04	4.80
Medical Center	Silver Spring	10.27	4.90
Medical Center	Forest Glen	10.90	5.15
Medical Center	Wheaton	11.99	5.60
Medical Center	Glenmont	13.50	6.00
Medical Center	NoMa-Gallaudet U	9.27	4.50
Medical Center	McPherson Square	8.22	4.10
Medical Center	Farragut West	8.33	4.15
Medical Center	Foggy Bottom-GWU	8.51	4.20
Medical Center	Rosslyn	9.18	4.45
Medical Center	Arlington Cemetery	10.08	4.85
Medical Center	Pentagon	10.59	5.05
Medical Center	Pentagon City	11.11	5.25
Medical Center	Crystal City	11.66	5.45
Medical Center	Ronald Reagan Washington National Airport	12.13	5.65
Medical Center	Potomac Yard	13.60	6.00
Medical Center	Braddock Road	14.92	6.00
Medical Center	King St-Old Town	15.47	6.00
Medical Center	Eisenhower Avenue	16.00	6.00
Medical Center	Huntington	16.48	6.00
Medical Center	Federal Triangle	8.44	4.20
Medical Center	Smithsonian	8.79	4.30
Medical Center	L'Enfant Plaza	9.23	4.50
Medical Center	Federal Center SW	9.46	4.60
Medical Center	Capitol South	9.90	4.75
Medical Center	Eastern Market	10.31	4.90
Medical Center	Potomac Ave	10.88	5.15
Medical Center	Stadium-Armory	11.22	5.30
Medical Center	Minnesota Ave	12.55	5.80
Medical Center	Deanwood	13.04	6.00
Medical Center	Cheverly	13.89	6.00
Medical Center	Landover	15.16	6.00
Medical Center	New Carrollton	16.22	6.00
Medical Center	Mt Vernon Sq 7th St-Convention Center	8.42	4.15
Medical Center	Shaw-Howard U	8.46	4.20
Medical Center	U Street/African-Amer Civil War Memorial/Cardozo	8.51	4.20
Medical Center	Columbia Heights	8.59	4.25
Medical Center	Georgia Ave-Petworth	8.92	4.35
Medical Center	West Hyattsville	11.55	5.40
Medical Center	Hyattsville Crossing	12.40	5.75
Medical Center	College Park-U of Md	14.02	6.00
Medical Center	Greenbelt	15.68	6.00
Medical Center	Archives-Navy Memorial-Penn Quarter	8.71	4.30
Medical Center	Waterfront	9.94	4.80
Medical Center	Navy Yard-Ballpark	10.40	4.95
Medical Center	Anacostia	11.52	5.40
Medical Center	Congress Heights	12.80	5.90
Medical Center	Southern Avenue	13.64	6.00
Medical Center	Naylor Road	14.25	6.00
Medical Center	Suitland	15.55	6.00
Medical Center	Branch Ave	17.25	6.00
Medical Center	Benning Road	13.12	6.00
Medical Center	Capitol Heights	14.45	6.00
Medical Center	Addison Road-Seat Pleasant	15.38	6.00
Medical Center	Morgan Boulevard	16.61	6.00
Medical Center	Downtown Largo	17.74	6.00
Medical Center	Van Dorn Street	17.62	6.00
Medical Center	Franconia-Springfield	20.70	6.00
Medical Center	Court House	9.87	4.75
Medical Center	Clarendon	10.23	4.90
Medical Center	Virginia Square-GMU	10.59	5.05
Medical Center	Ballston-MU	10.93	5.15
Medical Center	East Falls Church	12.35	5.75
Medical Center	West Falls Church	13.37	6.00
Medical Center	Dunn Loring-Merrifield	15.67	6.00
Medical Center	Vienna/Fairfax-GMU	17.93	6.00
Medical Center	McLean	14.47	6.00
Medical Center	Tysons	15.11	6.00
Medical Center	Greensboro	15.73	6.00
Medical Center	Spring Hill	16.10	6.00
Medical Center	Wiehle-Reston East	21.23	6.00
Medical Center	Reston Town Center	22.27	6.00
Medical Center	Herndon	23.61	6.00
Medical Center	Innovation Center	25.22	6.00
Medical Center	Washington Dulles International Airport	27.16	6.00
Medical Center	Loudoun Gateway	28.82	6.00
Medical Center	Ashburn	30.63	6.00
