Start	Destination	Distance_mi	Fare_USD
Minnesota Ave	Metro Center	5.21	2.90
Minnesota Ave	Farragut North	5.91	3.15
Minnesota Ave	Dupont Circle	6.30	3.30
Minnesota Ave	Woodley Park-Zoo/Adams Morgan	7.26	3.70
Minnesota Ave	Cleveland Park	7.86	3.95
Minnesota Ave	Van Ness-UDC	8.41	4.15
Minnesota Ave	Tenleytown-AU	9.45	4.60
Minnesota Ave	Friendship Heights	10.14	4.85
Minnesota Ave	Bethesda	11.64	5.45
Minnesota Ave	Medical Center	12.55	5.80
Minnesota Ave	Grosvenor-Strathmore	14.56	6.00
Minnesota Ave	North Bethesda	15.89	6.00
Minnesota Ave	Twinbrook	16.97	6.00
Minnesota Ave	Rockville	18.97	6.00
Minnesota Ave	Shady Grove	21.58	6.00
Minnesota Ave	Gallery Pl-Chinatown	4.91	2.75
Minnesota Ave	Judiciary Square	4.96	2.80
Minnesota Ave	Union Station	5.03	2.80
Minnesota Ave	Rhode Island Ave-Brentwood	5.79	3.10
Minnesota Ave	Brookland-CUA	6.44	3.40
Minnesota Ave	Fort Totten	7.70	3.90
Minnesota Ave	Takoma	9.56	4.60
Minnesota Ave	Silver Spring	10.97	5.20
Minnesota Ave	Forest Glen	12.59	5.85
Minnesota Ave	Wheaton	14.16	6.00
Minnesota Ave	Glenmont	15.82	6.00
Minnesota Ave	NoMa-Gallaudet U	5.28	2.90
Minnesota Ave	McPherson Square	5.58	3.05
Minnesota Ave	Farragut West	5.96	3.20
Minnesota Ave	Foggy Bottom-GWU	6.48	3.40
Minnesota Ave	Rosslyn	7.70	3.90
Minnesota Ave	Arlington Cemetery	7.43	3.75
Minnesota Ave	Pentagon	6.66	3.45
Minnesota Ave	Pentagon City	7.19	3.70
Minnesota Ave	Crystal City	7.40	3.75
Minnesota Ave	Ronald Reagan Washington National Airport	7.59	3.85
Minnesota Ave	Potomac Yard	8.87	4.35
Minnesota Ave	Braddock Road	10.17	4.85
Minnesota Ave	King St-Old Town	10.82	5.15
Minnesota Ave	Eisenhower Avenue	11.52	5.40
Minnesota Ave	Huntington	12.02	5.60
Minnesota Ave	Federal Triangle	5.07	2.85
Minnesota Ave	Smithsonian	4.91	2.75
Minnesota Ave	L'Enfant Plaza	4.52	2.60
Minnesota Ave	Federal Center SW	4.19	2.50
Minnesota Ave	Capitol South	3.62	2.25
Minnesota Ave	Eastern Market	3.14	2.05
Minnesota Ave	Potomac Ave	2.62	2.00
Minnesota Ave	Stadium-Armory	1.97	2.00
Minnesota Ave	Deanwood	0.88	2.00
Minnesota Ave	Cheverly	2.03	2.00
Minnesota Ave	Landover	3.85	2.35
Minnesota Ave	New Carrollton	5.29	2.90
Minnesota Ave	Mt Vernon Sq 7th St-Convention Center	5.21	2.90
Minnesota Ave	Shaw-Howard U	5.49	3.00
Minnesota Ave	U Street/African-Amer Civil War Memorial/Cardozo	5.91	3.15
Minnesota Ave	Columbia Heights	6.60	3.45
Minnesota Ave	Georgia Ave-Petworth	6.99	3.60
Minnesota Ave	West Hyattsville	8.35	4.15
Minnesota Ave	Hyattsville Crossing	9.25	4.50
Minnesota Ave	College Park-U of Md	10.71	5.10
Minnesota Ave	Greenbelt	13.14	6.00
Minnesota Ave	Archives-Navy Memorial-Penn Quarter	4.74	2.70
Minnesota Ave	Waterfront	4.89	2.75
Minnesota Ave	Navy Yard-Ballpark	4.91	2.75
Minnesota Ave	Anacostia	5.53	3.00
Minnesota Ave	Congress Heights	6.54	3.40
Minnesota Ave	Southern Avenue	7.05	3.60
Minnesota Ave	Naylor Road	7.20	3.70
Minnesota Ave	Suitland	8.17	4.05
Minnesota Ave	Branch Ave	9.78	4.70
Minnesota Ave	Benning Road	2.68	2.00
Minnesota Ave	Capitol Heights	4.06	2.40
Minnesota Ave	Addison Road-Seat Pleasant	5.04	2.80
Minnesota Ave	Morgan Boulevard	6.46	3.40
Minnesota Ave	Downtown Largo	7.76	3.90
Minnesota Ave	Van Dorn Street	14.31	6.00
Minnesota Ave	Franconia-Springfield	17.59	6.00
Minnesota Ave	Court House	8.70	4.30
Minnesota Ave	Clarendon	9.19	4.50
Minnesota Ave	Virginia Square-GMU	9.64	4.65
Minnesota Ave	Ballston-MU	10.20	4.90
Minnesota Ave	East Falls Church	12.60	5.85
Minnesota Ave	West Falls Church	14.49	6.00
Minnesota Ave	Dunn Loring-Merrifield	16.73	6.00
Minnesota Ave	Vienna/Fairfax-GMU	19.21	6.00
Minnesota Ave	McLean	16.41	6.00
Minnesota Ave	Tysons	17.02	6.00
Minnesota Ave	Greensboro	17.73	6.00
Minnesota Ave	Spring Hill	18.32	6.00
Minnesota Ave	Wiehle-Reston East	23.95	6.00
Minnesota Ave	Reston Town Center	25.07	6.00
Minnesota Ave	Herndon	26.41	6.00
Minnesota Ave	Innovation Center	28.12	6.00
Minnesota Ave	Washington Dulles International Airport	30.01	6.00
Minnesota Ave	Loudoun Gateway	32.00	6.00
Minnesota Ave	Ashburn	33.90	6.00
