Start	Destination	Distance_mi	Fare_USD
Morgan Boulevard	Metro Center	9.56	4.60
Morgan Boulevard	Farragut North	10.27	4.90
Morgan Boulevard	Dupont Circle	10.65	5.05
Morgan Boulevard	Woodley Park-Zoo/Adams Morgan	11.58	5.45
Morgan Boulevard	Cleveland Park	12.15	5.65
Morgan Boulevard	Van Ness-UDC	12.67	5.85
Morgan Boulevard	Tenleytown-AU	13.72	6.00
Morgan Boulevard	Friendship Heights	14.36	6.00
Morgan Boulevard	Bethesda	15.77	6.00
Morgan Boulevard	Medical Center	16.61	6.00
Morgan Boulevard	Grosvenor-Strathmore	18.50	6.00
Morgan Boulevard	North Bethesda	19.78	6.00
Morgan Boulevard	Twinbrook	20.81	6.00
Morgan Boulevard	Rockville	22.81	6.00
Morgan Boulevard	Shady Grove	25.35	6.00
Morgan Boulevard	Gallery Pl-Chinatown	9.26	4.50
Morgan Boulevard	Judiciary Square	9.31	4.50
Morgan Boulevard	Union Station	9.38	4.55
Morgan Boulevard	Rhode Island Ave-Brentwood	10.07	4.85
Morgan Boulevard	Brookland-CUA	10.59	5.05
Morgan Boulevard	Fort Totten	11.71	5.50
Morgan Boulevard	Takoma	13.45	6.00
Morgan Boulevard	Silver Spring	14.80	6.00
Morgan Boulevard	Forest Glen	16.35	6.00
Morgan Boulevard	Wheaton	17.83	6.00
Morgan Boulevard	Glenmont	19.39	6.00
Morgan Boulevard	NoMa-Gallaudet U	9.63	4.65
Morgan Boulevard	McPherson Square	9.93	4.75
Morgan Boulevard	Farragut West	10.31	4.90
Morgan Boulevard	Foggy Bottom-GWU	10.83	5.15
Morgan Boulevard	Rosslyn	12.05	5.60
Morgan Boulevard	Arlington Cemetery	11.75	5.50
Morgan Boulevard	Pentagon	10.90	5.15
Morgan Boulevard	Pentagon City	11.40	5.35
Morgan Boulevard	Crystal City	11.56	5.40
Morgan Boulevard	Ronald Reagan Washington National Airport	11.71	5.50
Morgan Boulevard	Potomac Yard	12.82	5.95
Morgan Boulevard	Braddock Road	14.00	6.00
Morgan Boulevard	King St-Old Town	14.62	6.00
Morgan Boulevard	Eisenhower Avenue	15.32	6.00
Morgan Boulevard	Huntington	15.80	6.00
Morgan Boulevard	Federal Triangle	9.41	4.55
Morgan Boulevard	Smithsonian	9.23	4.50
Morgan Boulevard	L'Enfant Plaza	8.82	4.35
Morgan Boulevard	Federal Center SW	8.49	4.20
Morgan Boulevard	Capitol South	7.91	3.95
Morgan Boulevard	Eastern Market	7.41	3.75
Morgan Boulevard	Potomac Ave	6.83	3.55
Morgan Boulevard	Stadium-Armory	6.23	3.30
Morgan Boulevard	Minnesota Ave	6.46	3.40
Morgan Boulevard	Deanwood	6.65	3.45
Morgan Boulevard	Cheverly	6.88	3.55
Morgan Boulevard	Landover	7.76	3.90
Morgan Boulevard	New Carrollton	8.85	4.35
Morgan Boulevard	Mt Vernon Sq 7th St-Convention Center	9.56	4.60
Morgan Boulevard	Shaw-Howard U	9.83	4.75
Morgan Boulevard	U Street/African-Amer Civil War Memorial/Cardozo	10.24	4.90
Morgan Boulevard	Columbia Heights	10.90	5.15
Morgan Boulevard	Georgia Ave-Petworth	11.22	5.30
Morgan Boulevard	West Hyattsville	12.00	5.60
Morgan Boulevard	Hyattsville Crossing	12.60	5.85
Morgan Boulevard	College Park-U of Md	13.49	6.00
Morgan Boulevard	Greenbelt	15.59	6.00
Morgan Boulevard	Archives-Navy Memorial-Penn Quarter	9.08	4.45
Morgan Boulevard	Waterfront	9.13	4.45
Morgan Boulevard	Navy Yard-Ballpark	9.13	4.45
Morgan Boulevard	Anacostia	9.55	4.60
Morgan Boulevard	Congress Heights	10.25	4.90
Morgan Boulevard	Southern Avenue	10.55	5.00
Morgan Boulevard	Naylor Road	10.56	5.00
Morgan Boulevard	Suitland	10.91	5.15
Morgan Boulevard	Branch Ave	11.94	5.60
Morgan Boulevard	Benning Road	3.91	2.35
Morgan Boulevard	Capitol Heights	2.46	2.00
Morgan Boulevard	Addison Road-Seat Pleasant	1.52	2.00
Morgan Boulevard	Downtown Largo	1.35	2.00
Morgan Boulevard	Van Dorn Street	18.29	6.00
Morgan Boulevard	Franconia-Springfield	21.51	6.00
Morgan Boulevard	Court House	13.04	6.00
Morgan Boulevard	Clarendon	13.52	6.00
Morgan Boulevard	Virginia Square-GMU	13.97	6.00
Morgan Boulevard	Ballston-MU	14.52	6.00
Morgan Boulevard	East Falls Church	16.94	6.00
Morgan Boulevard	West Falls Church	18.84	6.00
Morgan Boulevard	Dunn Loring-Merrifield	21.07	6.00
Morgan Boulevard	Vienna/Fairfax-GMU	23.55	6.00
Morgan Boulevard	McLean	20.77	6.00
Morgan Boulevard	Tysons	21.38	6.00
Morgan Boulevard	Greensboro	22.09	6.00
Morgan Boulevard	Spring Hill	22.67	6.00
Morgan Boulevard	Wiehle-Reston East	28.30	6.00
Morgan Boulevard	Reston Town Center	29.42	6.00
Morgan Boulevard	Herndon	30.76	6.00
Morgan Boulevard	Innovation Center	32.47	6.00
Morgan Boulevard	Washington Dulles International Airport	34.36	6.00
Morgan Boulevard	Loudoun Gateway	36.34	6.00
Morgan Boulevard	Ashburn	38.23	6.00
