Start	Destination	Distance_mi	Fare_USD
Mt Vernon Sq 7th St-Convention Center	Metro Center	0.75	2.00
Mt Vernon Sq 7th St-Convention Center	Farragut North	1.31	2.00
Mt Vernon Sq 7th St-Convention Center	Dupont Circle	1.67	2.00
Mt Vernon Sq 7th St-Convention Center	Woodley Park-Zoo/Adams Morgan	2.73	2.00
Mt Vernon Sq 7th St-Convention Center	Cleveland Park	3.41	2.15
Mt Vernon Sq 7th St-Convention Center	Van Ness-UDC	4.02	2.40
Mt Vernon Sq 7th St-Convention Center	Tenleytown-AU	5.03	2.80
Mt Vernon Sq 7th St-Convention Center	Friendship Heights	5.77	3.10
Mt Vernon Sq 7th St-Convention Center	Bethesda	7.42	3.75
Mt Vernon Sq 7th St-Convention Center	Medical Center	8.42	4.15
Mt Vernon Sq 7th St-Convention Center	Grosvenor-Strathmore	10.58	5.05
Mt Vernon Sq 7th St-Convention Center	North Bethesda	11.96	5.60
Mt Vernon Sq 7th St-Convention Center	Twinbrook	13.05	6.00
Mt Vernon Sq 7th St-Convention Center	Rockville	15.02	6.00
Mt Vernon Sq 7th St-Convention Center	Shady Grove	17.68	6.00
Mt Vernon Sq 7th St-Convention Center	Gallery Pl-Chinatown	0.57	2.00
Mt Vernon Sq 7th St-Convention Center	Judiciary Square	0.85	2.00
Mt Vernon Sq 7th St-Convention Center	Union Station	1.29	2.00
Mt Vernon Sq 7th St-Convention Center	Rhode Island Ave-Brentwood	2.53	2.00
Mt Vernon Sq 7th St-Convention Center	Brookland-CUA	3.28	2.10
Mt Vernon Sq 7th St-Convention Center	Fort Totten	3.81	2.30
Mt Vernon Sq 7th St-Convention Center	Takoma	5.52	3.00
Mt Vernon Sq 7th St-Convention Center	Silver Spring	6.84	3.55
Mt Vernon Sq 7th St-Convention Center	Forest Glen	8.45	4.20
Mt Vernon Sq 7th St-Convention Center	Wheaton	10.05	4.80
Mt Vernon Sq 7th St-Convention Center	Glenmont	11.78	5.50
Mt Vernon Sq 7th St-Convention Center	NoMa-Gallaudet U	1.63	2.00
Mt Vernon Sq 7th St-Convention Center	McPherson Square	1.01	2.00
Mt Vernon Sq 7th St-Convention Center	Farragut West	1.37	2.00
Mt Vernon Sq 7th St-Convention Center	Foggy Bottom-GWU	1.89	2.00
Mt Vernon Sq 7th St-Convention Center	Rosslyn	3.14	2.05
Mt Vernon Sq 7th St-Convention Center	Arlington Cemetery	3.58	2.25
Mt Vernon Sq 7th St-Convention Center	Pentagon	3.46	2.20
Mt Vernon Sq 7th St-Convention Center	Pentagon City	4.05	2.40
Mt Vernon Sq 7th St-Convention Center	Crystal City	4.42	2.55
Mt Vernon Sq 7th St-Convention Center	Ronald Reagan Washington National Airport	4.77	2.70
Mt Vernon Sq 7th St-Convention Center	Potomac Yard	6.27	3.30
Mt Vernon Sq 7th St-Convention Center	Braddock Road	7.67	3.85
Mt Vernon Sq 7th St-Convention Center	King St-Old Town	8.30	4.10
Mt Vernon Sq 7th St-Convention Center	Eisenhower Avenue	8.95	4.40
Mt Vernon Sq 7th St-Convention Center	Huntington	9.46	4.60
Mt Vernon Sq 7th St-Convention Center	Federal Triangle	1.04	2.00
Mt Vernon Sq 7th St-Convention Center	Smithsonian	1.41	2.00
Mt Vernon Sq 7th St-Convention Center	L'Enfant Plaza	1.48	2.00
Mt Vernon Sq 7th St-Convention Center	Federal Center SW	1.67	2.00
Mt Vernon Sq 7th St-Convention Center	Capitol South	2.06	2.00
Mt Vernon Sq 7th St-Convention Center	Eastern Market	2.48	2.00
Mt Vernon Sq 7th St-Convention Center	Potomac Ave	3.07	2.05
Mt Vernon Sq 7th St-Convention Center	Stadium-Armory	3.50	2.20
Mt Vernon Sq 7th St-Convention Center	Minnesota Ave	5.21	2.90
Mt Vernon Sq 7th St-Convention Center	Deanwood	5.95	3.20
Mt Vernon Sq 7th St-Convention Center	Cheverly	7.05	3.60
Mt Vernon Sq 7th St-Convention Center	Landover	8.75	4.30
Mt Vernon Sq 7th St-Convention Center	New Carrollton	10.12	4.85
Mt Vernon Sq 7th St-Convention Center	Shaw-Howard U	0.48	2.00
Mt Vernon Sq 7th St-Convention Center	U Street/African-Amer Civil War Memorial/Cardozo	0.87	2.00
Mt Vernon Sq 7th St-Convention Center	Columbia Heights	1.70	2.00
Mt Vernon Sq 7th St-Convention Center	Georgia Ave-Petworth	2.44	2.00
Mt Vernon Sq 7th St-Convention Center	West Hyattsville	5.35	2.95
Mt Vernon Sq 7th St-Convention Center	Hyattsville Crossing	6.47	3.40
Mt Vernon Sq 7th St-Convention Center	College Park-U of Md	8.30	4.10
Mt Vernon Sq 7th St-Convention Center	Greenbelt	10.67	5.05
Mt Vernon Sq 7th St-Convention Center	Archives-Navy Memorial-Penn Quarter	0.92	2.00
Mt Vernon Sq 7th St-Convention Center	Waterfront	2.18	2.00
Mt Vernon Sq 7th St-Convention Center	Navy Yard-Ballpark	2.58	2.00
Mt Vernon Sq 7th St-Convention Center	Anacostia	3.69	2.30
Mt Vernon Sq 7th St-Convention Center	Congress Heights	4.98	2.80
Mt Vernon Sq 7th St-Convention Center	Southern Avenue	5.80	3.10
Mt Vernon Sq 7th St-Convention Center	Naylor Road	6.44	3.40
Mt Vernon Sq 7th St-Convention Center	Suitland	7.78	3.90
Mt Vernon Sq 7th St-Convention Center	Branch Ave	9.48	4.60
Mt Vernon Sq 7th St-Convention Center	Benning Road	5.70	3.10
Mt Vernon Sq 7th St-Convention Center	Capitol Heights	7.15	3.65
Mt Vernon Sq 7th St-Convention Center	Addison Road-Seat Pleasant	8.13	4.05
Mt Vernon Sq 7th St-Convention Center	Morgan Boulevard	9.56	4.60
Mt Vernon Sq 7th St-Convention Center	Downtown Largo	10.85	5.15
Mt Vernon Sq 7th St-Convention Center	Van Dorn Street	11.31	5.30
Mt Vernon Sq 7th St-Convention Center	Franconia-Springfield	14.62	6.00
Mt Vernon Sq 7th St-Convention Center	Court House	4.16	2.45
Mt Vernon Sq 7th St-Convention Center	Clarendon	4.67	2.65
Mt Vernon Sq 7th St-Convention Center	Virginia Square-GMU	5.13	2.85
Mt Vernon Sq 7th St-Convention Center	Ballston-MU	5.69	3.10
Mt Vernon Sq 7th St-Convention Center	East Falls Church	8.04	4.00
Mt Vernon Sq 7th St-Convention Center	West Falls Church	9.88	4.75
Mt Vernon Sq 7th St-Convention Center	Dunn Loring-Merrifield	12.16	5.65
Mt Vernon Sq 7th St-Convention Center	Vienna/Fairfax-GMU	14.64	6.00
Mt Vernon Sq 7th St-Convention Center	McLean	11.78	5.50
Mt Vernon Sq 7th St-Convention Center	Tysons	12.39	5.75
Mt Vernon Sq 7th St-Convention Center	Greensboro	13.11	6.00
Mt Vernon Sq 7th St-Convention Center	Spring Hill	13.69	6.00
Mt Vernon Sq 7th St-Convention Center	Wiehle-Reston East	19.32	6.00
Mt Vernon Sq 7th St-Convention Center	Reston Town Center	20.44	6.00
Mt Vernon Sq 7th St-Convention Center	Herndon	21.78	6.00
Mt Vernon Sq 7th St-Convention Center	Innovation Center	23.49	6.00
Mt Vernon Sq 7th St-Convention Center	Washington Dulles International Airport	25.38	6.00
Mt Vernon Sq 7th St-Convention Center	Loudoun Gateway	27.39	6.00
Mt Vernon Sq 7th St-Convention Center	Ashburn	29.28	6.00
