Start	Destination	Distance_mi	Fare_USD
Navy Yard-Ballpark	Metro Center	2.26	2.00
Navy Yard-Ballpark	Farragut North	2.99	2.00
Navy Yard-Ballpark	Dupont Circle	3.49	2.20
Navy Yard-Ballpark	Woodley Park-Zoo/Adams Morgan	4.66	2.65
Navy Yard-Ballpark	Cleveland Park	5.36	2.95
Navy Yard-Ballpark	Van Ness-UDC	5.98	3.20
Navy Yard-Ballpark	Tenleytown-AU	6.96	3.60
Navy Yard-Ballpark	Friendship Heights	7.72	3.90
Navy Yard-Ballpark	Bethesda	9.39	4.55
Navy Yard-Ballpark	Medical Center	10.40	4.95
Navy Yard-Ballpark	Grosvenor-Strathmore	12.57	5.85
Navy Yard-Ballpark	North Bethesda	13.95	6.00
Navy Yard-Ballpark	Twinbrook	15.05	6.00
Navy Yard-Ballpark	Rockville	17.02	6.00
Navy Yard-Ballpark	Shady Grove	19.68	6.00
Navy Yard-Ballpark	Gallery Pl-Chinatown	2.04	2.00
Navy Yard-Ballpark	Judiciary Square	2.10	2.00
Navy Yard-Ballpark	Union Station	2.41	2.00
Navy Yard-Ballpark	Rhode Island Ave-Brentwood	4.11	2.45
Navy Yard-Ballpark	Brookland-CUA	4.96	2.80
Navy Yard-Ballpark	Fort Totten	6.22	3.30
Navy Yard-Ballpark	Takoma	8.02	4.00
Navy Yard-Ballpark	Silver Spring	9.38	4.55
Navy Yard-Ballpark	Forest Glen	11.00	5.20
Navy Yard-Ballpark	Wheaton	12.61	5.85
Navy Yard-Ballpark	Glenmont	14.33	6.00
Navy Yard-Ballpark	NoMa-Gallaudet U	3.06	2.00
Navy Yard-Ballpark	McPherson Square	2.66	2.00
Navy Yard-Ballpark	Farragut West	2.98	2.00
Navy Yard-Ballpark	Foggy Bottom-GWU	3.43	2.15
Navy Yard-Ballpark	Rosslyn	4.52	2.60
Navy Yard-Ballpark	Arlington Cemetery	4.10	2.45
Navy Yard-Ballpark	Pentagon	3.20	2.10
Navy Yard-Ballpark	Pentagon City	3.71	2.30
Navy Yard-Ballpark	Crystal City	3.91	2.35
Navy Yard-Ballpark	Ronald Reagan Washington National Airport	4.12	2.45
Navy Yard-Ballpark	Potomac Yard	5.48	3.00
Navy Yard-Ballpark	Braddock Road	6.85	3.55
Navy Yard-Ballpark	King St-Old Town	7.50	3.80
Navy Yard-Ballpark	Eisenhower Avenue	8.18	4.05
Navy Yard-Ballpark	Huntington	8.70	4.30
Navy Yard-Ballpark	Federal Triangle	2.00	2.00
Navy Yard-Ballpark	Smithsonian	1.70	2.00
Navy Yard-Ballpark	L'Enfant Plaza	1.24	2.00
Navy Yard-Ballpark	Federal Center SW	1.28	2.00
Navy Yard-Ballpark	Capitol South	1.46	2.00
Navy Yard-Ballpark	Eastern Market	1.81	2.00
Navy Yard-Ballpark	Potomac Ave	2.31	2.00
Navy Yard-Ballpark	Stadium-Armory	2.94	2.00
Navy Yard-Ballpark	Minnesota Ave	4.91	2.75
Navy Yard-Ballpark	Deanwood	5.78	3.10
Navy Yard-Ballpark	Cheverly	6.94	3.60
Navy Yard-Ballpark	Landover	8.74	4.30
Navy Yard-Ballpark	New Carrollton	10.18	4.85
Navy Yard-Ballpark	Mt Vernon Sq 7th St-Convention Center	2.58	2.00
Navy Yard-Ballpark	Shaw-Howard U	3.04	2.00
Navy Yard-Ballpark	U Street/African-Amer Civil War Memorial/Cardozo	3.44	2.20
Navy Yard-Ballpark	Columbia Heights	4.28	2.50
Navy Yard-Ballpark	Georgia Ave-Petworth	4.98	2.80
Navy Yard-Ballpark	West Hyattsville	7.49	3.80
Navy Yard-Ballpark	Hyattsville Crossing	8.58	4.25
Navy Yard-Ballpark	College Park-U of Md	10.30	4.90
Navy Yard-Ballpark	Greenbelt	12.75	5.90
Navy Yard-Ballpark	Archives-Navy Memorial-Penn Quarter	1.71	2.00
Navy Yard-Ballpark	Waterfront	0.63	2.00
Navy Yard-Ballpark	Anacostia	1.12	2.00
Navy Yard-Ballpark	Congress Heights	2.40	2.00
Navy Yard-Ballpark	Southern Avenue	3.24	2.10
Navy Yard-Ballpark	Naylor Road	3.98	2.40
Navy Yard-Ballpark	Suitland	5.37	2.95
Navy Yard-Ballpark	Branch Ave	7.04	3.60
Navy Yard-Ballpark	Benning Road	5.24	2.90
Navy Yard-Ballpark	Capitol Heights	6.67	3.45
Navy Yard-Ballpark	Addison Road-Seat Pleasant	7.62	3.85
Navy Yard-Ballpark	Morgan Boulevard	9.13	4.45
Navy Yard-Ballpark	Downtown Largo	10.47	5.00
Navy Yard-Ballpark	Van Dorn Street	10.85	5.15
Navy Yard-Ballpark	Franconia-Springfield	14.15	6.00
Navy Yard-Ballpark	Court House	5.43	2.95
Navy Yard-Ballpark	Clarendon	5.88	3.15
Navy Yard-Ballpark	Virginia Square-GMU	6.31	3.30
Navy Yard-Ballpark	Ballston-MU	6.86	3.55
Navy Yard-Ballpark	East Falls Church	9.29	4.50
Navy Yard-Ballpark	West Falls Church	11.25	5.30
Navy Yard-Ballpark	Dunn Loring-Merrifield	13.41	6.00
