Start	Destination	Distance_mi	Fare_USD
Naylor Road	Metro Center	6.21	3.30
Naylor Road	Farragut North	6.95	3.60
Naylor Road	Dupont Circle	7.44	3.80
Naylor Road	Woodley Park-Zoo/Adams Morgan	8.58	4.25
Naylor Road	Cleveland Park	9.27	4.50
Naylor Road	Van Ness-UDC	9.88	4.75
Naylor Road	Tenleytown-AU	10.89	5.15
Naylor Road	Friendship Heights	11.64	5.45
Naylor Road	Bethesda	13.27	6.00
Naylor Road	Medical Center	14.25	6.00
Naylor Road	Grosvenor-Strathmore	16.38	6.00
Naylor Road	North Bethesda	17.75	6.00
Naylor Road	Twinbrook	18.84	6.00
Naylor Road	Rockville	20.83	6.00
Naylor Road	Shady Grove	23.48	6.00
Naylor Road	Gallery Pl-Chinatown	5.96	3.20
Naylor Road	Judiciary Square	5.99	3.20
Naylor Road	Union Station	6.18	3.25
Naylor Road	Rhode Island Ave-Brentwood	7.57	3.85
Naylor Road	Brookland-CUA	8.38	4.15
Naylor Road	Fort Totten	9.70	4.70
Naylor Road	Takoma	11.58	5.45
Naylor Road	Silver Spring	12.98	6.00
Naylor Road	Forest Glen	14.62	6.00
Naylor Road	Wheaton	16.22	6.00
Naylor Road	Glenmont	17.92	6.00
Naylor Road	NoMa-Gallaudet U	6.70	3.50
Naylor Road	McPherson Square	6.61	3.45
Naylor Road	Farragut West	6.95	3.60
Naylor Road	Foggy Bottom-GWU	7.41	3.75
Naylor Road	Rosslyn	8.48	4.20
Naylor Road	Arlington Cemetery	8.02	4.00
Naylor Road	Pentagon	6.96	3.60
Naylor Road	Pentagon City	7.37	3.75
Naylor Road	Crystal City	7.48	3.80
Naylor Road	Ronald Reagan Washington National Airport	7.57	3.85
Naylor Road	Potomac Yard	8.52	4.20
Naylor Road	Braddock Road	9.65	4.65
Naylor Road	King St-Old Town	10.27	4.90
Naylor Road	Eisenhower Avenue	10.96	5.20
Naylor Road	Huntington	11.44	5.40
Naylor Road	Federal Triangle	5.97	3.20
Naylor Road	Smithsonian	5.68	3.05
Naylor Road	L'Enfant Plaza	5.22	2.90
Naylor Road	Federal Center SW	5.25	2.90
Naylor Road	Capitol South	5.31	2.90
Naylor Road	Eastern Market	5.38	2.95
Naylor Road	Potomac Ave	5.42	2.95
Naylor Road	Stadium-Armory	5.83	3.15
Naylor Road	Minnesota Ave	7.20	3.70
Naylor Road	Deanwood	8.02	4.00
Naylor Road	Cheverly	9.05	4.40
Naylor Road	Landover	10.81	5.10
Naylor Road	New Carrollton	12.24	5.70
Naylor Road	Mt Vernon Sq 7th St-Convention Center	6.44	3.40
Naylor Road	Shaw-Howard U	6.86	3.55
Naylor Road	U Street/African-Amer Civil War Memorial/Cardozo	7.29	3.70
Naylor Road	Columbia Heights	8.10	4.05
Naylor Road	Georgia Ave-Petworth	8.70	4.30
Naylor Road	West Hyattsville	10.60	5.05
Naylor Road	Hyattsville Crossing	11.56	5.40
Naylor Road	College Park-U of Md	13.06	6.00
Naylor Road	Greenbelt	15.49	6.00
Naylor Road	Archives-Navy Memorial-Penn Quarter	5.66	3.05
Naylor Road	Waterfront	4.57	2.65
Naylor Road	Navy Yard-Ballpark	3.98	2.40
Naylor Road	Anacostia	2.93	2.00
Naylor Road	Congress Heights	2.03	2.00
Naylor Road	Southern Avenue	1.24	2.00
Naylor Road	Suitland	1.40	2.00
Naylor Road	Branch Ave	3.06	2.00
Naylor Road	Benning Road	7.21	3.70
Naylor Road	Capitol Heights	8.27	4.10
Naylor Road	Addison Road-Seat Pleasant	9.06	4.40
Naylor Road	Morgan Boulevard	10.56	5.00
Naylor Road	Downtown Largo	11.90	5.55
Naylor Road	Van Dorn Street	13.97	6.00
Naylor Road	Franconia-Springfield	17.15	6.00
Naylor Road	Court House	9.35	4.55
Naylor Road	Clarendon	9.77	4.70
Naylor Road	Virginia Square-GMU	10.17	4.85
Naylor Road	Ballston-MU	10.71	5.10
Naylor Road	East Falls Church	13.13	6.00
Naylor Road	West Falls Church	15.13	6.00
Naylor Road	Dunn Loring-Merrifield	17.21	6.00
Naylor Road	Vienna/Fairfax-GMU	19.64	6.00
Naylor Road	McLean	17.22	6.00
Naylor Road	Tysons	17.79	6.00
Naylor Road	Greensboro	18.49	6.00
Naylor Road	Spring Hill	19.12	6.00
Naylor Road	Wiehle-Reston East	24.76	6.00
Naylor Road	Reston Town Center	25.88	6.00
Naylor Road	Herndon	27.20	6.00
Naylor Road	Innovation Center	28.92	6.00
Naylor Road	Washington Dulles International Airport	30.77	6.00
Naylor Road	Loudoun Gateway	32.90	6.00
Naylor Road	Ashburn	34.81	6.00
