Start	Destination	Distance_mi	Fare_USD
New Carrollton	Metro Center	10.22	4.90
New Carrollton	Farragut North	10.85	5.15
New Carrollton	Dupont Circle	11.14	5.25
New Carrollton	Woodley Park-Zoo/Adams Morgan	11.86	5.55
New Carrollton	Cleveland Park	12.32	5.75
New Carrollton	Van Ness-UDC	12.74	5.90
New Carrollton	Tenleytown-AU	13.74	6.00
New Carrollton	Friendship Heights	14.29	6.00
New Carrollton	Bethesda	15.49	6.00
New Carrollton	Medical Center	16.22	6.00
New Carrollton	Grosvenor-Strathmore	17.90	6.00
New Carrollton	North Bethesda	19.09	6.00
New Carrollton	Twinbrook	20.08	6.00
New Carrollton	Rockville	22.04	6.00
New Carrollton	Shady Grove	24.49	6.00
New Carrollton	Gallery Pl-Chinatown	9.94	4.80
New Carrollton	Judiciary Square	10.03	4.80
New Carrollton	Union Station	10.11	4.85
New Carrollton	Rhode Island Ave-Brentwood	10.40	4.95
New Carrollton	Brookland-CUA	10.71	5.10
New Carrollton	Fort Totten	11.54	5.40
New Carrollton	Takoma	13.01	6.00
New Carrollton	Silver Spring	14.23	6.00
New Carrollton	Forest Glen	15.65	6.00
New Carrollton	Wheaton	17.01	6.00
New Carrollton	Glenmont	18.45	6.00
New Carrollton	NoMa-Gallaudet U	10.21	4.90
New Carrollton	McPherson Square	10.54	5.00
New Carrollton	Farragut West	10.91	5.15
New Carrollton	Foggy Bottom-GWU	11.43	5.35
New Carrollton	Rosslyn	12.67	5.85
New Carrollton	Arlington Cemetery	12.51	5.80
New Carrollton	Pentagon	11.86	5.55
New Carrollton	Pentagon City	12.42	5.75
New Carrollton	Crystal City	12.65	5.85
New Carrollton	Ronald Reagan Washington National Airport	12.87	5.95
New Carrollton	Potomac Yard	14.16	6.00
New Carrollton	Braddock Road	15.46	6.00
New Carrollton	King St-Old Town	16.10	6.00
New Carrollton	Eisenhower Avenue	16.80	6.00
New Carrollton	Huntington	17.30	6.00
New Carrollton	Federal Triangle	10.14	4.85
New Carrollton	Smithsonian	10.04	4.80
New Carrollton	L'Enfant Plaza	9.69	4.70
New Carrollton	Federal Center SW	9.37	4.55
New Carrollton	Capitol South	8.83	4.35
New Carrollton	Eastern Market	8.38	4.15
New Carrollton	Potomac Ave	7.90	3.95
New Carrollton	Stadium-Armory	7.25	3.70
New Carrollton	Minnesota Ave	5.29	2.90
New Carrollton	Deanwood	4.41	2.55
New Carrollton	Cheverly	3.26	2.10
New Carrollton	Landover	1.45	2.00
New Carrollton	Mt Vernon Sq 7th St-Convention Center	10.12	4.85
New Carrollton	Shaw-Howard U	10.28	4.90
New Carrollton	U Street/African-Amer Civil War Memorial/Cardozo	10.64	5.05
New Carrollton	Columbia Heights	11.14	5.25
New Carrollton	Georgia Ave-Petworth	11.31	5.30
New Carrollton	West Hyattsville	11.62	5.45
New Carrollton	Hyattsville Crossing	11.97	5.60
New Carrollton	College Park-U of Md	12.44	5.80
New Carrollton	Greenbelt	14.25	6.00
New Carrollton	Archives-Navy Memorial-Penn Quarter	9.83	4.75
New Carrollton	Waterfront	10.12	4.85
New Carrollton	Navy Yard-Ballpark	10.18	4.85
New Carrollton	Anacostia	10.82	5.15
New Carrollton	Congress Heights	11.77	5.50
New Carrollton	Southern Avenue	12.19	5.70
New Carrollton	Naylor Road	12.24	5.70
New Carrollton	Suitland	12.84	5.95
New Carrollton	Branch Ave	14.10	6.00
New Carrollton	Benning Road	7.65	3.85
New Carrollton	Capitol Heights	8.01	4.00
New Carrollton	Addison Road-Seat Pleasant	8.42	4.15
New Carrollton	Morgan Boulevard	8.85	4.35
New Carrollton	Downtown Largo	9.47	4.60
New Carrollton	Van Dorn Street	19.60	6.00
New Carrollton	Franconia-Springfield	22.88	6.00
New Carrollton	Court House	13.70	6.00
New Carrollton	Clarendon	14.21	6.00
New Carrollton	Virginia Square-GMU	14.67	6.00
New Carrollton	Ballston-MU	15.23	6.00
New Carrollton	East Falls Church	17.56	6.00
New Carrollton	West Falls Church	19.32	6.00
New Carrollton	Dunn Loring-Merrifield	21.65	6.00
New Carrollton	Vienna/Fairfax-GMU	24.13	6.00
New Carrollton	McLean	21.08	6.00
New Carrollton	Tysons	21.71	6.00
New Carrollton	Greensboro	22.42	6.00
New Carrollton	Spring Hill	22.95	6.00
New Carrollton	Wiehle-Reston East	28.50	6.00
New Carrollton	Reston Town Center	29.60	6.00
New Carrollton	Herndon	30.95	6.00
New Carrollton	Innovation Center	32.62	6.00
New Carrollton	Washington Dulles International Airport	34.55	6.00
New Carrollton	Loudoun Gateway	36.39	6.00
New Carrollton	Ashburn	38.24	6.00
