Start	Destination	Distance_mi	Fare_USD
Pentagon City	Metro Center	3.56	2.20
Pentagon City	Farragut North	3.97	2.40
Pentagon City	Dupont Circle	4.42	2.55
Pentagon City	Woodley Park-Zoo/Adams Morgan	5.51	3.00
Pentagon City	Cleveland Park	6.17	3.25
Pentagon City	Van Ness-UDC	6.78	3.50
Pentagon City	Tenleytown-AU	7.57	3.85
Pentagon City	Friendship Heights	8.34	4.15
Pentagon City	Bethesda	10.06	4.80
Pentagon City	Medical Center	11.11	5.25
Pentagon City	Grosvenor-Strathmore	13.33	6.00
Pentagon City	North Bethesda	14.71	6.00
Pentagon City	Twinbrook	15.79	6.00
Pentagon City	Rockville	17.69	6.00
Pentagon City	Shady Grove	20.35	6.00
Pentagon City	Gallery Pl-Chinatown	3.54	2.20
Pentagon City	Judiciary Square	3.76	2.30
Pentagon City	Union Station	4.30	2.50
Pentagon City	Rhode Island Ave-Brentwood	5.97	3.20
Pentagon City	Brookland-CUA	6.76	3.50
Pentagon City	Fort Totten	7.83	3.95
Pentagon City	Takoma	9.42	4.55
Pentagon City	Silver Spring	10.65	5.05
Pentagon City	Forest Glen	12.17	5.65
Pentagon City	Wheaton	13.74	6.00
Pentagon City	Glenmont	15.46	6.00
Pentagon City	NoMa-Gallaudet U	4.93	2.75
Pentagon City	McPherson Square	3.81	2.30
Pentagon City	Farragut West	3.82	2.35
Pentagon City	Foggy Bottom-GWU	3.47	2.20
Pentagon City	Rosslyn	2.65	2.00
Pentagon City	Arlington Cemetery	1.76	2.00
Pentagon City	Pentagon	0.60	2.00
Pentagon City	Crystal City	0.64	2.00
Pentagon City	Ronald Reagan Washington National Airport	1.15	2.00
Pentagon City	Potomac Yard	2.50	2.00
Pentagon City	Braddock Road	3.82	2.35
Pentagon City	King St-Old Town	4.40	2.55
Pentagon City	Eisenhower Avenue	4.99	2.80
Pentagon City	Huntington	5.49	3.00
Pentagon City	Federal Triangle	3.30	2.10
Pentagon City	Smithsonian	2.95	2.00
Pentagon City	L'Enfant Plaza	2.76	2.00
Pentagon City	Federal Center SW	3.05	2.00
Pentagon City	Capitol South	3.59	2.25
Pentagon City	Eastern Market	4.06	2.40
Pentagon City	Potomac Ave	4.59	2.65
Pentagon City	Stadium-Armory	5.23	2.90
Pentagon City	Minnesota Ave	7.19	3.70
Pentagon City	Deanwood	8.05	4.00
Pentagon City	Cheverly	9.21	4.50
Pentagon City	Landover	11.00	5.20
Pentagon City	New Carrollton	12.42	5.75
Pentagon City	Mt Vernon Sq 7th St-Convention Center	4.05	2.40
Pentagon City	Shaw-Howard U	4.50	2.60
Pentagon City	U Street/African-Amer Civil War Memorial/Cardozo	4.77	2.70
Pentagon City	Columbia Heights	5.51	3.00
Pentagon City	Georgia Ave-Petworth	6.36	3.35
Pentagon City	West Hyattsville	9.39	4.55
Pentagon City	Hyattsville Crossing	10.51	5.00
Pentagon City	College Park-U of Md	12.32	5.75
Pentagon City	Greenbelt	14.72	6.00
Pentagon City	Archives-Navy Memorial-Penn Quarter	3.23	2.10
Pentagon City	Waterfront	3.10	2.05
Pentagon City	Navy Yard-Ballpark	3.71	2.30
Pentagon City	Anacostia	4.49	2.60
Pentagon City	Congress Heights	5.41	2.95
Pentagon City	Southern Avenue	6.33	3.35
Pentagon City	Naylor Road	7.37	3.75
Pentagon City	Suitland	8.76	4.30
Pentagon City	Branch Ave	10.32	4.95
Pentagon City	Benning Road	7.53	3.80
Pentagon City	Capitol Heights	8.94	4.40
Pentagon City	Addison Road-Seat Pleasant	9.88	4.75
Pentagon City	Morgan Boulevard	11.40	5.35
Pentagon City	Downtown Largo	12.74	5.90
Pentagon City	Van Dorn Street	7.27	3.70
Pentagon City	Franconia-Springfield	10.58	5.05
Pentagon City	Court House	3.21	2.10
Pentagon City	Clarendon	3.53	2.20
Pentagon City	Virginia Square-GMU	3.86	2.35
Pentagon City	Ballston-MU	4.36	2.55
Pentagon City	East Falls Church	6.76	3.50
Pentagon City	West Falls Church	8.78	4.30
Pentagon City	Dunn Loring-Merrifield	10.82	5.15
Pentagon City	Vienna/Fairfax-GMU	13.25	6.00
Pentagon City	McLean	10.94	5.20
Pentagon City	Tysons	11.48	5.40
Pentagon City	Greensboro	12.17	5.65
Pentagon City	Spring Hill	12.81	5.90
Pentagon City	Wiehle-Reston East	18.42	6.00
Pentagon City	Reston Town Center	19.55	6.00
Pentagon City	Herndon	20.86	6.00
Pentagon City	Innovation Center	22.57	6.00
Pentagon City	Washington Dulles International Airport	24.40	6.00
Pentagon City	Loudoun Gateway	26.58	6.00
Pentagon City	Ashburn	28.50	6.00
