Start	Destination	Distance_mi	Fare_USD
Pentagon	Metro Center	2.97	2.00
Pentagon	Farragut North	3.38	2.15
Pentagon	Dupont Circle	3.83	2.35
Pentagon	Woodley Park-Zoo/Adams Morgan	4.94	2.80
Pentagon	Cleveland Park	5.62	3.05
Pentagon	Van Ness-UDC	6.23	3.30
Pentagon	Tenleytown-AU	7.05	3.60
Pentagon	Friendship Heights	7.83	3.95
Pentagon	Bethesda	9.54	4.60
Pentagon	Medical Center	10.59	5.05
Pentagon	Grosvenor-Strathmore	12.81	5.90
Pentagon	North Bethesda	14.19	6.00
Pentagon	Twinbrook	15.28	6.00
Pentagon	Rockville	17.19	6.00
Pentagon	Shady Grove	19.85	6.00
Pentagon	Gallery Pl-Chinatown	2.95	2.00
Pentagon	Judiciary Square	3.18	2.05
Pentagon	Union Station	3.72	2.30
Pentagon	Rhode Island Ave-Brentwood	5.38	2.95
Pentagon	Brookland-CUA	6.16	3.25
Pentagon	Fort Totten	7.23	3.70
Pentagon	Takoma	8.83	4.35
Pentagon	Silver Spring	10.07	4.85
Pentagon	Forest Glen	11.61	5.45
Pentagon	Wheaton	13.18	6.00
Pentagon	Glenmont	14.90	6.00
Pentagon	NoMa-Gallaudet U	4.35	2.55
Pentagon	McPherson Square	3.22	2.10
Pentagon	Farragut West	3.23	2.10
Pentagon	Foggy Bottom-GWU	2.89	2.00
Pentagon	Rosslyn	2.16	2.00
Pentagon	Arlington Cemetery	1.25	2.00
Pentagon	Pentagon City	0.60	2.00
Pentagon	Crystal City	1.07	2.00
Pentagon	Ronald Reagan Washington National Airport	1.55	2.00
Pentagon	Potomac Yard	3.02	2.00
Pentagon	Braddock Road	4.37	2.55
Pentagon	King St-Old Town	4.96	2.80
Pentagon	Eisenhower Avenue	5.57	3.05
Pentagon	Huntington	6.08	3.25
Pentagon	Federal Triangle	2.70	2.00
Pentagon	Smithsonian	2.36	2.00
Pentagon	L'Enfant Plaza	2.19	2.00
Pentagon	Federal Center SW	2.49	2.00
Pentagon	Capitol South	3.04	2.00
Pentagon	Eastern Market	3.53	2.20
Pentagon	Potomac Ave	4.08	2.45
Pentagon	Stadium-Armory	4.70	2.70
Pentagon	Minnesota Ave	6.66	3.45
Pentagon	Deanwood	7.51	3.80
Pentagon	Cheverly	8.66	4.25
Pentagon	Landover	10.44	5.00
Pentagon	New Carrollton	11.86	5.55
Pentagon	Mt Vernon Sq 7th St-Convention Center	3.46	2.20
Pentagon	Shaw-Howard U	3.90	2.35
Pentagon	U Street/African-Amer Civil War Memorial/Cardozo	4.18	2.45
Pentagon	Columbia Heights	4.92	2.75
Pentagon	Georgia Ave-Petworth	5.77	3.10
Pentagon	West Hyattsville	8.80	4.30
Pentagon	Hyattsville Crossing	9.92	4.75
Pentagon	College Park-U of Md	11.73	5.50
Pentagon	Greenbelt	14.12	6.00
Pentagon	Archives-Navy Memorial-Penn Quarter	2.64	2.00
Pentagon	Waterfront	2.57	2.00
Pentagon	Navy Yard-Ballpark	3.20	2.10
Pentagon	Anacostia	4.05	2.40
Pentagon	Congress Heights	5.06	2.80
Pentagon	Southern Avenue	5.98	3.20
Pentagon	Naylor Road	6.96	3.60
Pentagon	Suitland	8.36	4.15
Pentagon	Branch Ave	9.96	4.80
Pentagon	Benning Road	7.01	3.60
Pentagon	Capitol Heights	8.44	4.20
Pentagon	Addison Road-Seat Pleasant	9.39	4.55
Pentagon	Morgan Boulevard	10.90	5.15
Pentagon	Downtown Largo	12.24	5.70
Pentagon	Van Dorn Street	7.86	3.95
Pentagon	Franconia-Springfield	11.17	5.25
Pentagon	Court House	2.82	2.00
Pentagon	Clarendon	3.20	2.10
Pentagon	Virginia Square-GMU	3.57	2.25
Pentagon	Ballston-MU	4.11	2.45
Pentagon	East Falls Church	6.53	3.40
Pentagon	West Falls Church	8.53	4.20
Pentagon	Dunn Loring-Merrifield	10.62	5.05
Pentagon	Vienna/Fairfax-GMU	13.07	6.00
Pentagon	McLean	10.65	5.05
Pentagon	Tysons	11.20	5.30
Pentagon	Greensboro	11.90	5.55
Pentagon	Spring Hill	12.54	5.80
Pentagon	Wiehle-Reston East	18.17	6.00
Pentagon	Reston Town Center	19.29	6.00
Pentagon	Herndon	20.61	6.00
Pentagon	Innovation Center	22.32	6.00
Pentagon	Washington Dulles International Airport	24.16	6.00
Pentagon	Loudoun Gateway	26.31	6.00
Pentagon	Ashburn	28.23	6.00
