Start	Destination	Distance_mi	Fare_USD
Potomac Ave	Metro Center	2.89	2.00
Potomac Ave	Farragut North	3.64	2.25
Potomac Ave	Dupont Circle	4.11	2.45
Potomac Ave	Woodley Park-Zoo/Adams Morgan	5.22	2.90
Potomac Ave	Cleveland Park	5.90	3.15
Potomac Ave	Van Ness-UDC	6.51	3.40
Potomac Ave	Tenleytown-AU	7.52	3.80
Potomac Ave	Friendship Heights	8.27	4.10
Potomac Ave	Bethesda	9.90	4.75
Potomac Ave	Medical Center	10.88	5.15
Potomac Ave	Grosvenor-Strathmore	13.01	6.00
Potomac Ave	North Bethesda	14.38	6.00
Potomac Ave	Twinbrook	15.47	6.00
Potomac Ave	Rockville	17.45	6.00
Potomac Ave	Shady Grove	20.10	6.00
Potomac Ave	Gallery Pl-Chinatown	2.62	2.00
Potomac Ave	Judiciary Square	2.65	2.00
Potomac Ave	Union Station	2.80	2.00
Potomac Ave	Rhode Island Ave-Brentwood	4.26	2.50
Potomac Ave	Brookland-CUA	5.10	2.85
Potomac Ave	Fort Totten	6.41	3.35
Potomac Ave	Takoma	8.27	4.10
Potomac Ave	Silver Spring	9.66	4.65
Potomac Ave	Forest Glen	11.29	5.30
Potomac Ave	Wheaton	12.90	5.95
Potomac Ave	Glenmont	14.61	6.00
Potomac Ave	NoMa-Gallaudet U	3.32	2.15
Potomac Ave	McPherson Square	3.30	2.10
Potomac Ave	Farragut West	3.66	2.25
Potomac Ave	Foggy Bottom-GWU	4.15	2.45
Potomac Ave	Rosslyn	5.31	2.90
Potomac Ave	Arlington Cemetery	4.94	2.80
Potomac Ave	Pentagon	4.08	2.45
Potomac Ave	Pentagon City	4.59	2.65
Potomac Ave	Crystal City	4.78	2.70
Potomac Ave	Ronald Reagan Washington National Airport	4.97	2.80
Potomac Ave	Potomac Yard	6.27	3.30
Potomac Ave	Braddock Road	7.61	3.85
Potomac Ave	King St-Old Town	8.26	4.10
Potomac Ave	Eisenhower Avenue	8.96	4.40
Potomac Ave	Huntington	9.46	4.60
Potomac Ave	Federal Triangle	2.69	2.00
Potomac Ave	Smithsonian	2.46	2.00
Potomac Ave	L'Enfant Plaza	2.01	2.00
Potomac Ave	Federal Center SW	1.69	2.00
Potomac Ave	Capitol South	1.11	2.00
Potomac Ave	Eastern Market	0.62	2.00
Potomac Ave	Stadium-Armory	0.65	2.00
Potomac Ave	Minnesota Ave	2.62	2.00
Potomac Ave	Deanwood	3.49	2.20
Potomac Ave	Cheverly	4.65	2.65
Potomac Ave	Landover	6.46	3.40
Potomac Ave	New Carrollton	7.90	3.95
Potomac Ave	Mt Vernon Sq 7th St-Convention Center	3.07	2.05
Potomac Ave	Shaw-Howard U	3.48	2.20
Potomac Ave	U Street/African-Amer Civil War Memorial/Cardozo	3.91	2.35
Potomac Ave	Columbia Heights	4.73	2.70
Potomac Ave	Georgia Ave-Petworth	5.33	2.95
Potomac Ave	West Hyattsville	7.50	3.80
Potomac Ave	Hyattsville Crossing	8.55	4.20
Potomac Ave	College Park-U of Md	10.22	4.90
Potomac Ave	Greenbelt	12.67	5.85
Potomac Ave	Archives-Navy Memorial-Penn Quarter	2.36	2.00
Potomac Ave	Waterfront	2.30	2.00
Potomac Ave	Navy Yard-Ballpark	2.31	2.00
Potomac Ave	Anacostia	3.00	2.00
Potomac Ave	Congress Heights	4.20	2.50
Potomac Ave	Southern Avenue	4.92	2.75
Potomac Ave	Naylor Road	5.42	2.95
Potomac Ave	Suitland	6.75	3.50
Potomac Ave	Branch Ave	8.45	4.20
Potomac Ave	Benning Road	2.94	2.00
Potomac Ave	Capitol Heights	4.37	2.55
Potomac Ave	Addison Road-Seat Pleasant	5.33	2.95
Potomac Ave	Morgan Boulevard	6.83	3.55
Potomac Ave	Downtown Largo	8.17	4.05
Potomac Ave	Van Dorn Street	11.70	5.50
Potomac Ave	Franconia-Springfield	14.98	6.00
Potomac Ave	Court House	6.25	3.30
Potomac Ave	Clarendon	6.72	3.50
Potomac Ave	Virginia Square-GMU	7.16	3.65
Potomac Ave	Ballston-MU	7.71	3.90
Potomac Ave	East Falls Church	10.14	4.85
Potomac Ave	West Falls Church	12.08	5.65
Potomac Ave	Dunn Loring-Merrifield	14.27	6.00
Potomac Ave	Vienna/Fairfax-GMU	16.73	6.00
Potomac Ave	McLean	14.09	6.00
Potomac Ave	Tysons	14.68	6.00
Potomac Ave	Greensboro	15.39	6.00
Potomac Ave	Spring Hill	15.99	6.00
Potomac Ave	Wiehle-Reston East	21.64	6.00
Potomac Ave	Reston Town Center	22.77	6.00
Potomac Ave	Herndon	24.10	6.00
Potomac Ave	Innovation Center	25.81	6.00
Potomac Ave	Washington Dulles International Airport	27.68	6.00
Potomac Ave	Loudoun Gateway	29.75	6.00
Potomac Ave	Ashburn	31.66	6.00
